# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-05
#
# GRDC-No.:              3107200
# River:                 RIO META
# Station:               PTE LLERAS
# Country:               CO
# Latitude (DD):       4.12
# Longitude (DD):      -72.97
# Catchment area (km²):      -999.0
# Altitude (m ASL):        173.0
# Next downstream station:      3206700
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1972-03 - 2012-12
# No. of years:          41
# Last update:           2024-10-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 14907
# DATA
YYYY-MM-DD;hh:mm; Value
1972-03-10;--:--;    135.000
1972-03-11;--:--;    106.000
1972-03-12;--:--;     97.000
1972-03-13;--:--;     88.000
1972-03-14;--:--;     85.000
1972-03-15;--:--;     93.000
1972-03-16;--:--;    119.000
1972-03-17;--:--;    128.000
1972-03-18;--:--;    153.000
1972-03-19;--:--;    223.000
1972-03-20;--:--;    252.000
1972-03-21;--:--;    295.000
1972-03-22;--:--;    202.000
1972-03-23;--:--;    208.000
1972-03-24;--:--;    227.000
1972-03-25;--:--;    217.000
1972-03-26;--:--;    244.000
1972-03-27;--:--;    329.000
1972-03-28;--:--;    328.000
1972-03-29;--:--;    286.000
1972-03-30;--:--;    329.000
1972-03-31;--:--;    324.000
1972-04-01;--:--;    380.000
1972-04-02;--:--;    489.000
1972-04-03;--:--;    440.000
1972-04-04;--:--;    379.000
1972-04-05;--:--;    275.000
1972-04-06;--:--;    218.000
1972-04-07;--:--;    190.000
1972-04-08;--:--;    183.000
1972-04-09;--:--;    254.000
1972-04-10;--:--;    488.000
1972-04-11;--:--;    563.000
1972-04-12;--:--;    613.000
1972-04-13;--:--;    623.000
1972-04-14;--:--;    630.000
1972-04-15;--:--;    625.000
1972-04-16;--:--;    635.000
1972-04-17;--:--;    627.000
1972-04-18;--:--;    637.000
1972-04-19;--:--;    630.000
1972-04-20;--:--;    558.000
1972-04-21;--:--;    521.000
1972-04-22;--:--;    621.000
1972-04-23;--:--;    628.000
1972-04-24;--:--;    656.000
1972-04-25;--:--;    704.000
1972-04-26;--:--;    741.000
1972-04-27;--:--;   -999.000
1972-04-28;--:--;   -999.000
1972-04-29;--:--;   -999.000
1972-04-30;--:--;   -999.000
1972-05-01;--:--;   -999.000
1972-05-02;--:--;   -999.000
1972-05-03;--:--;   -999.000
1972-05-04;--:--;   -999.000
1972-05-05;--:--;   -999.000
1972-05-06;--:--;   -999.000
1972-05-07;--:--;   -999.000
1972-05-08;--:--;   -999.000
1972-05-09;--:--;   -999.000
1972-05-10;--:--;   -999.000
1972-05-11;--:--;   -999.000
1972-05-12;--:--;   -999.000
1972-05-13;--:--;   -999.000
1972-05-14;--:--;   -999.000
1972-05-15;--:--;   -999.000
1972-05-16;--:--;   -999.000
1972-05-17;--:--;   -999.000
1972-05-18;--:--;   -999.000
1972-05-19;--:--;   -999.000
1972-05-20;--:--;   -999.000
1972-05-21;--:--;   -999.000
1972-05-22;--:--;   -999.000
1972-05-23;--:--;   -999.000
1972-05-24;--:--;   -999.000
1972-05-25;--:--;   -999.000
1972-05-26;--:--;   -999.000
1972-05-27;--:--;   -999.000
1972-05-28;--:--;   -999.000
1972-05-29;--:--;   -999.000
1972-05-30;--:--;   -999.000
1972-05-31;--:--;   -999.000
1972-06-01;--:--;   -999.000
1972-06-02;--:--;   -999.000
1972-06-03;--:--;   -999.000
1972-06-04;--:--;   -999.000
1972-06-05;--:--;   -999.000
1972-06-06;--:--;   -999.000
1972-06-07;--:--;   -999.000
1972-06-08;--:--;   -999.000
1972-06-09;--:--;   -999.000
1972-06-10;--:--;   -999.000
1972-06-11;--:--;   -999.000
1972-06-12;--:--;   -999.000
1972-06-13;--:--;   -999.000
