# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-05
#
# GRDC-No.:              3107300
# River:                 RIO METICA
# Station:               EL BARRO
# Country:               CO
# Latitude (DD):       3.75
# Longitude (DD):      -73.2
# Catchment area (km²):      2460.0
# Altitude (m ASL):        230.0
# Next downstream station:      3106200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1980-01 - 1988-12
# No. of years:          9
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3280
# DATA
YYYY-MM-DD;hh:mm; Value
1980-01-09;--:--;    158.000
1980-01-10;--:--;    135.000
1980-01-11;--:--;    136.000
1980-01-12;--:--;    121.000
1980-01-13;--:--;    108.000
1980-01-14;--:--;    123.000
1980-01-15;--:--;    153.000
1980-01-16;--:--;    162.000
1980-01-17;--:--;    212.000
1980-01-18;--:--;    179.000
1980-01-19;--:--;    151.000
1980-01-20;--:--;    139.000
1980-01-21;--:--;    234.000
1980-01-22;--:--;    344.000
1980-01-23;--:--;    240.000
1980-01-24;--:--;    202.000
1980-01-25;--:--;    188.000
1980-01-26;--:--;    223.000
1980-01-27;--:--;    194.000
1980-01-28;--:--;    178.000
1980-01-29;--:--;    152.000
1980-01-30;--:--;    151.000
1980-01-31;--:--;    175.000
1980-02-01;--:--;    153.000
1980-02-02;--:--;    122.000
1980-02-03;--:--;    142.000
1980-02-04;--:--;    128.000
1980-02-05;--:--;    120.000
1980-02-06;--:--;    171.000
1980-02-07;--:--;    212.000
1980-02-08;--:--;    186.000
1980-02-09;--:--;    195.000
1980-02-10;--:--;    193.000
1980-02-11;--:--;    265.000
1980-02-12;--:--;    180.000
1980-02-13;--:--;    191.000
1980-02-14;--:--;    183.000
1980-02-15;--:--;    201.000
1980-02-16;--:--;    199.000
1980-02-17;--:--;    177.000
1980-02-18;--:--;    165.000
1980-02-19;--:--;    131.000
1980-02-20;--:--;    116.000
1980-02-21;--:--;    132.000
1980-02-22;--:--;    119.000
1980-02-23;--:--;    109.000
1980-02-24;--:--;    114.000
1980-02-25;--:--;    118.000
1980-02-26;--:--;    168.000
1980-02-27;--:--;    177.000
1980-02-28;--:--;    165.000
1980-02-29;--:--;    167.000
1980-03-01;--:--;    165.000
1980-03-02;--:--;    116.000
1980-03-03;--:--;    118.000
1980-03-04;--:--;    109.000
1980-03-05;--:--;    146.000
1980-03-06;--:--;    118.000
1980-03-07;--:--;    121.000
1980-03-08;--:--;    114.000
1980-03-09;--:--;    111.000
1980-03-10;--:--;    111.000
1980-03-11;--:--;    109.000
1980-03-12;--:--;     92.000
1980-03-13;--:--;    102.000
1980-03-14;--:--;    128.000
1980-03-15;--:--;    116.000
1980-03-16;--:--;    256.000
1980-03-17;--:--;    387.000
1980-03-18;--:--;    358.000
1980-03-19;--:--;    311.000
1980-03-20;--:--;    264.000
1980-03-21;--:--;    240.000
1980-03-22;--:--;    269.000
1980-03-23;--:--;    198.000
1980-03-24;--:--;    157.000
1980-03-25;--:--;    167.000
1980-03-26;--:--;    162.000
1980-03-27;--:--;    162.000
1980-03-28;--:--;    141.000
1980-03-29;--:--;    135.000
1980-03-30;--:--;    150.000
1980-03-31;--:--;    136.000
1980-04-01;--:--;    215.000
1980-04-02;--:--;    205.000
1980-04-03;--:--;    162.000
1980-04-04;--:--;    149.000
1980-04-05;--:--;    146.000
1980-04-06;--:--;    269.000
1980-04-07;--:--;    178.000
1980-04-08;--:--;    104.000
1980-04-09;--:--;    109.000
1980-04-10;--:--;    109.000
1980-04-11;--:--;    101.000
1980-04-12;--:--;    101.000
1980-04-13;--:--;    144.000
1980-04-14;--:--;    188.000
1980-04-15;--:--;    125.000
1980-04-16;--:--;    142.000
1980-04-17;--:--;    153.000
1980-04-18;--:--;    149.000
1980-04-19;--:--;    155.000
1980-04-20;--:--;    125.000
1980-04-21;--:--;    210.000
1980-04-22;--:--;    170.000
1980-04-23;--:--;    162.000
1980-04-24;--:--;    225.000
1980-04-25;--:--;     92.000
1980-04-26;--:--;     92.000
1980-04-27;--:--;     80.000
1980-04-28;--:--;    278.000
1980-04-29;--:--;    243.000
1980-04-30;--:--;    218.000
1980-05-01;--:--;    132.000
1980-05-02;--:--;    120.000
1980-05-03;--:--;    152.000
1980-05-04;--:--;    161.000
1980-05-05;--:--;    152.000
1980-05-06;--:--;    202.000
1980-05-07;--:--;    199.000
1980-05-08;--:--;    167.000
1980-05-09;--:--;    144.000
1980-05-10;--:--;    139.000
1980-05-11;--:--;    188.000
1980-05-12;--:--;    136.000
1980-05-13;--:--;    116.000
1980-05-14;--:--;    111.000
1980-05-15;--:--;    128.000
1980-05-16;--:--;    131.000
1980-05-17;--:--;    188.000
1980-05-18;--:--;    198.000
1980-05-19;--:--;    177.000
1980-05-20;--:--;    232.000
1980-05-21;--:--;    183.000
1980-05-22;--:--;    146.000
1980-05-23;--:--;    136.000
1980-05-24;--:--;    159.000
1980-05-25;--:--;    129.000
1980-05-26;--:--;    171.000
1980-05-27;--:--;    129.000
1980-05-28;--:--;    124.000
1980-05-29;--:--;    131.000
1980-05-30;--:--;    139.000
1980-05-31;--:--;   -999.000
1980-06-01;--:--;    130.000
1980-06-02;--:--;    246.000
1980-06-03;--:--;    202.000
1980-06-04;--:--;    178.000
1980-06-05;--:--;    159.000
1980-06-06;--:--;    141.000
1980-06-07;--:--;    121.000
1980-06-08;--:--;    126.000
1980-06-09;--:--;    133.000
1980-06-10;--:--;    138.000
1980-06-11;--:--;    131.000
1980-06-12;--:--;    165.000
1980-06-13;--:--;    349.000
1980-06-14;--:--;    172.000
1980-06-15;--:--;    170.000
1980-06-16;--:--;    167.000
1980-06-17;--:--;    338.000
1980-06-18;--:--;    441.000
1980-06-19;--:--;    441.000
1980-06-20;--:--;    366.000
1980-06-21;--:--;    335.000
1980-06-22;--:--;    290.000
1980-06-23;--:--;    244.000
1980-06-24;--:--;    260.000
1980-06-25;--:--;    481.000
1980-06-26;--:--;    401.000
1980-06-27;--:--;    364.000
1980-06-28;--:--;    420.000
1980-06-29;--:--;    415.000
1980-06-30;--:--;    370.000
1980-07-01;--:--;    265.000
1980-07-02;--:--;    226.000
1980-07-03;--:--;    183.000
1980-07-04;--:--;    177.000
1980-07-05;--:--;    227.000
1980-07-06;--:--;    213.000
1980-07-07;--:--;    165.000
1980-07-08;--:--;    130.000
1980-07-09;--:--;    162.000
1980-07-10;--:--;    162.000
1980-07-11;--:--;    142.000
1980-07-12;--:--;    151.000
1980-07-13;--:--;    165.000
1980-07-14;--:--;    147.000
1980-07-15;--:--;    159.000
1980-07-16;--:--;    132.000
1980-07-17;--:--;    139.000
1980-07-18;--:--;    135.000
1980-07-19;--:--;    113.000
1980-07-20;--:--;    106.000
1980-07-21;--:--;    155.000
1980-07-22;--:--;    135.000
1980-07-23;--:--;    142.000
1980-07-24;--:--;    151.000
1980-07-25;--:--;    159.000
1980-07-26;--:--;    191.000
1980-07-27;--:--;    168.000
1980-07-28;--:--;    144.000
1980-07-29;--:--;    139.000
1980-07-30;--:--;    152.000
1980-07-31;--:--;   -999.000
1980-08-01;--:--;    252.000
1980-08-02;--:--;    180.000
1980-08-03;--:--;    272.000
1980-08-04;--:--;    262.000
1980-08-05;--:--;    232.000
1980-08-06;--:--;    208.000
1980-08-07;--:--;    133.000
1980-08-08;--:--;    118.000
1980-08-09;--:--;    110.000
1980-08-10;--:--;    128.000
