CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-01-01 00:00,mm,29.8,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-02-01 00:00,mm,92.1,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-03-01 00:00,mm,143.2,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-04-01 00:00,mm,393.4,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-05-01 00:00,mm,238.7,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-06-01 00:00,mm,462.3,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-07-01 00:00,mm,502.4,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-08-01 00:00,mm,323,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-09-01 00:00,mm,258.7,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-10-01 00:00,mm,198.5,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-11-01 00:00,mm,104,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2014-12-01 00:00,mm,63.5,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2015-01-01 00:00,mm,92,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2015-02-01 00:00,mm,32.5,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2015-03-01 00:00,mm,56,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2015-04-01 00:00,mm,345,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2015-05-01 00:00,mm,328.5,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2015-06-01 00:00,mm,629,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2015-07-01 00:00,mm,523,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2015-08-01 00:00,mm,443.7,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2015-09-01 00:00,mm,219.5,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2015-10-01 00:00,mm,163.5,Preliminar
