Fecha,Value
2017-10-01,140.220
2017-11-01,106.769
2017-12-01,80.455
2018-01-01,100.315
2018-02-01,92.601
2018-03-01,94.909
2018-04-01,172.914
2018-05-01,231.338
2018-06-01,268.213
2018-07-01,255.622
2018-08-01,240.535
2018-09-01,149.595
2018-10-01,174.464
2018-11-01,121.731
2018-12-01,79.884
2019-01-01,65.267
2019-02-01,80.056
2019-03-01,48.920
2019-04-01,97.574
2019-05-01,174.814
2019-06-01,199.794
2019-07-01,181.734
2019-08-01,210.699
2019-09-01,153.559
2019-10-01,148.970
2019-11-01,112.095
2019-12-01,101.000
