YYYY-MM-DD;Value
2017-10-01;140.220
2017-11-01;106.769
2017-12-01;80.455
2018-01-01;100.315
2018-02-01;92.601
2018-03-01;94.909
2018-04-01;172.914
2018-05-01;231.338
2018-06-01;268.213
2018-07-01;255.622
2018-08-01;240.535
2018-09-01;149.595
2018-10-01;174.464
2018-11-01;121.731
2018-12-01;79.884
2019-01-01;65.267
2019-02-01;80.056
2019-03-01;48.920
2019-04-01;97.574
2019-05-01;174.814
2019-06-01;199.794
2019-07-01;181.734
2019-08-01;210.699
2019-09-01;153.559
2019-10-01;148.970
2019-11-01;112.095
2019-12-01;101.000
2020-01-01;59.300
2020-02-01;50.898
2020-03-01;56.731
2020-04-01;81.400
2020-05-01;129.465
2020-06-01;167.516
2020-07-01;178.677
2020-08-01;128.909
2020-09-01;141.031
2020-10-01;163.352
2020-11-01;156.871
2020-12-01;112.882
2021-01-01;62.096
2021-02-01;91.895
2021-03-01;116.731
2021-04-01;140.739
2021-05-01;180.542
2021-06-01;198.758
2021-07-01;202.182
