Embalse;Periodo;Codigo EP;Precipitacion_Project
Salvajina;2025-1s;26030150;1800.25123830886
Salvajina;2025-2s;26030150;1299.17272135452
Salvajina;2026-1s;26030150;1457.65250479167
Salvajina;2026-2s;26030150;1012.39732612884
Salvajina;2027-1s;26030150;1316.25224817856
Salvajina;2027-2s;26030150;968.464216251257
Salvajina;2028-1s;26030150;1348.09247425319
Salvajina;2028-2s;26030150;1064.43842197072
Salvajina;2029-1s;26030150;1459.11463669405
Salvajina;2029-2s;26030150;1132.60762924815
Guatape;2025-1s;23085110;1370.92334929336
Guatape;2025-2s;23085110;1367.9464606432
Guatape;2026-1s;23085110;1182.1895251131
Guatape;2026-2s;23085110;1209.96509140084
Guatape;2027-1s;23085110;1104.2936995895
Guatape;2027-2s;23085110;1185.76283078474
Guatape;2028-1s;23085110;1121.8341252885
Guatape;2028-2s;23085110;1238.63395112468
Guatape;2029-1s;23085110;1182.9949972833
Guatape;2029-2s;23085110;1276.18760769755
Betania;2025-1s;21080030;990.834902357516
Betania;2025-2s;21080030;803.899449825617
Betania;2026-1s;21080030;744.8142912102
Betania;2026-2s;21080030;597.965652957412
Betania;2027-1s;21080030;643.274576830033
Betania;2027-2s;21080030;566.417227688224
Betania;2028-1s;21080030;666.139085981979
Betania;2028-2s;21080030;635.33643384838
Betania;2029-1s;21080030;745.864250095072
Betania;2029-2s;21080030;684.288833244742
Prado;2025-1s;21160040;1800.25123830886
Prado;2025-2s;21160040;1299.17272135452
Prado;2026-1s;21160040;1457.65250479167
Prado;2026-2s;21160040;1012.39732612884
Prado;2027-1s;21160040;1316.25224817856
Prado;2027-2s;21160040;968.464216251257
Prado;2028-1s;21160040;1348.09247425319
Prado;2028-2s;21160040;1064.43842197072
Prado;2029-1s;21160040;1459.11463669405
Prado;2029-2s;21160040;1132.60762924815
Muna;2025-1s;21201320;883.958177573034
Muna;2025-2s;21201320;759.793369360975
Muna;2026-1s;21201320;806.674086837403
Muna;2026-2s;21201320;695.102016191523
Muna;2027-1s;21201320;774.776741071003
Muna;2027-2s;21201320;685.191499549442
Muna;2028-1s;21201320;781.959321390937
Muna;2028-2s;21201320;706.84154812655
Muna;2029-1s;21201320;807.003917404642
Muna;2029-2s;21201320;722.219290906036
Miel-Norcasia;2025-1s;23050250;2753.78399614403
Miel-Norcasia;2025-2s;23050250;2823.83304919389
Miel-Norcasia;2026-1s;23050250;2279.95509981462
Miel-Norcasia;2026-2s;23050250;2427.21024904745
Miel-Norcasia;2027-1s;23050250;2084.39241677768
Miel-Norcasia;2027-2s;23050250;2366.44885407117
Miel-Norcasia;2028-1s;23050250;2128.42882936139
Miel-Norcasia;2028-2s;23050250;2499.18534000409
Miel-Norcasia;2029-1s;23050250;2281.9772916029
Miel-Norcasia;2029-2s;23050250;2593.46630805179
Neusa;2025-1s;21201180;883.958177573034
Neusa;2025-2s;21201180;759.793369360975
Neusa;2026-1s;21201180;806.674086837403
Neusa;2026-2s;21201180;695.102016191523
Neusa;2027-1s;21201180;774.776741071003
Neusa;2027-2s;21201180;685.191499549442
Neusa;2028-1s;21201180;781.959321390937
Neusa;2028-2s;21201180;706.84154812655
Neusa;2029-1s;21201180;807.003917404642
Neusa;2029-2s;21201180;722.219290906036
Tomine;2025-1s;21200780;786.833418290535
Tomine;2025-2s;21200780;653.425663546528
Tomine;2026-1s;21200780;685.915544973748
Tomine;2026-2s;21200780;568.951437069844
Tomine;2027-1s;21200780;644.263863902585
Tomine;2027-2s;21200780;556.010244989179
Tomine;2028-1s;21200780;653.642905875068
Tomine;2028-2s;21200780;584.280964600551
Tomine;2029-1s;21200780;686.34623904136
Tomine;2029-2s;21200780;604.361282334079
Sisga;2025-1s;21200620;740.010997209731
Sisga;2025-2s;21200620;750.869824960512
Sisga;2026-1s;21200620;706.888835229677
Sisga;2026-2s;21200620;723.144617120296
Sisga;2027-1s;21200620;693.218375460375
Sisga;2027-2s;21200620;718.897200421717
Sisga;2028-1s;21200620;696.296662162426
Sisga;2028-2s;21200620;728.175907190747
Sisga;2029-1s;21200620;707.030192931761
Sisga;2029-2s;21200620;734.7664497252
Guavio;2025-1s;35060100;1370.92334929336
Guavio;2025-2s;35060100;1367.9464606432
Guavio;2026-1s;35060100;1182.1895251131
Guavio;2026-2s;35060100;1209.96509140084
Guavio;2027-1s;35060100;1104.2936995895
Guavio;2027-2s;35060100;1185.76283078474
Guavio;2028-1s;35060100;1121.8341252885
Guavio;2028-2s;35060100;1238.63395112468
Guavio;2029-1s;35060100;1182.9949972833
Guavio;2029-2s;35060100;1276.18760769755
