embalse,periodo,precipitacion_project,ar,br,ar_km2,ai_km2,q_proyectado
Betania,2025-1s,990.834902357516,13.08222825602575,0.0982,271011.063,12499.453,558.450985192597
Betania,2025-2s,803.899449825617,13.08222825602575,0.0982,271011.063,12499.453,547.1023045687622
Betania,2026-1s,744.8142912102,13.08222825602575,0.0982,271011.063,12499.453,543.0162770256342
Betania,2026-2s,597.965652957412,13.08222825602575,0.0982,271011.063,12499.453,531.4315583081672
Betania,2027-1s,643.274576830033,13.08222825602575,0.0982,271011.063,12499.453,535.2568814197173
Betania,2027-2s,566.417227688224,13.08222825602575,0.0982,271011.063,12499.453,528.6104372931277
Betania,2028-1s,666.139085981979,13.08222825602575,0.0982,271011.063,12499.453,537.0958651660106
Betania,2028-2s,635.33643384838,13.08222825602575,0.0982,271011.063,12499.453,534.6046149574279
Betania,2029-1s,745.864250095072,13.08222825602575,0.0982,271011.063,12499.453,543.0913999932283
Betania,2029-2s,684.288833244742,13.08222825602575,0.0982,271011.063,12499.453,538.5155500667298
Guatape,2025-1s,1370.92334929336,0.0168065501983522,0.8087,271017.063,1232.226,1272.5867485534513
Guatape,2025-2s,1367.9464606432,0.0168065501983522,0.8087,271017.063,1232.226,1270.3515581318813
Guatape,2026-1s,1182.1895251131,0.0168065501983522,0.8087,271017.063,1232.226,1128.9297209997087
Guatape,2026-2s,1209.96509140084,0.0168065501983522,0.8087,271017.063,1232.226,1150.3321018436804
Guatape,2027-1s,1104.2936995895,0.0168065501983522,0.8087,271017.063,1232.226,1068.3839492415198
Guatape,2027-2s,1185.76283078474,0.0168065501983522,0.8087,271017.063,1232.226,1131.6884686968892
Guatape,2028-1s,1121.8341252885,0.0168065501983522,0.8087,271017.063,1232.226,1082.0869014905622
Guatape,2028-2s,1238.63395112468,0.0168065501983522,0.8087,271017.063,1232.226,1172.3244729023606
Guatape,2029-1s,1182.9949972833,0.0168065501983522,0.8087,271017.063,1232.226,1129.5517197131348
Guatape,2029-2s,1276.18760769755,0.0168065501983522,0.8087,271017.063,1232.226,1200.9859264192057
Guavio,2025-1s,1370.92334929336,0.015135776685692,0.6196,271016.063,1336.763,269.5495986101997
Guavio,2025-2s,1367.9464606432,0.015135776685692,0.6196,271016.063,1336.763,269.18678879675724
Guavio,2026-1s,1182.1895251131,0.015135776685692,0.6196,271016.063,1336.763,245.9134364182232
Guavio,2026-2s,1209.96509140084,0.015135776685692,0.6196,271016.063,1336.763,249.47749770757218
Guavio,2027-1s,1104.2936995895,0.015135776685692,0.6196,271016.063,1336.763,235.74394233074972
Guavio,2027-2s,1185.76283078474,0.015135776685692,0.6196,271016.063,1336.763,246.37372195435339
Guavio,2028-1s,1121.8341252885,0.015135776685692,0.6196,271016.063,1336.763,238.05708797533185
Guavio,2028-2s,1238.63395112468,0.015135776685692,0.6196,271016.063,1336.763,253.12369272471244
Guavio,2029-1s,1182.9949972833,0.015135776685692,0.6196,271016.063,1336.763,246.0172372501103
Guavio,2029-2s,1276.18760769755,0.015135776685692,0.6196,271016.063,1336.763,257.85168027192344
Miel-Norcasia,2025-1s,2753.78399614403,0.0044649135186496,0.7262,271014.063,759.505,501.5928233162172
Miel-Norcasia,2025-2s,2823.83304919389,0.0044649135186496,0.7262,271014.063,759.505,510.8266367875202
Miel-Norcasia,2026-1s,2279.95509981462,0.0044649135186496,0.7262,271014.063,759.505,437.32098358450725
Miel-Norcasia,2026-2s,2427.21024904745,0.0044649135186496,0.7262,271014.063,759.505,457.65607662957126
Miel-Norcasia,2027-1s,2084.39241677768,0.0044649135186496,0.7262,271014.063,759.505,409.7482834910657
Miel-Norcasia,2027-2s,2366.44885407117,0.0044649135186496,0.7262,271014.063,759.505,449.307400263399
Miel-Norcasia,2028-1s,2128.42882936139,0.0044649135186496,0.7262,271014.063,759.505,416.0167180021038
Miel-Norcasia,2028-2s,2499.18534000409,0.0044649135186496,0.7262,271014.063,759.505,467.4718741767815
Miel-Norcasia,2029-1s,2281.9772916029,0.0044649135186496,0.7262,271014.063,759.505,437.6026271880996
Miel-Norcasia,2029-2s,2593.46630805179,0.0044649135186496,0.7262,271014.063,759.505,480.21347297053256
Muna,2025-1s,883.958177573034,0.0083561453737436,0.0844,271019.063,135.0,29.740680047697055
Muna,2025-2s,759.793369360975,0.0083561453737436,0.0844,271019.063,135.0,29.36315772734569
Muna,2026-1s,806.674086837403,0.0083561453737436,0.0844,271019.063,135.0,29.511914092015946
Muna,2026-2s,695.102016191523,0.0083561453737436,0.0844,271019.063,135.0,29.14344953597278
Muna,2027-1s,774.776741071003,0.0083561453737436,0.0844,271019.063,135.0,29.41159389469627
Muna,2027-2s,685.191499549442,0.0083561453737436,0.0844,271019.063,135.0,29.10814889826936
Muna,2028-1s,781.959321390937,0.0083561453737436,0.0844,271019.063,135.0,29.43450936215712
Muna,2028-2s,706.84154812655,0.0083561453737436,0.0844,271019.063,135.0,29.184673597514625
Muna,2029-1s,807.003917404642,0.0083561453737436,0.0844,271019.063,135.0,29.512932334799448
Muna,2029-2s,722.219290906036,0.0083561453737436,0.0844,271019.063,135.0,29.23773520762774
Neusa,2025-1s,883.958177573034,0.0035011512361171,0.4144,271013.063,138.24,114.17438327483795
Neusa,2025-2s,759.793369360975,0.0035011512361171,0.4144,271013.063,138.24,107.23278498758754
Neusa,2026-1s,806.674086837403,0.0035011512361171,0.4144,271013.063,138.24,109.92666837307827
Neusa,2026-2s,695.102016191523,0.0035011512361171,0.4144,271013.063,138.24,103.35043023791694
Neusa,2027-1s,774.776741071003,0.0035011512361171,0.4144,271013.063,138.24,108.10409441273842
Neusa,2027-2s,685.191499549442,0.0035011512361171,0.4144,271013.063,138.24,102.73722936714749
Neusa,2028-1s,781.959321390937,0.0035011512361171,0.4144,271013.063,138.24,108.51827630583473
Neusa,2028-2s,706.84154812655,0.0035011512361171,0.4144,271013.063,138.24,104.07021123712337
Neusa,2029-1s,807.003917404642,0.0035011512361171,0.4144,271013.063,138.24,109.94529197254043
Neusa,2029-2s,722.219290906036,0.0035011512361171,0.4144,271013.063,138.24,105.00254831747098
Prado,2025-1s,1800.25123830886,0.0019325026279343,0.1913,271018.063,1617.517,1.3583594296070356
Prado,2025-2s,1299.17272135452,0.0019325026279343,0.1913,271018.063,1617.517,1.27618593251706
Prado,2026-1s,1457.65250479167,0.0019325026279343,0.1913,271018.063,1617.517,1.304597335592191
Prado,2026-2s,1012.39732612884,0.0019325026279343,0.1913,271018.063,1617.517,1.2167269306095072
Prado,2027-1s,1316.25224817856,0.0019325026279343,0.1913,271018.063,1617.517,1.2793785090970904
Prado,2027-2s,968.464216251257,0.0019325026279343,0.1913,271018.063,1617.517,1.2064442697336304
Prado,2028-1s,1348.09247425319,0.0019325026279343,0.1913,271018.063,1617.517,1.285241830477152
Prado,2028-2s,1064.43842197072,0.0019325026279343,0.1913,271018.063,1617.517,1.228450428581597
Prado,2029-1s,1459.11463669405,0.0019325026279343,0.1913,271018.063,1617.517,1.304847570521629
Prado,2029-2s,1132.60762924815,0.0019325026279343,0.1913,271018.063,1617.517,1.2431252317736468
Salvajina,2025-1s,1800.25123830886,0.0001169082379806,0.932,271020.063,3613.169,9.482628742431086
Salvajina,2025-2s,1299.17272135452,0.0001169082379806,0.932,271020.063,3613.169,6.996741450818447
Salvajina,2026-1s,1457.65250479167,0.0001169082379806,0.932,271020.063,3613.169,7.789037817266884
Salvajina,2026-2s,1012.39732612884,0.0001169082379806,0.932,271020.063,3613.169,5.545559937353652
Salvajina,2027-1s,1316.25224817856,0.0001169082379806,0.932,271020.063,3613.169,7.082430913243086
Salvajina,2027-2s,968.464216251257,0.0001169082379806,0.932,271020.063,3613.169,5.320937732423201
Salvajina,2028-1s,1348.09247425319,0.0001169082379806,0.932,271020.063,3613.169,7.241975097834117
Salvajina,2028-2s,1064.43842197072,0.0001169082379806,0.932,271020.063,3613.169,5.8107825943915685
Salvajina,2029-1s,1459.11463669405,0.0001169082379806,0.932,271020.063,3613.169,7.796319260504186
Salvajina,2029-2s,1132.60762924815,0.0001169082379806,0.932,271020.063,3613.169,6.156875324314921
Sisga,2025-1s,740.010997209731,0.0052003449540894,0.4712,271012.063,143.835,220.36429306671394
Sisga,2025-2s,750.869824960512,0.0052003449540894,0.4712,271012.063,143.835,221.88209663169303
Sisga,2026-1s,706.888835229677,0.0052003449540894,0.4712,271012.063,143.835,215.66041964272725
Sisga,2026-2s,723.144617120296,0.0052003449540894,0.4712,271012.063,143.835,217.98323397424727
Sisga,2027-1s,693.218375460375,0.0052003449540894,0.4712,271012.063,143.835,213.68506649357175
Sisga,2027-2s,718.897200421717,0.0052003449540894,0.4712,271012.063,143.835,217.37900154690183
Sisga,2028-1s,696.296662162426,0.0052003449540894,0.4712,271012.063,143.835,214.13165691785235
Sisga,2028-2s,728.175907190747,0.0052003449540894,0.4712,271012.063,143.835,218.69655618644617
Sisga,2029-1s,707.030192931761,0.0052003449540894,0.4712,271012.063,143.835,215.6807395219148
Sisga,2029-2s,734.7664497252,0.0052003449540894,0.4712,271012.063,143.835,219.62701326565582
Tomine,2025-1s,786.833418290535,0.0083561453737436,0.5549,271010.063,360.354,254.2069505509593
Tomine,2025-2s,653.425663546528,0.0083561453737436,0.5549,271010.063,360.354,229.30547346534334
Tomine,2026-1s,685.915544973748,0.0083561453737436,0.5549,271010.063,360.354,235.56384691744566
Tomine,2026-2s,568.951437069844,0.0083561453737436,0.5549,271010.063,360.354,212.35049839994187
Tomine,2027-1s,644.263863902585,0.0083561453737436,0.5549,271010.063,360.354,227.51579084543582
Tomine,2027-2s,556.010244989179,0.0083561453737436,0.5549,271010.063,360.354,209.65658100915238
Tomine,2028-1s,653.642905875068,0.0083561453737436,0.5549,271010.063,360.354,229.34777394364718
Tomine,2028-2s,584.280964600551,0.0083561453737436,0.5549,271010.063,360.354,215.50654237434284
Tomine,2029-1s,686.34623904136,0.0083561453737436,0.5549,271010.063,360.354,235.6459124764888
Tomine,2029-2s,604.361282334079,0.0083561453737436,0.5549,271010.063,360.354,219.5854496184306
