Codigo,Embalse,Macrocuenca,Ar_km2,Ai_km2
21200780,Tomine,Magdalena-Cauca,271010.063,360.354
21200781,Betania,Magdalena-Cauca,271011.063,12499.453
21200782,Sisga,Magdalena-Cauca,271012.063,143.835
21200783,Neusa,Magdalena-Cauca,271013.063,138.24
21200784,Miel-Norcasia,Magdalena-Cauca,271014.063,759.505
21200786,Guavio,Magdalena-Cauca,271016.063,1336.763
21200787,Guatape,Magdalena-Cauca,271017.063,1232.226
21200788,Prado,Magdalena-Cauca,271018.063,1617.517
21200789,Muna,Magdalena-Cauca,271019.063,135
21200790,Salvajina,Magdalena-Cauca,271020.063,3613.169
