Embalse,Periodo,Codigo EC,Caudal,Codigo EP,Precipitacion
Betania,2015-Jan,3103450,282.006451612903,21080030,7
Betania,2015-Feb,3103450,466.771428571429,21080030,34
Betania,2015-Mar,3103450,387.738709677419,21080030,73
Betania,2015-Apr,3103450,410.99,21080030,31
Betania,2015-May,3103450,492.712903225807,21080030,5
Betania,2015-Jun,3103450,889.346666666667,21080030,14
Betania,2015-Jul,3103450,384.31935483871,21080030,0
Betania,2015-Aug,3103450,338.029032258065,21080030,0
Betania,2015-Sep,3103450,242.326666666667,21080030,0
Betania,2015-Oct,3103450,215.722580645161,21080030,35
Betania,2015-Nov,3103450,281.6988,21080030,165
Betania,2015-Dec,3103450,307.664516129032,21080030,0
Betania,2016-Jan,3103450,246.982838709677,21080030,10
Betania,2016-Feb,3103450,310.955172413793,21080030,20
Betania,2016-Mar,3103450,366.492709677419,21080030,215
Betania,2016-Apr,3103450,569.0545,21080030,170
Betania,2016-May,3103450,497.418612903226,21080030,92
Betania,2016-Jun,3103450,479.188766666667,21080030,20
Betania,2016-Jul,3103450,606.307580645161,21080030,16
Betania,2016-Aug,3103450,479.83364516129,21080030,15
Betania,2016-Sep,3103450,538.3037,21080030,94
Betania,2016-Oct,3103450,427.826451612903,21080030,100
Betania,2016-Nov,3103450,337.224633333333,21080030,365
Betania,2016-Dec,3103450,459.229774193548,21080030,317
Betania,2017-Jan,3103450,595.089064516129,21080030,182
Betania,2017-Feb,3103450,525.331285714286,21080030,101
Betania,2017-Mar,3103450,558.906032258065,21080030,231
Betania,2017-Apr,3103450,717.194566666667,21080030,141
Betania,2017-May,3103450,837.280709677419,21080030,187
Betania,2017-Jun,3103450,718.036166666667,21080030,23
Betania,2017-Jul,3103450,569.365032258065,21080030,15
Betania,2017-Aug,3103450,558.265838709678,21080030,36
Betania,2017-Sep,3103450,445.0745,21080030,6
Betania,2017-Oct,3103450,423.407064516129,21080030,116
Betania,2017-Nov,3103450,504.656333333333,21080030,245
Betania,2017-Dec,3103450,468.482129032258,21080030,382
Betania,2018-Jan,3103450,378.363774193548,21080030,179
Betania,2018-Feb,3103450,344.344285714286,21080030,238
Betania,2018-Mar,3103450,362.566548387097,21080030,182
Betania,2018-Apr,3103450,500.1513,21080030,151
Betania,2018-May,3103450,490.248322580645,21080030,71
Betania,2018-Jun,3103450,689.474166666667,21080030,26
Betania,2018-Jul,3103450,594.723419354839,21080030,8
