Embalse,Periodo,Codigo EC,Caudal,Codigo EP,Precipitacion
Salvajina,2015-1s,3103045,4.37357747055812,26030150,180.916666666667
Salvajina,2015-2s,3103045,2.90807508960573,26030150,174.75
Salvajina,2016-1s,3103045,4.32186258806081,26030150,175.683333333333
Salvajina,2016-2s,3103045,4.06311899641577,26030150,203.8
Salvajina,2017-1s,3103045,8.90645527393753,26030150,230.133333333333
Salvajina,2017-2s,3103045,3.77285448028674,26030150,167.516666666667
Salvajina,2018-1s,3103045,4.18028369175627,26030150,208.016666666667
Salvajina,2018-2s,3103045,3.58945985663082,26030150,200.033333333333
Salvajina,2019-1s,3103045,3.00202850742448,26030150,219.05
Salvajina,2019-2s,3103045,2.20274444444444,26030150,180.933333333333
Salvajina,2020-1s,3103045,,26030150,172.333333333333
Salvajina,2020-2s,3103045,,26030150,251.933333333333
Salvajina,2021-1s,3103045,,26030150,252.916666666667
Salvajina,2021-2s,3103045,,26030150,317.466666666667
Salvajina,2022-1s,3103045,,26030150,293.266666666667
Salvajina,2022-2s,3103045,,26030150,221.816666666667
Salvajina,2023-1s,3103045,,26030150,213.2
Salvajina,2023-2s,3103045,,26030150,192.1
Salvajina,2024-1s,3103045,,26030150,184.65
Salvajina,2024-2s,3103045,,26030150,148.566666666667
Salvajina,2025-1s,3103045,,26030150,307.216666666667
Guatape,2015-1s,3103150,390.036483614951,23085110,163.9
Guatape,2015-2s,3103150,243.693551971326,23085110,169.366666666667
Guatape,2016-1s,3103150,343.58990630948,23085110,139.4
Guatape,2016-2s,3103150,502.124290322581,23085110,269.2
Guatape,2017-1s,3103150,1096.98553853047,23085110,300.55
Guatape,2017-2s,3103150,842.012566487455,23085110,215.983333333333
Guatape,2018-1s,3103150,909.211372619048,23085110,222.666666666667
Guatape,2018-2s,3103150,704.37142311828,23085110,187.266666666667
Guatape,2019-1s,3103150,765.540174001536,23085110,188.816666666667
Guatape,2019-2s,3103150,509.130908243728,23085110,180.25
Guatape,2020-1s,3103150,410.602879637869,23085110,113.35
Guatape,2020-2s,3103150,529.470349462366,23085110,216.12
Guatape,2021-1s,3103150,1038.28738984895,23085110,233.1
Guatape,2021-2s,3103150,889.605632795699,23085110,199.366666666667
Guatape,2022-1s,3103150,1344.12874598054,23085110,260.866666666667
Guatape,2022-2s,3103150,1086.26962741936,23085110,239.316666666667
Guatape,2023-1s,3103150,933.927867754736,23085110,170.666666666667
Guatape,2023-2s,3103150,437.667106451613,23085110,171.566666666667
Guatape,2024-1s,3103150,524.549537560252,23085110,185.8
Guatape,2024-2s,3103150,449.037177777778,23085110,193.933333333333
