Embalse,ar,br,Observaciones
Betania,198.9862631370932,0.1872951244882705,21
Guatape,0.9301009263788358,1.2331008186628003,21
Guavio,49.71088476124662,0.20589327560738743,21
Miel-Norcasia,1.6957230667907144,0.8459747102271573,21
Mu?a,49.38522489528588,-0.19110909207122206,21
Neusa,6.136621203920434,0.5758038474163948,21
Prado ,0.3657245660185998,0.7715901881338638,21
Salvajina,23.74615734247596,-0.34933968191646325,21
Sisga,17.66941593777291,0.44566579107727516,21
Tomine,139.4708339100336,0.004464530166273982,21
