Embalse,br,R²,ln(P)_range,ln(Q)_range,P_variation_ratio,Q_variation_ratio,n_observations
Betania,0.008911975291354644,0.0016827840526255633,6.220590170099739,1.4164938774224813,503.0,4.122640587772036,118
Guatape,0.2774016734978161,0.10730020214490865,3.882292471269803,2.961506433158169,48.535353535353536,19.327064767878074,126
Guavio,0.3329999839744117,0.3940004837159833,5.722713262315639,1.839002829926529,305.73333333333335,6.290262670941617,124
Miel-Norcasia,0.3894561437009615,0.35171800502378014,3.787592927049969,1.7800211668509496,44.15,5.929981936306512,126
Muna,0.08441440554387239,0.008704349256401178,3.7553429331736448,3.4051233329240596,42.74887730530222,30.118010037109244,124
Neusa,0.30728203240342805,0.1643143146223054,5.41985403227287,2.767209158633733,225.84615384615387,15.914158085343082,122
Prado,0.19131265951278464,0.04590145732206752,4.812261756115734,3.4051233329240596,123.00952065987623,30.118010037109244,111
Salvajina,0.4516775908473357,0.23126649164737434,5.194252307719849,4.310246247853144,180.23333333333335,74.45882200808057,124
Sisga,0.2539812392190339,0.45365315728351874,7.728855823852544,1.7534186707575783,2273.0,5.774309434161343,124
Tomine,0.24839733859619414,0.2044474633027693,6.6430081778128525,3.1579827840363537,767.4,23.5230968707235,126
