station_id,river_name,station_name,latitude,longitude
3102010,RIO SINU,COTOCA ABAJO  - AUT [13077060],9.2244,-75.8344
3103010,RIO MAGDALENA,NARINO - AUT [21237010],4.3878,-74.8384
3103015,RIO MAGDALENA,EL BANCO - AUT [25027020],8.9925,-73.9694
3103045,RIO LA TETA,BUENOS AIRES,3.05,-76.58
3103090,RIO LA VIEJA,EL ALAMBRADO,4.42,-75.88
3103100,RIO CAUCA,LA VIRGINIA,4.88,-75.88
3103140,"SAN JUAN, RIO",CAMPAMENTO,5.68,-75.88
3103150,RIO CAUCA,LA PINTADA,5.73,-75.6
3103190,RIO TARAZA,LAS CAMELIAS,7.58,-75.42
3103300,RIO MAGDALENA,CALAMAR,10.27,-74.92
3103450,RIO MAGDALENA,PUENTE SANTANDER,2.9,-75.33
3103465,RIO COELLO,PTE.CARRETERA,4.43,-75.37
3103470,RIO SUMAPAZ,EL PROFUNDO,4.0,-74.5
3103480,RIO LA MIEL,SAN MIGUEL,5.78,-74.67
3103490,RIO DE LA PLATA,VEGA EL SALADO,2.38,-75.92
3103500,RIO MAGDALENA,PUERTO BERRIO,6.5,-74.38
3103520,RIO NEGRO,GUADUERO,5.2,-74.57
3103530,"SAN JUAN, RIO",BORBUR,5.65,-74.07
3103560,RIO SUAREZ,PTE.NACIONAL,5.87,-73.7
3105800,RIO DON DIEGO,PTE.CARRETERA,11.27,-73.67
3105850,RIO RANCHERIA,EL CERCADO,10.92,-72.95
3106500,RIO CHITAGA,PTE.LOPEZ,7.2,-72.63
3107010,RIO META,CABUYARO [35107030],4.28,-72.79
3107015,RIO META,AGUAVERDE [35267080],5.79,-69.99
3107250,RIO LENGUPA,SAN AGUSTIN,4.85,-73.23
3107350,RIO CUSIANA,VADO HONDO,5.52,-72.77
3120010,RIO PUTUMAYO,PUENTE TEXAS AUT [47017160],0.5827,-76.5769
3121200,RIO ORTEGUAZA,LARANDIA,1.47,-75.48
3141300,RIO SAN JUAN,TADO,5.2562,-76.5771
3141310,RIO TAMANA,MAMPI,4.95,-76.62
3141500,RIO SAN JUAN,PENITAS,4.2146,-77.2604
3142500,RIO PATIA,PTE PUSMEO,1.7063,-77.5104
3142600,RIO BLANCO,CARLOSAMA,0.88,-77.66
3142800,RIO MAYO,LA CANADA,1.63,-77.0
