# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-18
#
# GRDC-No.:              3102400
# River:                 RIO QUITO
# Station:               SAN ISIDRO
# Country:               CO
# Latitude (DD):       5.63
# Longitude (DD):      -76.75
# Catchment area (km²):      1436.0
# Altitude (m ASL):        30.0
# Next downstream station:      3102500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4017
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;    265.000
1978-01-02;--:--;    198.000
1978-01-03;--:--;    276.000
1978-01-04;--:--;    235.000
1978-01-05;--:--;    114.000
1978-01-06;--:--;     86.000
1978-01-07;--:--;    134.000
1978-01-08;--:--;    192.000
1978-01-09;--:--;    328.000
1978-01-10;--:--;    440.000
1978-01-11;--:--;    389.000
1978-01-12;--:--;    348.000
1978-01-13;--:--;    188.000
1978-01-14;--:--;    116.000
1978-01-15;--:--;     91.000
1978-01-16;--:--;     97.000
1978-01-17;--:--;     76.000
1978-01-18;--:--;     66.000
1978-01-19;--:--;    149.000
1978-01-20;--:--;    155.000
1978-01-21;--:--;     95.000
1978-01-22;--:--;     70.000
1978-01-23;--:--;     60.000
1978-01-24;--:--;     56.000
1978-01-25;--:--;     53.000
1978-01-26;--:--;    182.000
1978-01-27;--:--;    174.000
1978-01-28;--:--;     98.000
1978-01-29;--:--;     97.000
1978-01-30;--:--;    161.000
1978-01-31;--:--;    111.000
1978-02-01;--:--;     71.000
1978-02-02;--:--;    199.000
1978-02-03;--:--;    316.000
1978-02-04;--:--;    166.000
1978-02-05;--:--;    333.000
1978-02-06;--:--;    211.000
1978-02-07;--:--;    150.000
1978-02-08;--:--;    111.000
1978-02-09;--:--;    147.000
1978-02-10;--:--;    171.000
1978-02-11;--:--;    361.000
1978-02-12;--:--;    310.000
1978-02-13;--:--;    256.000
1978-02-14;--:--;    129.000
1978-02-15;--:--;     89.000
1978-02-16;--:--;     73.000
1978-02-17;--:--;     75.000
1978-02-18;--:--;    160.000
1978-02-19;--:--;    148.000
1978-02-20;--:--;    168.000
1978-02-21;--:--;    118.000
1978-02-22;--:--;    102.000
1978-02-23;--:--;    107.000
1978-02-24;--:--;     76.000
1978-02-25;--:--;    213.000
1978-02-26;--:--;    330.000
1978-02-27;--:--;    269.000
1978-02-28;--:--;    149.000
1978-03-01;--:--;    109.000
1978-03-02;--:--;    107.000
1978-03-03;--:--;    267.000
1978-03-04;--:--;    185.000
1978-03-05;--:--;    122.000
1978-03-06;--:--;    126.000
1978-03-07;--:--;    178.000
1978-03-08;--:--;    425.000
1978-03-09;--:--;    378.000
1978-03-10;--:--;    184.000
1978-03-11;--:--;    122.000
1978-03-12;--:--;    123.000
1978-03-13;--:--;    132.000
1978-03-14;--:--;     95.000
1978-03-15;--:--;     88.000
1978-03-16;--:--;     88.000
1978-03-17;--:--;     87.000
1978-03-18;--:--;     86.000
1978-03-19;--:--;     85.000
1978-03-20;--:--;     85.000
1978-03-21;--:--;    112.000
1978-03-22;--:--;    158.000
1978-03-23;--:--;     96.000
1978-03-24;--:--;    106.000
1978-03-25;--:--;    205.000
1978-03-26;--:--;    234.000
1978-03-27;--:--;    323.000
1978-03-28;--:--;    499.000
1978-03-29;--:--;    247.000
1978-03-30;--:--;    149.000
1978-03-31;--:--;    217.000
1978-04-01;--:--;    271.000
1978-04-02;--:--;    172.000
1978-04-03;--:--;    123.000
1978-04-04;--:--;    113.000
1978-04-05;--:--;    125.000
1978-04-06;--:--;    294.000
1978-04-07;--:--;    269.000
1978-04-08;--:--;    293.000
1978-04-09;--:--;    206.000
1978-04-10;--:--;    333.000
1978-04-11;--:--;    613.000
1978-04-12;--:--;    751.000
1978-04-13;--:--;    696.000
1978-04-14;--:--;    623.000
1978-04-15;--:--;    499.000
1978-04-16;--:--;    349.000
1978-04-17;--:--;    214.000
1978-04-18;--:--;    212.000
1978-04-19;--:--;    304.000
1978-04-20;--:--;    385.000
1978-04-21;--:--;    245.000
1978-04-22;--:--;    184.000
1978-04-23;--:--;    298.000
1978-04-24;--:--;    341.000
1978-04-25;--:--;    334.000
1978-04-26;--:--;    425.000
1978-04-27;--:--;    561.000
1978-04-28;--:--;    364.000
1978-04-29;--:--;    262.000
1978-04-30;--:--;    260.000
1978-05-01;--:--;    238.000
1978-05-02;--:--;    205.000
1978-05-03;--:--;    384.000
1978-05-04;--:--;    586.000
1978-05-05;--:--;    401.000
1978-05-06;--:--;    243.000
1978-05-07;--:--;    207.000
1978-05-08;--:--;    177.000
1978-05-09;--:--;    173.000
1978-05-10;--:--;    348.000
1978-05-11;--:--;    345.000
1978-05-12;--:--;    245.000
1978-05-13;--:--;    301.000
1978-05-14;--:--;    300.000
1978-05-15;--:--;    169.000
1978-05-16;--:--;    137.000
1978-05-17;--:--;    161.000
1978-05-18;--:--;    307.000
1978-05-19;--:--;    416.000
1978-05-20;--:--;    613.000
1978-05-21;--:--;    473.000
1978-05-22;--:--;    301.000
1978-05-23;--:--;    323.000
1978-05-24;--:--;    396.000
1978-05-25;--:--;    613.000
1978-05-26;--:--;    547.000
1978-05-27;--:--;    386.000
1978-05-28;--:--;    522.000
1978-05-29;--:--;    321.000
1978-05-30;--:--;    360.000
1978-05-31;--:--;    400.000
1978-06-01;--:--;    286.000
1978-06-02;--:--;    331.000
1978-06-03;--:--;    445.000
1978-06-04;--:--;    402.000
1978-06-05;--:--;    487.000
1978-06-06;--:--;    629.000
1978-06-07;--:--;    473.000
1978-06-08;--:--;    462.000
1978-06-09;--:--;    631.000
1978-06-10;--:--;    664.000
1978-06-11;--:--;    536.000
1978-06-12;--:--;    499.000
1978-06-13;--:--;    455.000
1978-06-14;--:--;    327.000
1978-06-15;--:--;    433.000
1978-06-16;--:--;    539.000
1978-06-17;--:--;    563.000
1978-06-18;--:--;    356.000
1978-06-19;--:--;    210.000
1978-06-20;--:--;    202.000
1978-06-21;--:--;    290.000
1978-06-22;--:--;    375.000
1978-06-23;--:--;    462.000
1978-06-24;--:--;    426.000
1978-06-25;--:--;    378.000
1978-06-26;--:--;    265.000
1978-06-27;--:--;    247.000
1978-06-28;--:--;    204.000
1978-06-29;--:--;    185.000
1978-06-30;--:--;    178.000
1978-07-01;--:--;    222.000
1978-07-02;--:--;    311.000
1978-07-03;--:--;    198.000
1978-07-04;--:--;    189.000
1978-07-05;--:--;    195.000
1978-07-06;--:--;    175.000
1978-07-07;--:--;    191.000
1978-07-08;--:--;    361.000
1978-07-09;--:--;    594.000
1978-07-10;--:--;    358.000
1978-07-11;--:--;    228.000
