# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-18
#
# GRDC-No.:              3102550
# River:                 RIO SUCIO
# Station:               MUTATA
# Country:               CO
# Latitude (DD):       7.23
# Longitude (DD):      -76.43
# Catchment area (km²):      3475.0
# Altitude (m ASL):        90.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1979-01 - 1987-12
# No. of years:          9
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3263
# DATA
YYYY-MM-DD;hh:mm; Value
1979-01-01;--:--;     93.000
1979-01-02;--:--;     83.000
1979-01-03;--:--;    106.000
1979-01-04;--:--;     89.000
1979-01-05;--:--;    105.000
1979-01-06;--:--;     95.000
1979-01-07;--:--;    102.000
1979-01-08;--:--;    139.000
1979-01-09;--:--;     96.000
1979-01-10;--:--;    107.000
1979-01-11;--:--;    106.000
1979-01-12;--:--;     83.000
1979-01-13;--:--;     82.000
1979-01-14;--:--;     86.000
1979-01-15;--:--;     80.000
1979-01-16;--:--;     78.000
1979-01-17;--:--;     75.000
1979-01-18;--:--;     75.000
1979-01-19;--:--;     74.000
1979-01-20;--:--;     75.000
1979-01-21;--:--;     73.000
1979-01-22;--:--;     78.000
1979-01-23;--:--;     92.000
1979-01-24;--:--;     81.000
1979-01-25;--:--;    101.000
1979-01-26;--:--;     86.000
1979-01-27;--:--;    225.000
1979-01-28;--:--;    142.000
1979-01-29;--:--;    258.000
1979-01-30;--:--;    431.000
1979-01-31;--:--;    321.000
1979-02-01;--:--;    183.000
1979-02-02;--:--;    144.000
1979-02-03;--:--;    126.000
1979-02-04;--:--;    119.000
1979-02-05;--:--;    191.000
1979-02-06;--:--;    296.000
1979-02-07;--:--;    176.000
1979-02-08;--:--;    324.000
1979-02-09;--:--;    279.000
1979-02-10;--:--;    272.000
1979-02-11;--:--;    324.000
1979-02-12;--:--;    350.000
1979-02-13;--:--;    235.000
1979-02-14;--:--;    231.000
1979-02-15;--:--;    406.000
1979-02-16;--:--;    404.000
1979-02-17;--:--;    658.000
1979-02-18;--:--;    770.000
1979-02-19;--:--;    446.000
1979-02-20;--:--;    490.000
1979-02-21;--:--;    388.000
1979-02-22;--:--;    359.000
1979-02-23;--:--;    396.000
1979-02-24;--:--;    374.000
1979-02-25;--:--;    373.000
1979-02-26;--:--;    687.000
1979-02-27;--:--;    444.000
1979-02-28;--:--;    525.000
1979-03-01;--:--;    490.000
1979-03-02;--:--;    399.000
1979-03-03;--:--;    478.000
1979-03-04;--:--;    401.000
1979-03-05;--:--;    348.000
1979-03-06;--:--;    327.000
1979-03-07;--:--;    343.000
1979-03-08;--:--;    389.000
1979-03-09;--:--;    362.000
1979-03-10;--:--;    484.000
1979-03-11;--:--;    501.000
1979-03-12;--:--;    508.000
1979-03-13;--:--;    357.000
1979-03-14;--:--;    310.000
1979-03-15;--:--;    304.000
1979-03-16;--:--;    299.000
1979-03-17;--:--;    287.000
1979-03-18;--:--;    257.000
1979-03-19;--:--;    259.000
1979-03-20;--:--;    247.000
1979-03-21;--:--;    237.000
1979-03-22;--:--;    256.000
1979-03-23;--:--;    247.000
1979-03-24;--:--;    276.000
1979-03-25;--:--;    266.000
1979-03-26;--:--;    263.000
1979-03-27;--:--;    414.000
1979-03-28;--:--;    317.000
1979-03-29;--:--;    330.000
1979-03-30;--:--;    417.000
1979-03-31;--:--;    362.000
1979-04-01;--:--;    354.000
1979-04-02;--:--;    408.000
1979-04-03;--:--;    412.000
1979-04-04;--:--;    361.000
1979-04-05;--:--;    352.000
1979-04-06;--:--;    319.000
1979-04-07;--:--;    338.000
1979-04-08;--:--;    387.000
1979-04-09;--:--;    371.000
1979-04-10;--:--;    322.000
1979-04-11;--:--;    317.000
1979-04-12;--:--;    357.000
1979-04-13;--:--;    312.000
1979-04-14;--:--;    294.000
1979-04-15;--:--;    454.000
1979-04-16;--:--;    366.000
1979-04-17;--:--;    338.000
1979-04-18;--:--;    329.000
1979-04-19;--:--;    327.000
1979-04-20;--:--;    384.000
1979-04-21;--:--;    371.000
1979-04-22;--:--;    318.000
1979-04-23;--:--;    306.000
1979-04-24;--:--;    399.000
1979-04-25;--:--;    292.000
1979-04-26;--:--;    339.000
1979-04-27;--:--;    321.000
1979-04-28;--:--;    280.000
1979-04-29;--:--;    272.000
1979-04-30;--:--;    286.000
1979-05-01;--:--;    318.000
1979-05-02;--:--;    272.000
1979-05-03;--:--;    245.000
1979-05-04;--:--;    214.000
1979-05-05;--:--;    200.000
1979-05-06;--:--;    191.000
1979-05-07;--:--;    185.000
1979-05-08;--:--;    184.000
1979-05-09;--:--;    185.000
1979-05-10;--:--;    232.000
1979-05-11;--:--;    380.000
1979-05-12;--:--;    316.000
1979-05-13;--:--;    382.000
1979-05-14;--:--;    355.000
1979-05-15;--:--;    282.000
1979-05-16;--:--;    256.000
1979-05-17;--:--;    268.000
1979-05-18;--:--;    262.000
1979-05-19;--:--;    257.000
1979-05-20;--:--;    265.000
1979-05-21;--:--;    252.000
1979-05-22;--:--;    285.000
1979-05-23;--:--;    248.000
1979-05-24;--:--;    199.000
1979-05-25;--:--;    209.000
1979-05-26;--:--;    262.000
1979-05-27;--:--;    224.000
1979-05-28;--:--;    185.000
