YYYY-MM-DD;Value;month;Value_imputed
1979-01-01;93.0;1;93.0
1979-01-02;83.0;1;83.0
1979-01-03;106.0;1;106.0
1979-01-04;89.0;1;89.0
1979-01-05;105.0;1;105.0
1979-01-06;95.0;1;95.0
1979-01-07;102.0;1;102.0
1979-01-08;139.0;1;139.0
1979-01-09;96.0;1;96.0
1979-01-10;107.0;1;107.0
1979-01-11;106.0;1;106.0
1979-01-12;83.0;1;83.0
1979-01-13;82.0;1;82.0
1979-01-14;86.0;1;86.0
1979-01-15;80.0;1;80.0
1979-01-16;78.0;1;78.0
1979-01-17;75.0;1;75.0
1979-01-18;75.0;1;75.0
1979-01-19;74.0;1;74.0
1979-01-20;75.0;1;75.0
1979-01-21;73.0;1;73.0
1979-01-22;78.0;1;78.0
1979-01-23;92.0;1;92.0
1979-01-24;81.0;1;81.0
1979-01-25;101.0;1;101.0
1979-01-26;86.0;1;86.0
1979-01-27;225.0;1;225.0
1979-01-28;142.0;1;142.0
1979-01-29;258.0;1;258.0
1979-01-30;431.0;1;431.0
1979-01-31;321.0;1;321.0
1979-02-01;183.0;2;183.0
1979-02-02;144.0;2;144.0
1979-02-03;126.0;2;126.0
1979-02-04;119.0;2;119.0
1979-02-05;191.0;2;191.0
1979-02-06;296.0;2;296.0
1979-02-07;176.0;2;176.0
1979-02-08;324.0;2;324.0
1979-02-09;279.0;2;279.0
1979-02-10;272.0;2;272.0
1979-02-11;324.0;2;324.0
1979-02-12;350.0;2;350.0
1979-02-13;235.0;2;235.0
1979-02-14;231.0;2;231.0
1979-02-15;406.0;2;406.0
1979-02-16;404.0;2;404.0
1979-02-17;658.0;2;658.0
1979-02-18;770.0;2;770.0
1979-02-19;446.0;2;446.0
1979-02-20;490.0;2;490.0
1979-02-21;388.0;2;388.0
1979-02-22;359.0;2;359.0
1979-02-23;396.0;2;396.0
1979-02-24;374.0;2;374.0
1979-02-25;373.0;2;373.0
1979-02-26;687.0;2;687.0
1979-02-27;444.0;2;444.0
1979-02-28;525.0;2;525.0
1979-03-01;490.0;3;490.0
1979-03-02;399.0;3;399.0
1979-03-03;478.0;3;478.0
1979-03-04;401.0;3;401.0
1979-03-05;348.0;3;348.0
1979-03-06;327.0;3;327.0
1979-03-07;343.0;3;343.0
1979-03-08;389.0;3;389.0
1979-03-09;362.0;3;362.0
1979-03-10;484.0;3;484.0
1979-03-11;501.0;3;501.0
1979-03-12;508.0;3;508.0
1979-03-13;357.0;3;357.0
1979-03-14;310.0;3;310.0
1979-03-15;304.0;3;304.0
1979-03-16;299.0;3;299.0
1979-03-17;287.0;3;287.0
1979-03-18;257.0;3;257.0
1979-03-19;259.0;3;259.0
1979-03-20;247.0;3;247.0
1979-03-21;237.0;3;237.0
1979-03-22;256.0;3;256.0
1979-03-23;247.0;3;247.0
1979-03-24;276.0;3;276.0
1979-03-25;266.0;3;266.0
1979-03-26;263.0;3;263.0
1979-03-27;414.0;3;414.0
1979-03-28;317.0;3;317.0
1979-03-29;330.0;3;330.0
1979-03-30;417.0;3;417.0
1979-03-31;362.0;3;362.0
1979-04-01;354.0;4;354.0
1979-04-02;408.0;4;408.0
1979-04-03;412.0;4;412.0
1979-04-04;361.0;4;361.0
1979-04-05;352.0;4;352.0
1979-04-06;319.0;4;319.0
1979-04-07;338.0;4;338.0
1979-04-08;387.0;4;387.0
1979-04-09;371.0;4;371.0
1979-04-10;322.0;4;322.0
1979-04-11;317.0;4;317.0
1979-04-12;357.0;4;357.0
1979-04-13;312.0;4;312.0
1979-04-14;294.0;4;294.0
1979-04-15;454.0;4;454.0
1979-04-16;366.0;4;366.0
1979-04-17;338.0;4;338.0
1979-04-18;329.0;4;329.0
1979-04-19;327.0;4;327.0
1979-04-20;384.0;4;384.0
1979-04-21;371.0;4;371.0
1979-04-22;318.0;4;318.0
1979-04-23;306.0;4;306.0
1979-04-24;399.0;4;399.0
1979-04-25;292.0;4;292.0
1979-04-26;339.0;4;339.0
1979-04-27;321.0;4;321.0
1979-04-28;280.0;4;280.0
1979-04-29;272.0;4;272.0
1979-04-30;286.0;4;286.0
1979-05-01;318.0;5;318.0
1979-05-02;272.0;5;272.0
1979-05-03;245.0;5;245.0
1979-05-04;214.0;5;214.0
1979-05-05;200.0;5;200.0
1979-05-06;191.0;5;191.0
1979-05-07;185.0;5;185.0
1979-05-08;184.0;5;184.0
1979-05-09;185.0;5;185.0
1979-05-10;232.0;5;232.0
1979-05-11;380.0;5;380.0
1979-05-12;316.0;5;316.0
1979-05-13;382.0;5;382.0
1979-05-14;355.0;5;355.0
1979-05-15;282.0;5;282.0
1979-05-16;256.0;5;256.0
1979-05-17;268.0;5;268.0
1979-05-18;262.0;5;262.0
1979-05-19;257.0;5;257.0
1979-05-20;265.0;5;265.0
1979-05-21;252.0;5;252.0
1979-05-22;285.0;5;285.0
1979-05-23;248.0;5;248.0
1979-05-24;199.0;5;199.0
1979-05-25;209.0;5;209.0
1979-05-26;262.0;5;262.0
1979-05-27;224.0;5;224.0
1979-05-28;185.0;5;185.0
1979-05-29;200.0;5;200.0
1979-05-30;201.0;5;201.0
1979-05-31;196.0;5;196.0
1979-06-01;190.0;6;190.0
1979-06-02;182.0;6;182.0
1979-06-03;193.0;6;193.0
1979-06-04;190.0;6;190.0
1979-06-05;193.0;6;193.0
1979-06-06;227.0;6;227.0
1979-06-07;236.0;6;236.0
1979-06-08;273.0;6;273.0
1979-06-09;283.0;6;283.0
1979-06-10;196.0;6;196.0
1979-06-11;181.0;6;181.0
1979-06-12;184.0;6;184.0
1979-06-13;203.0;6;203.0
