# River:                 RIO ATRATO
# Station:               PTE.LAS SANCHEZ
# Latitude (DD):       5.85
# Longitude (DD):      -76.25

YYYY-MM-DD;Value;month;Value_imputed
1978-01-01;8.0;1;8.0
1978-01-02;7.0;1;7.0
1978-01-03;8.0;1;8.0
1978-01-04;7.0;1;7.0
1978-01-05;7.0;1;7.0
1978-01-06;7.0;1;7.0
1978-01-07;8.0;1;8.0
1978-01-08;7.0;1;7.0
1978-01-09;10.0;1;10.0
1978-01-10;7.0;1;7.0
1978-01-11;7.0;1;7.0
1978-01-12;8.0;1;8.0
1978-01-13;7.0;1;7.0
1978-01-14;7.0;1;7.0
1978-01-15;6.0;1;6.0
1978-01-16;6.0;1;6.0
1978-01-17;6.0;1;6.0
1978-01-18;6.0;1;6.0
1978-01-19;6.0;1;6.0
1978-01-20;6.0;1;6.0
1978-01-21;6.0;1;6.0
1978-01-22;6.0;1;6.0
1978-01-23;5.0;1;5.0
1978-01-24;5.0;1;5.0
1978-01-25;5.0;1;5.0
1978-01-26;5.0;1;5.0
1978-01-27;5.0;1;5.0
1978-01-28;6.0;1;6.0
1978-01-29;6.0;1;6.0
1978-01-30;5.0;1;5.0
1978-01-31;4.0;1;4.0
1978-02-01;5.0;2;5.0
1978-02-02;5.0;2;5.0
1978-02-03;5.0;2;5.0
1978-02-04;6.0;2;6.0
1978-02-05;7.0;2;7.0
1978-02-06;6.0;2;6.0
1978-02-07;5.0;2;5.0
1978-02-08;5.0;2;5.0
1978-02-09;5.0;2;5.0
1978-02-10;5.0;2;5.0
1978-02-11;5.0;2;5.0
1978-02-12;5.0;2;5.0
1978-02-13;4.0;2;4.0
1978-02-14;4.0;2;4.0
1978-02-15;4.0;2;4.0
1978-02-16;4.0;2;4.0
1978-02-17;4.0;2;4.0
1978-02-18;4.0;2;4.0
1978-02-19;4.0;2;4.0
1978-02-20;4.0;2;4.0
1978-02-21;4.0;2;4.0
1978-02-22;4.0;2;4.0
1978-02-23;4.0;2;4.0
1978-02-24;4.0;2;4.0
1978-02-25;4.0;2;4.0
1978-02-26;4.0;2;4.0
1978-02-27;4.0;2;4.0
1978-02-28;4.0;2;4.0
1978-03-01;4.0;3;4.0
1978-03-02;4.0;3;4.0
1978-03-03;5.0;3;5.0
1978-03-04;4.0;3;4.0
1978-03-05;4.0;3;4.0
1978-03-06;8.0;3;8.0
1978-03-07;5.0;3;5.0
1978-03-08;7.0;3;7.0
1978-03-09;5.0;3;5.0
1978-03-10;6.0;3;6.0
1978-03-11;4.0;3;4.0
1978-03-12;4.0;3;4.0
1978-03-13;4.0;3;4.0
1978-03-14;4.0;3;4.0
1978-03-15;4.0;3;4.0
1978-03-16;4.0;3;4.0
1978-03-17;4.0;3;4.0
1978-03-18;4.0;3;4.0
1978-03-19;4.0;3;4.0
1978-03-20;4.0;3;4.0
1978-03-21;5.0;3;5.0
1978-03-22;6.0;3;6.0
1978-03-23;8.0;3;8.0
