# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-18
#
# GRDC-No.:              3102650
# River:                 RIO SINU
# Station:               ANGOSTURA DE URRA
# Country:               CO
# Latitude (DD):       8.0
# Longitude (DD):      -76.25
# Catchment area (km²):      4910.0
# Altitude (m ASL):        77.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959-09 - 1995-10
# No. of years:          37
# Last update:           2024-10-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 13207
# DATA
YYYY-MM-DD;hh:mm; Value
1959-09-01;--:--;    502.000
1959-09-02;--:--;    515.000
1959-09-03;--:--;    513.000
1959-09-04;--:--;    415.000
1959-09-05;--:--;    428.000
1959-09-06;--:--;    374.000
1959-09-07;--:--;    546.000
1959-09-08;--:--;    443.000
1959-09-09;--:--;    392.000
1959-09-10;--:--;    500.000
1959-09-11;--:--;    487.000
1959-09-12;--:--;    654.000
1959-09-13;--:--;    700.000
1959-09-14;--:--;    555.000
1959-09-15;--:--;    588.000
1959-09-16;--:--;    513.000
1959-09-17;--:--;    560.000
1959-09-18;--:--;    696.000
1959-09-19;--:--;    700.000
1959-09-20;--:--;    520.000
1959-09-21;--:--;    445.000
1959-09-22;--:--;    463.000
1959-09-23;--:--;    392.000
1959-09-24;--:--;    401.000
1959-09-25;--:--;    418.000
1959-09-26;--:--;    364.000
1959-09-27;--:--;    496.000
1959-09-28;--:--;    438.000
1959-09-29;--:--;    500.000
1959-09-30;--:--;    428.000
1959-10-01;--:--;    463.000
1959-10-02;--:--;    416.000
1959-10-03;--:--;    416.000
1959-10-04;--:--;    480.000
1959-10-05;--:--;    385.000
1959-10-06;--:--;    374.000
1959-10-07;--:--;    598.000
1959-10-08;--:--;    643.000
1959-10-09;--:--;    663.000
1959-10-10;--:--;    520.000
1959-10-11;--:--;    588.000
1959-10-12;--:--;    544.000
1959-10-13;--:--;    472.000
1959-10-14;--:--;    445.000
1959-10-15;--:--;    390.000
1959-10-16;--:--;    425.000
1959-10-17;--:--;    406.000
1959-10-18;--:--;    375.000
1959-10-19;--:--;    346.000
1959-10-20;--:--;    352.000
1959-10-21;--:--;    354.000
1959-10-22;--:--;    325.000
1959-10-23;--:--;    321.000
1959-10-24;--:--;    310.000
1959-10-25;--:--;    306.000
1959-10-26;--:--;    313.000
1959-10-27;--:--;    304.000
1959-10-28;--:--;    383.000
1959-10-29;--:--;    332.000
1959-10-30;--:--;    360.000
1959-10-31;--:--;    390.000
1959-11-01;--:--;    383.000
1959-11-02;--:--;    442.000
1959-11-03;--:--;    525.000
1959-11-04;--:--;    398.000
1959-11-05;--:--;    428.000
1959-11-06;--:--;    366.000
1959-11-07;--:--;    356.000
