# River:                 RIO SINU
# Station:               ANGOSTURA DE URRA
# Latitude (DD):       8.0
# Longitude (DD):      -76.25

YYYY-MM-DD;Value;month;Value_imputed
1959-09-01;502.0;9;502.0
1959-09-02;515.0;9;515.0
1959-09-03;513.0;9;513.0
1959-09-04;415.0;9;415.0
1959-09-05;428.0;9;428.0
1959-09-06;374.0;9;374.0
1959-09-07;546.0;9;546.0
1959-09-08;443.0;9;443.0
1959-09-09;392.0;9;392.0
1959-09-10;500.0;9;500.0
1959-09-11;487.0;9;487.0
1959-09-12;654.0;9;654.0
1959-09-13;700.0;9;700.0
1959-09-14;555.0;9;555.0
1959-09-15;588.0;9;588.0
1959-09-16;513.0;9;513.0
1959-09-17;560.0;9;560.0
1959-09-18;696.0;9;696.0
1959-09-19;700.0;9;700.0
1959-09-20;520.0;9;520.0
1959-09-21;445.0;9;445.0
1959-09-22;463.0;9;463.0
1959-09-23;392.0;9;392.0
1959-09-24;401.0;9;401.0
1959-09-25;418.0;9;418.0
1959-09-26;364.0;9;364.0
1959-09-27;496.0;9;496.0
1959-09-28;438.0;9;438.0
1959-09-29;500.0;9;500.0
1959-09-30;428.0;9;428.0
1959-10-01;463.0;10;463.0
1959-10-02;416.0;10;416.0
1959-10-03;416.0;10;416.0
1959-10-04;480.0;10;480.0
1959-10-05;385.0;10;385.0
1959-10-06;374.0;10;374.0
1959-10-07;598.0;10;598.0
1959-10-08;643.0;10;643.0
1959-10-09;663.0;10;663.0
1959-10-10;520.0;10;520.0
1959-10-11;588.0;10;588.0
1959-10-12;544.0;10;544.0
1959-10-13;472.0;10;472.0
1959-10-14;445.0;10;445.0
1959-10-15;390.0;10;390.0
1959-10-16;425.0;10;425.0
1959-10-17;406.0;10;406.0
1959-10-18;375.0;10;375.0
1959-10-19;346.0;10;346.0
1959-10-20;352.0;10;352.0
1959-10-21;354.0;10;354.0
1959-10-22;325.0;10;325.0
1959-10-23;321.0;10;321.0
1959-10-24;310.0;10;310.0
1959-10-25;306.0;10;306.0
1959-10-26;313.0;10;313.0
1959-10-27;304.0;10;304.0
1959-10-28;383.0;10;383.0
1959-10-29;332.0;10;332.0
1959-10-30;360.0;10;360.0
1959-10-31;390.0;10;390.0
1959-11-01;383.0;11;383.0
1959-11-02;442.0;11;442.0
1959-11-03;525.0;11;525.0
1959-11-04;398.0;11;398.0
1959-11-05;428.0;11;428.0
1959-11-06;366.0;11;366.0
1959-11-07;356.0;11;356.0
1959-11-08;304.0;11;304.0
1959-11-09;329.0;11;329.0
1959-11-10;546.0;11;546.0
1959-11-11;477.0;11;477.0
1959-11-12;515.0;11;515.0
1959-11-13;416.0;11;416.0
1959-11-14;530.0;11;530.0
1959-11-15;580.0;11;580.0
1959-11-16;445.0;11;445.0
1959-11-17;528.0;11;528.0
1959-11-18;445.0;11;445.0
1959-11-19;362.0;11;362.0
1959-11-20;354.0;11;354.0
1959-11-21;448.0;11;448.0
1959-11-22;733.0;11;733.0
1959-11-23;510.0;11;510.0
1959-11-24;406.0;11;406.0
1959-11-25;370.0;11;370.0
1959-11-26;332.0;11;332.0
1959-11-27;348.0;11;348.0
1959-11-28;354.0;11;354.0
1959-11-29;306.0;11;306.0
1959-11-30;291.0;11;291.0
1959-12-01;274.0;12;274.0
1959-12-02;252.0;12;252.0
1959-12-03;445.0;12;445.0
1959-12-04;356.0;12;356.0
1959-12-05;292.0;12;292.0
1959-12-06;310.0;12;310.0
1959-12-07;425.0;12;425.0
1959-12-08;311.0;12;311.0
1959-12-09;275.0;12;275.0
1959-12-10;334.0;12;334.0
1959-12-11;304.0;12;304.0
1959-12-12;291.0;12;291.0
1959-12-13;275.0;12;275.0
1959-12-14;265.0;12;265.0
1959-12-15;258.0;12;258.0
1959-12-16;246.0;12;246.0
1959-12-17;244.0;12;244.0
1959-12-18;242.0;12;242.0
1959-12-19;248.0;12;248.0
1959-12-20;270.0;12;270.0
1959-12-21;304.0;12;304.0
1959-12-22;613.0;12;613.0
1959-12-23;332.0;12;332.0
1959-12-24;350.0;12;350.0
1959-12-25;332.0;12;332.0
1959-12-26;352.0;12;352.0
1959-12-27;301.0;12;301.0
1959-12-28;279.0;12;279.0
1959-12-29;292.0;12;292.0
