# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-18
#
# GRDC-No.:              3103015
# River:                 RIO MAGDALENA
# Station:               EL BANCO - AUT [25027020]
# Country:               CO
# Latitude (DD):       8.992527778
# Longitude (DD):      -73.96944444
# Catchment area (km²):      159122.0133
# Altitude (m ASL):        29.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1972-10 - 2024-12
# No. of years:          53
# Last update:           2025-05-27
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 19085
# DATA
YYYY-MM-DD;hh:mm; Value
1972-10-01;--:--;   3683.000
1972-10-02;--:--;   3701.000
1972-10-03;--:--;   3697.000
1972-10-04;--:--;   3701.000
1972-10-05;--:--;   3715.000
1972-10-06;--:--;   3760.000
1972-10-07;--:--;   3805.000
1972-10-08;--:--;   3848.000
1972-10-09;--:--;   3890.000
1972-10-10;--:--;   3890.000
1972-10-11;--:--;   3890.000
1972-10-12;--:--;   4079.000
1972-10-13;--:--;   4189.000
1972-10-14;--:--;   4354.000
1972-10-15;--:--;   4405.000
1972-10-16;--:--;   4424.000
1972-10-17;--:--;   4424.000
1972-10-18;--:--;   4424.000
1972-10-19;--:--;   4424.000
1972-10-20;--:--;   4424.000
1972-10-21;--:--;   4424.000
1972-10-22;--:--;   4396.000
1972-10-23;--:--;   4330.000
1972-10-24;--:--;   4330.000
1972-10-25;--:--;   4321.000
1972-10-26;--:--;   4312.000
1972-10-27;--:--;   4304.000
1972-10-28;--:--;   4224.000
1972-10-29;--:--;   4154.000
1972-10-30;--:--;   4084.000
1972-10-31;--:--;   4053.000
1972-11-01;--:--;   4110.000
1972-11-02;--:--;   4198.000
1972-11-03;--:--;   4268.000
1972-11-04;--:--;   4286.000
1972-11-05;--:--;   4368.000
1972-11-06;--:--;   4499.000
1972-11-07;--:--;   4556.000
1972-11-08;--:--;   4668.000
1972-11-09;--:--;   4744.000
1972-11-10;--:--;   4834.000
1972-11-11;--:--;   4937.000
1972-11-12;--:--;   4994.000
1972-11-13;--:--;   5028.000
1972-11-14;--:--;   5074.000
1972-11-15;--:--;   5119.000
1972-11-16;--:--;   5165.000
1972-11-17;--:--;   5233.000
1972-11-18;--:--;   5233.000
1972-11-19;--:--;   5233.000
1972-11-20;--:--;   5233.000
1972-11-21;--:--;   5256.000
1972-11-22;--:--;   5256.000
1972-11-23;--:--;   5256.000
1972-11-24;--:--;   5256.000
1972-11-25;--:--;   5279.000
1972-11-26;--:--;   5313.000
1972-11-27;--:--;   5370.000
1972-11-28;--:--;   5370.000
1972-11-29;--:--;   5370.000
1972-11-30;--:--;   5370.000
1972-12-01;--:--;   5256.000
1972-12-02;--:--;   5096.000
1972-12-03;--:--;   4868.000
1972-12-04;--:--;   4772.000
1972-12-05;--:--;   4565.000
1972-12-06;--:--;   4518.000
1972-12-07;--:--;   4603.000
1972-12-08;--:--;   4358.000
1972-12-09;--:--;   4242.000
1972-12-10;--:--;   4154.000
1972-12-11;--:--;   4022.000
1972-12-12;--:--;   3978.000
1972-12-13;--:--;   3978.000
1972-12-14;--:--;   3978.000
1972-12-15;--:--;   3889.000
1972-12-16;--:--;   3800.000
1972-12-17;--:--;   3755.000
1972-12-18;--:--;   3665.000
1972-12-19;--:--;   3589.000
1972-12-20;--:--;   3571.000
1972-12-21;--:--;   3566.000
1972-12-22;--:--;   3607.000
1972-12-23;--:--;   3710.000
1972-12-24;--:--;   3809.000
1972-12-25;--:--;   3899.000
1972-12-26;--:--;   3952.000
1972-12-27;--:--;   3782.000
1972-12-28;--:--;   3616.000
1972-12-29;--:--;   3367.000
1972-12-30;--:--;   3144.000
1972-12-31;--:--;   2967.000
1973-01-01;--:--;   -999.000
1973-01-02;--:--;   -999.000
1973-01-03;--:--;   -999.000
1973-01-04;--:--;   -999.000
1973-01-05;--:--;   -999.000
1973-01-06;--:--;   -999.000
1973-01-07;--:--;   -999.000
1973-01-08;--:--;   -999.000
1973-01-09;--:--;   -999.000
1973-01-10;--:--;   -999.000
1973-01-11;--:--;   -999.000
1973-01-12;--:--;   -999.000
1973-01-13;--:--;   -999.000
1973-01-14;--:--;   -999.000
1973-01-15;--:--;   -999.000
1973-01-16;--:--;   -999.000
1973-01-17;--:--;   -999.000
1973-01-18;--:--;   -999.000
1973-01-19;--:--;   -999.000
1973-01-20;--:--;   -999.000
1973-01-21;--:--;   -999.000
1973-01-22;--:--;   -999.000
1973-01-23;--:--;   -999.000
1973-01-24;--:--;   -999.000
1973-01-25;--:--;   -999.000
1973-01-26;--:--;   -999.000
1973-01-27;--:--;   -999.000
1973-01-28;--:--;   -999.000
1973-01-29;--:--;   -999.000
1973-01-30;--:--;   -999.000
1973-01-31;--:--;   -999.000
1973-02-01;--:--;   -999.000
1973-02-02;--:--;   -999.000
1973-02-03;--:--;   -999.000
1973-02-04;--:--;   -999.000
1973-02-05;--:--;   -999.000
1973-02-06;--:--;   -999.000
1973-02-07;--:--;   -999.000
1973-02-08;--:--;   -999.000
1973-02-09;--:--;   -999.000
1973-02-10;--:--;   -999.000
1973-02-11;--:--;   -999.000
1973-02-12;--:--;   -999.000
1973-02-13;--:--;   -999.000
1973-02-14;--:--;   -999.000
1973-02-15;--:--;   -999.000
1973-02-16;--:--;   -999.000
1973-02-17;--:--;   -999.000
1973-02-18;--:--;   -999.000
1973-02-19;--:--;   -999.000
1973-02-20;--:--;   -999.000
1973-02-21;--:--;   -999.000
1973-02-22;--:--;   -999.000
1973-02-23;--:--;   -999.000
1973-02-24;--:--;   -999.000
1973-02-25;--:--;   -999.000
1973-02-26;--:--;   -999.000
1973-02-27;--:--;   -999.000
1973-02-28;--:--;   -999.000
1973-03-01;--:--;   -999.000
1973-03-02;--:--;   -999.000
1973-03-03;--:--;   -999.000
1973-03-04;--:--;   -999.000
1973-03-05;--:--;   -999.000
1973-03-06;--:--;   -999.000
1973-03-07;--:--;   -999.000
1973-03-08;--:--;   -999.000
1973-03-09;--:--;   -999.000
1973-03-10;--:--;   -999.000
1973-03-11;--:--;   -999.000
1973-03-12;--:--;   -999.000
1973-03-13;--:--;   -999.000
1973-03-14;--:--;   -999.000
1973-03-15;--:--;   -999.000
1973-03-16;--:--;   -999.000
1973-03-17;--:--;   -999.000
1973-03-18;--:--;   -999.000
1973-03-19;--:--;   -999.000
1973-03-20;--:--;   -999.000
1973-03-21;--:--;   -999.000
1973-03-22;--:--;   -999.000
1973-03-23;--:--;   -999.000
1973-03-24;--:--;   -999.000
1973-03-25;--:--;   -999.000
1973-03-26;--:--;   -999.000
1973-03-27;--:--;   -999.000
1973-03-28;--:--;   -999.000
1973-03-29;--:--;   -999.000
1973-03-30;--:--;   -999.000
1973-03-31;--:--;   -999.000
1973-04-01;--:--;   1631.000
1973-04-02;--:--;   1528.000
1973-04-03;--:--;   1473.000
1973-04-04;--:--;   1481.000
1973-04-05;--:--;   1450.000
1973-04-06;--:--;   1316.000
1973-04-07;--:--;   1356.000
1973-04-08;--:--;   1363.000
1973-04-09;--:--;   1512.000
1973-04-10;--:--;   1729.000
1973-04-11;--:--;   1909.000
1973-04-12;--:--;   1891.000
1973-04-13;--:--;   2071.000
1973-04-14;--:--;   2431.000
1973-04-15;--:--;   2458.000
1973-04-16;--:--;   2476.000
1973-04-17;--:--;   2359.000
1973-04-18;--:--;   2035.000
1973-04-19;--:--;   2161.000
1973-04-20;--:--;   2458.000
1973-04-21;--:--;   2377.000
1973-04-22;--:--;   2350.000
1973-04-23;--:--;   2549.000
1973-04-24;--:--;   2757.000
1973-04-25;--:--;   3031.000
1973-04-26;--:--;   3285.000
1973-04-27;--:--;   3349.000
1973-04-28;--:--;   3404.000
1973-04-29;--:--;   3440.000
1973-04-30;--:--;   3394.000
1973-05-01;--:--;   3331.000
1973-05-02;--:--;   3240.000
1973-05-03;--:--;   3203.000
1973-05-04;--:--;   2985.000
1973-05-05;--:--;   2967.000
1973-05-06;--:--;   2967.000
1973-05-07;--:--;   3049.000
1973-05-08;--:--;   3331.000
1973-05-09;--:--;   3665.000
1973-05-10;--:--;   3710.000
1973-05-11;--:--;   3593.000
1973-05-12;--:--;   3458.000
1973-05-13;--:--;   3431.000
1973-05-14;--:--;   3276.000
1973-05-15;--:--;   3249.000
1973-05-16;--:--;   3285.000
1973-05-17;--:--;   2849.000
1973-05-18;--:--;   2826.000
1973-05-19;--:--;   2958.000
1973-05-20;--:--;   3122.000
1973-05-21;--:--;   3340.000
1973-05-22;--:--;   3530.000
1973-05-23;--:--;   3692.000
1973-05-24;--:--;   3755.000
1973-05-25;--:--;   3872.000
1973-05-26;--:--;   3854.000
1973-05-27;--:--;   3800.000
1973-05-28;--:--;   3782.000
1973-05-29;--:--;   3710.000
1973-05-30;--:--;   3701.000
1973-05-31;--:--;   3575.000
1973-06-01;--:--;   3530.000
1973-06-02;--:--;   3494.000
1973-06-03;--:--;   3331.000
1973-06-04;--:--;   3140.000
1973-06-05;--:--;   3112.000
1973-06-06;--:--;   3285.000
1973-06-07;--:--;   3367.000
1973-06-08;--:--;   3422.000
1973-06-09;--:--;   3530.000
1973-06-10;--:--;   3521.000
1973-06-11;--:--;   3521.000
1973-06-12;--:--;   3530.000
1973-06-13;--:--;   3548.000
1973-06-14;--:--;   3611.000
1973-06-15;--:--;   3683.000
1973-06-16;--:--;   3710.000
1973-06-17;--:--;   3710.000
1973-06-18;--:--;   3710.000
1973-06-19;--:--;   3692.000
1973-06-20;--:--;   3692.000
1973-06-21;--:--;   3782.000
1973-06-22;--:--;   3943.000
1973-06-23;--:--;   3960.000
1973-06-24;--:--;   3978.000
1973-06-25;--:--;   4084.000
1973-06-26;--:--;   4268.000
1973-06-27;--:--;   4330.000
1973-06-28;--:--;   4330.000
1973-06-29;--:--;   4419.000
1973-06-30;--:--;   4424.000
1973-07-01;--:--;   4424.000
1973-07-02;--:--;   4471.000
1973-07-03;--:--;   4546.000
1973-07-04;--:--;   4574.000
1973-07-05;--:--;   4443.000
1973-07-06;--:--;   4415.000
1973-07-07;--:--;   4358.000
1973-07-08;--:--;   4330.000
1973-07-09;--:--;   4286.000
1973-07-10;--:--;   4216.000
1973-07-11;--:--;   4092.000
1973-07-12;--:--;   4031.000
1973-07-13;--:--;   4031.000
1973-07-14;--:--;   3960.000
1973-07-15;--:--;   3800.000
1973-07-16;--:--;   3674.000
1973-07-17;--:--;   3602.000
1973-07-18;--:--;   3539.000
1973-07-19;--:--;   3494.000
1973-07-20;--:--;   3494.000
1973-07-21;--:--;   3530.000
1973-07-22;--:--;   3611.000
1973-07-23;--:--;   3692.000
1973-07-24;--:--;   3751.000
1973-07-25;--:--;   3787.000
1973-07-26;--:--;   3854.000
1973-07-27;--:--;   3960.000
1973-07-28;--:--;   4101.000
1973-07-29;--:--;   4224.000
1973-07-30;--:--;   4277.000
1973-07-31;--:--;   4295.000
1973-08-01;--:--;   4264.000
1973-08-02;--:--;   4290.000
1973-08-03;--:--;   4354.000
1973-08-04;--:--;   4419.000
1973-08-05;--:--;   4443.000
1973-08-06;--:--;   4593.000
1973-08-07;--:--;   4598.000
1973-08-08;--:--;   4603.000
1973-08-09;--:--;   4574.000
1973-08-10;--:--;   4579.000
1973-08-11;--:--;   4584.000
