# River:                 RIO MAGDALENA
# Station:               EL BANCO - AUT [25027020]
# Latitude (DD):       8.992527778
# Longitude (DD):      -73.96944444

YYYY-MM-DD;Value;month;Value_imputed
1972-10-01;3683.0;10;3683.0
1972-10-02;3701.0;10;3701.0
1972-10-03;3697.0;10;3697.0
1972-10-04;3701.0;10;3701.0
1972-10-05;3715.0;10;3715.0
1972-10-06;3760.0;10;3760.0
1972-10-07;3805.0;10;3805.0
1972-10-08;3848.0;10;3848.0
1972-10-09;3890.0;10;3890.0
1972-10-10;3890.0;10;3890.0
1972-10-11;3890.0;10;3890.0
1972-10-12;4079.0;10;4079.0
1972-10-13;4189.0;10;4189.0
1972-10-14;4354.0;10;4354.0
1972-10-15;4405.0;10;4405.0
1972-10-16;4424.0;10;4424.0
1972-10-17;4424.0;10;4424.0
1972-10-18;4424.0;10;4424.0
1972-10-19;4424.0;10;4424.0
1972-10-20;4424.0;10;4424.0
1972-10-21;4424.0;10;4424.0
1972-10-22;4396.0;10;4396.0
1972-10-23;4330.0;10;4330.0
1972-10-24;4330.0;10;4330.0
1972-10-25;4321.0;10;4321.0
1972-10-26;4312.0;10;4312.0
1972-10-27;4304.0;10;4304.0
1972-10-28;4224.0;10;4224.0
1972-10-29;4154.0;10;4154.0
1972-10-30;4084.0;10;4084.0
1972-10-31;4053.0;10;4053.0
1972-11-01;4110.0;11;4110.0
1972-11-02;4198.0;11;4198.0
1972-11-03;4268.0;11;4268.0
1972-11-04;4286.0;11;4286.0
1972-11-05;4368.0;11;4368.0
1972-11-06;4499.0;11;4499.0
1972-11-07;4556.0;11;4556.0
1972-11-08;4668.0;11;4668.0
1972-11-09;4744.0;11;4744.0
1972-11-10;4834.0;11;4834.0
1972-11-11;4937.0;11;4937.0
1972-11-12;4994.0;11;4994.0
1972-11-13;5028.0;11;5028.0
1972-11-14;5074.0;11;5074.0
1972-11-15;5119.0;11;5119.0
1972-11-16;5165.0;11;5165.0
1972-11-17;5233.0;11;5233.0
1972-11-18;5233.0;11;5233.0
1972-11-19;5233.0;11;5233.0
1972-11-20;5233.0;11;5233.0
1972-11-21;5256.0;11;5256.0
1972-11-22;5256.0;11;5256.0
1972-11-23;5256.0;11;5256.0
1972-11-24;5256.0;11;5256.0
1972-11-25;5279.0;11;5279.0
1972-11-26;5313.0;11;5313.0
1972-11-27;5370.0;11;5370.0
1972-11-28;5370.0;11;5370.0
1972-11-29;5370.0;11;5370.0
1972-11-30;5370.0;11;5370.0
1972-12-01;5256.0;12;5256.0
1972-12-02;5096.0;12;5096.0
1972-12-03;4868.0;12;4868.0
1972-12-04;4772.0;12;4772.0
1972-12-05;4565.0;12;4565.0
1972-12-06;4518.0;12;4518.0
1972-12-07;4603.0;12;4603.0
1972-12-08;4358.0;12;4358.0
1972-12-09;4242.0;12;4242.0
1972-12-10;4154.0;12;4154.0
1972-12-11;4022.0;12;4022.0
1972-12-12;3978.0;12;3978.0
1972-12-13;3978.0;12;3978.0
1972-12-14;3978.0;12;3978.0
1972-12-15;3889.0;12;3889.0
1972-12-16;3800.0;12;3800.0
1972-12-17;3755.0;12;3755.0
1972-12-18;3665.0;12;3665.0
1972-12-19;3589.0;12;3589.0
1972-12-20;3571.0;12;3571.0
1972-12-21;3566.0;12;3566.0
1972-12-22;3607.0;12;3607.0
1972-12-23;3710.0;12;3710.0
1972-12-24;3809.0;12;3809.0
1972-12-25;3899.0;12;3899.0
1972-12-26;3952.0;12;3952.0
1972-12-27;3782.0;12;3782.0
1972-12-28;3616.0;12;3616.0
1972-12-29;3367.0;12;3367.0
1972-12-30;3144.0;12;3144.0
1972-12-31;2967.0;12;2967.0
1973-01-01;-999.000;1;5856.0
1973-01-02;-999.000;1;3349.0
1973-01-03;-999.000;1;3114.0
1973-01-04;-999.000;1;2732.475
1973-01-05;-999.000;1;3307.0
1973-01-06;-999.000;1;3153.0
1973-01-07;-999.000;1;3215.0
1973-01-08;-999.000;1;3499.0
1973-01-09;-999.000;1;2979.0
1973-01-10;-999.000;1;2990.74
1973-01-11;-999.000;1;2232.0
1973-01-12;-999.000;1;3003.0
1973-01-13;-999.000;1;1616.981
1973-01-14;-999.000;1;1690.0
1973-01-15;-999.000;1;2926.0
1973-01-16;-999.000;1;3586.0
1973-01-17;-999.000;1;4044.291
1973-01-18;-999.000;1;2172.0
1973-01-19;-999.000;1;2820.0
1973-01-20;-999.000;1;3594.0
1973-01-21;-999.000;1;3483.0
1973-01-22;-999.000;1;3532.0
1973-01-23;-999.000;1;2694.0
1973-01-24;-999.000;1;4148.0
1973-01-25;-999.000;1;3499.0
1973-01-26;-999.000;1;3578.0
1973-01-27;-999.000;1;2632.0
