# River:                 RIO LA TETA
# Station:               BUENOS AIRES
# Latitude (DD):       3.05
# Longitude (DD):      -76.58

YYYY-MM-DD;Value;month;Value_imputed
1976-01-01;8.51;1;8.51
1976-01-02;7.78;1;7.78
1976-01-03;7.13;1;7.13
1976-01-04;7.3;1;7.3
1976-01-05;6.71;1;6.71
1976-01-06;5.85;1;5.85
1976-01-07;5.66;1;5.66
1976-01-08;5.07;1;5.07
1976-01-09;5.5;1;5.5
1976-01-10;4.61;1;4.61
1976-01-11;4.31;1;4.31
1976-01-12;4.1;1;4.1
1976-01-13;3.87;1;3.87
1976-01-14;3.87;1;3.87
1976-01-15;3.52;1;3.52
1976-01-16;3.43;1;3.43
1976-01-17;3.28;1;3.28
1976-01-18;3.18;1;3.18
1976-01-19;3.08;1;3.08
1976-01-20;2.97;1;2.97
1976-01-21;2.8;1;2.8
1976-01-22;3.45;1;3.45
1976-01-23;2.87;1;2.87
1976-01-24;2.75;1;2.75
1976-01-25;2.62;1;2.62
1976-01-26;2.55;1;2.55
1976-01-27;2.8;1;2.8
1976-01-28;2.87;1;2.87
1976-01-29;2.56;1;2.56
1976-01-30;4.86;1;4.86
1976-01-31;3.2;1;3.2
1976-02-01;2.63;2;2.63
1976-02-02;2.51;2;2.51
1976-02-03;2.36;2;2.36
1976-02-04;2.33;2;2.33
1976-02-05;2.27;2;2.27
1976-02-06;2.42;2;2.42
1976-02-07;3.57;2;3.57
1976-02-08;4.46;2;4.46
1976-02-09;2.86;2;2.86
1976-02-10;3.12;2;3.12
1976-02-11;3.79;2;3.79
1976-02-12;2.88;2;2.88
1976-02-13;2.47;2;2.47
1976-02-14;3.15;2;3.15
1976-02-15;3.38;2;3.38
1976-02-16;2.79;2;2.79
1976-02-17;3.82;2;3.82
1976-02-18;2.81;2;2.81
1976-02-19;3.14;2;3.14
1976-02-20;3.74;2;3.74
1976-02-21;3.12;2;3.12
1976-02-22;6.24;2;6.24
1976-02-23;5.44;2;5.44
1976-02-24;4.66;2;4.66
1976-02-25;4.83;2;4.83
1976-02-26;4.42;2;4.42
1976-02-27;3.91;2;3.91
1976-02-28;3.58;2;3.58
1976-02-29;4.19;2;4.19
1976-03-01;3.34;3;3.34
1976-03-02;3.12;3;3.12
1976-03-03;3.22;3;3.22
1976-03-04;3.12;3;3.12
1976-03-05;2.95;3;2.95
1976-03-06;2.82;3;2.82
1976-03-07;2.69;3;2.69
1976-03-08;2.61;3;2.61
1976-03-09;2.57;3;2.57
1976-03-10;2.48;3;2.48
1976-03-11;2.44;3;2.44
1976-03-12;3.85;3;3.85
1976-03-13;4.82;3;4.82
1976-03-14;3.88;3;3.88
1976-03-15;3.56;3;3.56
1976-03-16;2.61;3;2.61
1976-03-17;2.79;3;2.79
1976-03-18;2.41;3;2.41
1976-03-19;5.08;3;5.08
1976-03-20;4.82;3;4.82
1976-03-21;13.11;3;13.11
1976-03-22;19.88;3;19.88
1976-03-23;9.62;3;9.62
1976-03-24;6.42;3;6.42
1976-03-25;5.53;3;5.53
1976-03-26;5.39;3;5.39
1976-03-27;5.45;3;5.45
1976-03-28;5.02;3;5.02
1976-03-29;4.14;3;4.14
1976-03-30;4.71;3;4.71
1976-03-31;7.32;3;7.32
1976-04-01;5.31;4;5.31
1976-04-02;4.2;4;4.2
1976-04-03;3.91;4;3.91
1976-04-04;3.67;4;3.67
1976-04-05;3.43;4;3.43
1976-04-06;3.23;4;3.23
1976-04-07;3.18;4;3.18
1976-04-08;3.06;4;3.06
1976-04-09;4.18;4;4.18
1976-04-10;7.55;4;7.55
1976-04-11;10.93;4;10.93
1976-04-12;10.12;4;10.12
1976-04-13;16.92;4;16.92
1976-04-14;10.16;4;10.16
1976-04-15;6.6;4;6.6
1976-04-16;6.13;4;6.13
1976-04-17;12.9;4;12.9
1976-04-18;9.13;4;9.13
1976-04-19;6.38;4;6.38
1976-04-20;5.84;4;5.84
1976-04-21;5.71;4;5.71
1976-04-22;5.24;4;5.24
1976-04-23;5.08;4;5.08
1976-04-24;4.71;4;4.71
1976-04-25;4.61;4;4.61
1976-04-26;4.96;4;4.96
1976-04-27;4.82;4;4.82
1976-04-28;4.05;4;4.05
1976-04-29;6.11;4;6.11
1976-04-30;5.55;4;5.55
1976-05-01;4.57;5;4.57
1976-05-02;4.46;5;4.46
1976-05-03;4.34;5;4.34
1976-05-04;10.15;5;10.15
1976-05-05;5.21;5;5.21
1976-05-06;12.7;5;12.7
1976-05-07;10.07;5;10.07
1976-05-08;5.46;5;5.46
1976-05-09;4.76;5;4.76
1976-05-10;4.39;5;4.39
1976-05-11;4.14;5;4.14
1976-05-12;3.93;5;3.93
1976-05-13;3.78;5;3.78
1976-05-14;6.37;5;6.37
1976-05-15;11.09;5;11.09
1976-05-16;7.82;5;7.82
1976-05-17;17.1;5;17.1
1976-05-18;6.65;5;6.65
1976-05-19;5.25;5;5.25
1976-05-20;4.35;5;4.35
1976-05-21;3.98;5;3.98
1976-05-22;3.75;5;3.75
1976-05-23;3.6;5;3.6
1976-05-24;3.64;5;3.64
1976-05-25;3.67;5;3.67
1976-05-26;3.14;5;3.14
1976-05-27;3.02;5;3.02
1976-05-28;2.88;5;2.88
1976-05-29;4.94;5;4.94
1976-05-30;5.26;5;5.26
1976-05-31;4.06;5;4.06
1976-06-01;3.93;6;3.93
1976-06-02;9.07;6;9.07
1976-06-03;3.3;6;3.3
1976-06-04;2.97;6;2.97
1976-06-05;2.76;6;2.76
1976-06-06;2.6;6;2.6
1976-06-07;3.48;6;3.48
1976-06-08;4.19;6;4.19
1976-06-09;2.65;6;2.65
1976-06-10;2.54;6;2.54
1976-06-11;2.47;6;2.47
1976-06-12;2.7;6;2.7
1976-06-13;2.69;6;2.69
1976-06-14;2.29;6;2.29
1976-06-15;2.09;6;2.09
1976-06-16;1.97;6;1.97
1976-06-17;2.18;6;2.18
1976-06-18;1.86;6;1.86
1976-06-19;2.0;6;2.0
1976-06-20;2.09;6;2.09
1976-06-21;1.95;6;1.95
1976-06-22;2.27;6;2.27
1976-06-23;2.58;6;2.58
1976-06-24;2.11;6;2.11
1976-06-25;2.02;6;2.02
1976-06-26;2.11;6;2.11
1976-06-27;2.02;6;2.02
1976-06-28;1.66;6;1.66
1976-06-29;1.46;6;1.46
1976-06-30;1.39;6;1.39
1976-07-01;1.28;7;1.28
1976-07-02;1.28;7;1.28
1976-07-03;1.23;7;1.23
1976-07-04;1.18;7;1.18
1976-07-05;1.19;7;1.19
1976-07-06;1.18;7;1.18
1976-07-07;1.25;7;1.25
1976-07-08;1.14;7;1.14
1976-07-09;1.12;7;1.12
1976-07-10;1.19;7;1.19
1976-07-11;1.26;7;1.26
1976-07-12;1.19;7;1.19
1976-07-13;1.12;7;1.12
1976-07-14;1.12;7;1.12
1976-07-15;1.07;7;1.07
1976-07-16;1.05;7;1.05
1976-07-17;1.0;7;1.0
1976-07-18;0.95;7;0.95
1976-07-19;0.94;7;0.94
1976-07-20;0.9;7;0.9
1976-07-21;0.87;7;0.87
1976-07-22;0.86;7;0.86
1976-07-23;0.9;7;0.9
1976-07-24;0.88;7;0.88
1976-07-25;0.84;7;0.84
1976-07-26;0.86;7;0.86
1976-07-27;0.84;7;0.84
1976-07-28;0.86;7;0.86
1976-07-29;0.8;7;0.8
1976-07-30;0.79;7;0.79
1976-07-31;0.72;7;0.72
1976-08-01;0.73;8;0.73
1976-08-02;0.76;8;0.76
1976-08-03;0.76;8;0.76
1976-08-04;0.68;8;0.68
1976-08-05;0.68;8;0.68
1976-08-06;0.69;8;0.69
1976-08-07;0.69;8;0.69
1976-08-08;0.7;8;0.7
1976-08-09;0.69;8;0.69
1976-08-10;0.69;8;0.69
1976-08-11;0.73;8;0.73
1976-08-12;0.64;8;0.64
1976-08-13;0.56;8;0.56
1976-08-14;0.56;8;0.56
1976-08-15;0.56;8;0.56
1976-08-16;0.53;8;0.53
1976-08-17;0.52;8;0.52
1976-08-18;0.49;8;0.49
1976-08-19;0.51;8;0.51
1976-08-20;0.81;8;0.81
1976-08-21;0.73;8;0.73
1976-08-22;0.57;8;0.57
1976-08-23;0.52;8;0.52
1976-08-24;0.52;8;0.52
1976-08-25;0.56;8;0.56
1976-08-26;0.55;8;0.55
1976-08-27;0.54;8;0.54
1976-08-28;0.53;8;0.53
1976-08-29;0.51;8;0.51
1976-08-30;0.48;8;0.48
1976-08-31;0.45;8;0.45
1976-09-01;0.43;9;0.43
1976-09-02;0.42;9;0.42
1976-09-03;0.42;9;0.42
1976-09-04;0.44;9;0.44
1976-09-05;0.58;9;0.58
1976-09-06;0.71;9;0.71
1976-09-07;0.53;9;0.53
1976-09-08;0.49;9;0.49
1976-09-09;0.53;9;0.53
1976-09-10;0.43;9;0.43
1976-09-11;0.41;9;0.41
1976-09-12;0.41;9;0.41
1976-09-13;0.36;9;0.36
1976-09-14;0.36;9;0.36
1976-09-15;0.35;9;0.35
1976-09-16;0.34;9;0.34
1976-09-17;0.31;9;0.31
1976-09-18;0.31;9;0.31
1976-09-19;0.3;9;0.3
1976-09-20;0.3;9;0.3
1976-09-21;0.3;9;0.3
1976-09-22;0.29;9;0.29
1976-09-23;0.31;9;0.31
1976-09-24;0.32;9;0.32
1976-09-25;0.44;9;0.44
1976-09-26;0.42;9;0.42
1976-09-27;0.42;9;0.42
1976-09-28;0.61;9;0.61
1976-09-29;0.48;9;0.48
1976-09-30;0.4;9;0.4
1976-10-01;0.35;10;0.35
1976-10-02;0.58;10;0.58
1976-10-03;1.31;10;1.31
1976-10-04;0.69;10;0.69
1976-10-05;0.69;10;0.69
1976-10-06;0.58;10;0.58
1976-10-07;0.76;10;0.76
1976-10-08;1.45;10;1.45
1976-10-09;1.45;10;1.45
1976-10-10;0.81;10;0.81
1976-10-11;0.56;10;0.56
1976-10-12;0.5;10;0.5
1976-10-13;0.7;10;0.7
1976-10-14;2.14;10;2.14
1976-10-15;1.08;10;1.08
1976-10-16;3.84;10;3.84
1976-10-17;1.26;10;1.26
1976-10-18;0.83;10;0.83
1976-10-19;1.7;10;1.7
1976-10-20;1.54;10;1.54
1976-10-21;3.03;10;3.03
1976-10-22;4.67;10;4.67
1976-10-23;11.52;10;11.52
1976-10-24;7.7;10;7.7
1976-10-25;10.78;10;10.78
1976-10-26;5.64;10;5.64
1976-10-27;4.07;10;4.07
1976-10-28;3.36;10;3.36
1976-10-29;2.77;10;2.77
1976-10-30;2.38;10;2.38
1976-10-31;2.33;10;2.33
1976-11-01;2.02;11;2.02
1976-11-02;1.92;11;1.92
1976-11-03;5.68;11;5.68
1976-11-04;4.14;11;4.14
1976-11-05;3.3;11;3.3
1976-11-06;3.31;11;3.31
1976-11-07;2.84;11;2.84
1976-11-08;3.88;11;3.88
1976-11-09;2.89;11;2.89
1976-11-10;2.57;11;2.57
1976-11-11;3.19;11;3.19
1976-11-12;9.96;11;9.96
1976-11-13;7.08;11;7.08
1976-11-14;6.73;11;6.73
1976-11-15;5.07;11;5.07
1976-11-16;4.33;11;4.33
1976-11-17;4.0;11;4.0
1976-11-18;3.66;11;3.66
1976-11-19;3.26;11;3.26
1976-11-20;3.13;11;3.13
1976-11-21;3.94;11;3.94
1976-11-22;2.92;11;2.92
1976-11-23;2.72;11;2.72
1976-11-24;2.54;11;2.54
