# River:                 RIO CAUCA
# Station:               LA SALVAJINA
# Latitude (DD):       2.85
# Longitude (DD):      -76.72

YYYY-MM-DD;Value;month;Value_imputed
1946-08-01;61.8;8;61.8
1946-08-02;55.3;8;55.3
1946-08-03;60.5;8;60.5
1946-08-04;70.8;8;70.8
1946-08-05;118.0;8;118.0
1946-08-06;119.2;8;119.2
1946-08-07;110.8;8;110.8
1946-08-08;103.1;8;103.1
1946-08-09;93.4;8;93.4
1946-08-10;90.2;8;90.2
1946-08-11;128.0;8;128.0
1946-08-12;106.0;8;106.0
1946-08-13;80.0;8;80.0
1946-08-14;72.0;8;72.0
1946-08-15;110.0;8;110.0
1946-08-16;109.0;8;109.0
1946-08-17;148.0;8;148.0
1946-08-18;168.0;8;168.0
1946-08-19;103.0;8;103.0
1946-08-20;112.0;8;112.0
1946-08-21;79.0;8;79.0
1946-08-22;71.0;8;71.0
1946-08-23;68.0;8;68.0
1946-08-24;58.0;8;58.0
1946-08-25;55.0;8;55.0
1946-08-26;128.0;8;128.0
1946-08-27;78.0;8;78.0
1946-08-28;58.0;8;58.0
1946-08-29;52.0;8;52.0
1946-08-30;55.0;8;55.0
1946-08-31;39.0;8;39.0
1946-09-01;40.0;9;40.0
1946-09-02;43.0;9;43.0
1946-09-03;42.0;9;42.0
1946-09-04;63.0;9;63.0
1946-09-05;44.0;9;44.0
1946-09-06;44.0;9;44.0
1946-09-07;42.0;9;42.0
1946-09-08;47.0;9;47.0
1946-09-09;38.0;9;38.0
1946-09-10;34.0;9;34.0
1946-09-11;34.0;9;34.0
1946-09-12;41.0;9;41.0
1946-09-13;42.0;9;42.0
1946-09-14;50.0;9;50.0
1946-09-15;46.0;9;46.0
1946-09-16;38.0;9;38.0
1946-09-17;34.0;9;34.0
1946-09-18;36.0;9;36.0
1946-09-19;32.0;9;32.0
1946-09-20;30.0;9;30.0
1946-09-21;32.0;9;32.0
1946-09-22;41.0;9;41.0
1946-09-23;50.0;9;50.0
1946-09-24;34.0;9;34.0
1946-09-25;30.0;9;30.0
1946-09-26;40.0;9;40.0
1946-09-27;41.0;9;41.0
1946-09-28;40.0;9;40.0
1946-09-29;33.0;9;33.0
1946-09-30;30.0;9;30.0
1946-10-01;40.0;10;40.0
1946-10-02;40.0;10;40.0
1946-10-03;42.0;10;42.0
1946-10-04;46.0;10;46.0
1946-10-05;36.0;10;36.0
1946-10-06;37.0;10;37.0
1946-10-07;86.0;10;86.0
1946-10-08;44.0;10;44.0
1946-10-09;43.0;10;43.0
1946-10-10;50.0;10;50.0
