# River:                 RIO CAUCA
# Station:               LA VIRGINIA
# Latitude (DD):       4.88
# Longitude (DD):      -75.88

YYYY-MM-DD;Value;month;Value_imputed
1946-10-01;122.0;10;122.0
1946-10-02;122.0;10;122.0
1946-10-03;122.0;10;122.0
1946-10-04;128.0;10;128.0
1946-10-05;136.0;10;136.0
1946-10-06;120.0;10;120.0
1946-10-07;119.0;10;119.0
1946-10-08;146.0;10;146.0
1946-10-09;140.0;10;140.0
1946-10-10;130.0;10;130.0
1946-10-11;132.0;10;132.0
1946-10-12;150.0;10;150.0
1946-10-13;146.0;10;146.0
1946-10-14;146.0;10;146.0
1946-10-15;152.0;10;152.0
1946-10-16;151.0;10;151.0
1946-10-17;154.0;10;154.0
1946-10-18;161.0;10;161.0
1946-10-19;169.0;10;169.0
1946-10-20;176.0;10;176.0
1946-10-21;172.0;10;172.0
1946-10-22;176.0;10;176.0
1946-10-23;172.0;10;172.0
1946-10-24;170.0;10;170.0
1946-10-25;172.0;10;172.0
1946-10-26;180.0;10;180.0
1946-10-27;172.0;10;172.0
1946-10-28;166.0;10;166.0
1946-10-29;182.0;10;182.0
1946-10-30;193.0;10;193.0
1946-10-31;237.0;10;237.0
1946-11-01;244.0;11;244.0
1946-11-02;237.0;11;237.0
1946-11-03;250.0;11;250.0
1946-11-04;255.0;11;255.0
1946-11-05;244.0;11;244.0
1946-11-06;219.0;11;219.0
1946-11-07;198.0;11;198.0
1946-11-08;200.0;11;200.0
1946-11-09;198.0;11;198.0
1946-11-10;208.0;11;208.0
1946-11-11;260.0;11;260.0
1946-11-12;360.0;11;360.0
1946-11-13;363.0;11;363.0
1946-11-14;690.0;11;690.0
1946-11-15;853.0;11;853.0
1946-11-16;738.0;11;738.0
1946-11-17;679.0;11;679.0
1946-11-18;696.0;11;696.0
1946-11-19;690.0;11;690.0
1946-11-20;576.0;11;576.0
1946-11-21;552.0;11;552.0
1946-11-22;551.0;11;551.0
1946-11-23;613.0;11;613.0
1946-11-24;712.0;11;712.0
1946-11-25;696.0;11;696.0
1946-11-26;670.0;11;670.0
1946-11-27;662.0;11;662.0
1946-11-28;621.0;11;621.0
1946-11-29;581.0;11;581.0
1946-11-30;562.0;11;562.0
1946-12-01;556.0;12;556.0
1946-12-02;580.0;12;580.0
