# River:                 RIO CAUCA
# Station:               LA PINTADA
# Latitude (DD):       5.73
# Longitude (DD):      -75.6

YYYY-MM-DD;Value;month;Value_imputed
1965-01-01;524.0;1;524.0
1965-01-02;532.0;1;532.0
1965-01-03;539.0;1;539.0
1965-01-04;547.0;1;547.0
1965-01-05;555.0;1;555.0
1965-01-06;562.0;1;562.0
1965-01-07;570.0;1;570.0
1965-01-08;578.0;1;578.0
1965-01-09;585.0;1;585.0
1965-01-10;593.0;1;593.0
1965-01-11;600.0;1;600.0
1965-01-12;608.0;1;608.0
1965-01-13;616.0;1;616.0
1965-01-14;623.0;1;623.0
1965-01-15;631.0;1;631.0
1965-01-16;638.0;1;638.0
1965-01-17;646.0;1;646.0
1965-01-18;674.0;1;674.0
1965-01-19;644.0;1;644.0
1965-01-20;621.0;1;621.0
1965-01-21;613.0;1;613.0
1965-01-22;606.0;1;606.0
1965-01-23;598.0;1;598.0
1965-01-24;590.0;1;590.0
1965-01-25;583.0;1;583.0
1965-01-26;576.0;1;576.0
1965-01-27;568.0;1;568.0
1965-01-28;560.0;1;560.0
1965-01-29;552.0;1;552.0
1965-01-30;545.0;1;545.0
1965-01-31;537.0;1;537.0
1965-02-01;530.0;2;530.0
1965-02-02;502.0;2;502.0
1965-02-03;554.0;2;554.0
1965-02-04;563.0;2;563.0
1965-02-05;511.0;2;511.0
1965-02-06;470.0;2;470.0
1965-02-07;472.0;2;472.0
1965-02-08;464.0;2;464.0
1965-02-09;469.0;2;469.0
1965-02-10;444.0;2;444.0
1965-02-11;517.0;2;517.0
1965-02-12;832.0;2;832.0
1965-02-13;860.0;2;860.0
1965-02-14;902.0;2;902.0
1965-02-15;879.0;2;879.0
1965-02-16;906.0;2;906.0
1965-02-17;930.0;2;930.0
1965-02-18;695.0;2;695.0
1965-02-19;922.0;2;922.0
1965-02-20;860.0;2;860.0
1965-02-21;858.0;2;858.0
1965-02-22;884.0;2;884.0
1965-02-23;906.0;2;906.0
1965-02-24;918.0;2;918.0
1965-02-25;325.0;2;325.0
1965-02-26;332.0;2;332.0
1965-02-27;374.0;2;374.0
1965-02-28;698.0;2;698.0
1965-03-01;270.0;3;270.0
1965-03-02;287.0;3;287.0
1965-03-03;269.0;3;269.0
1965-03-04;272.0;3;272.0
1965-03-05;273.0;3;273.0
1965-03-06;280.0;3;280.0
1965-03-07;285.0;3;285.0
1965-03-08;650.0;3;650.0
1965-03-09;832.0;3;832.0
1965-03-10;350.0;3;350.0
1965-03-11;300.0;3;300.0
1965-03-12;314.0;3;314.0
1965-03-13;647.0;3;647.0
1965-03-14;892.0;3;892.0
1965-03-15;874.0;3;874.0
1965-03-16;863.0;3;863.0
1965-03-17;884.0;3;884.0
1965-03-18;872.0;3;872.0
1965-03-19;293.0;3;293.0
1965-03-20;290.0;3;290.0
1965-03-21;308.0;3;308.0
1965-03-22;846.0;3;846.0
1965-03-23;467.0;3;467.0
1965-03-24;955.0;3;955.0
1965-03-25;813.0;3;813.0
1965-03-26;338.0;3;338.0
1965-03-27;290.0;3;290.0
1965-03-28;292.0;3;292.0
1965-03-29;269.0;3;269.0
1965-03-30;285.0;3;285.0
1965-03-31;292.0;3;292.0
1965-04-01;250.0;4;250.0
1965-04-02;264.0;4;264.0
1965-04-03;292.0;4;292.0
1965-04-04;985.0;4;985.0
1965-04-05;393.0;4;393.0
1965-04-06;698.0;4;698.0
1965-04-07;474.0;4;474.0
1965-04-08;447.0;4;447.0
1965-04-09;500.0;4;500.0
1965-04-10;606.0;4;606.0
1965-04-11;525.0;4;525.0
1965-04-12;614.0;4;614.0
1965-04-13;681.0;4;681.0
1965-04-14;630.0;4;630.0
1965-04-15;699.0;4;699.0
1965-04-16;758.0;4;758.0
1965-04-17;1087.0;4;1087.0
1965-04-18;991.0;4;991.0
1965-04-19;1118.0;4;1118.0
