# River:                 RIO TARAZA
# Station:               LAS CAMELIAS
# Latitude (DD):       7.58
# Longitude (DD):      -75.42

YYYY-MM-DD;Value;month;Value_imputed
1973-07-15;98.1;7;98.1
1973-07-16;96.1;7;96.1
1973-07-17;140.4;7;140.4
1973-07-18;152.8;7;152.8
1973-07-19;208.1;7;208.1
1973-07-20;145.7;7;145.7
1973-07-21;142.1;7;142.1
1973-07-22;126.2;7;126.2
1973-07-23;113.0;7;113.0
1973-07-24;104.5;7;104.5
1973-07-25;100.3;7;100.3
1973-07-26;93.1;7;93.1
1973-07-27;102.5;7;102.5
1973-07-28;112.2;7;112.2
1973-07-29;107.5;7;107.5
1973-07-30;93.0;7;93.0
1973-07-31;91.6;7;91.6
1973-08-01;108.8;8;108.8
1973-08-02;97.3;8;97.3
1973-08-03;110.5;8;110.5
1973-08-04;91.9;8;91.9
1973-08-05;113.8;8;113.8
1973-08-06;146.9;8;146.9
1973-08-07;146.3;8;146.3
1973-08-08;107.9;8;107.9
1973-08-09;92.1;8;92.1
1973-08-10;92.0;8;92.0
1973-08-11;120.6;8;120.6
1973-08-12;125.5;8;125.5
1973-08-13;96.1;8;96.1
1973-08-14;97.8;8;97.8
1973-08-15;122.0;8;122.0
1973-08-16;132.2;8;132.2
1973-08-17;123.1;8;123.1
1973-08-18;112.4;8;112.4
1973-08-19;118.7;8;118.7
1973-08-20;163.5;8;163.5
1973-08-21;125.1;8;125.1
1973-08-22;120.3;8;120.3
1973-08-23;183.2;8;183.2
1973-08-24;180.3;8;180.3
1973-08-25;144.9;8;144.9
1973-08-26;138.0;8;138.0
1973-08-27;139.7;8;139.7
1973-08-28;157.5;8;157.5
1973-08-29;150.8;8;150.8
1973-08-30;128.1;8;128.1
1973-08-31;165.9;8;165.9
1973-09-01;194.9;9;194.9
1973-09-02;175.2;9;175.2
1973-09-03;170.0;9;170.0
1973-09-04;148.7;9;148.7
1973-09-05;136.8;9;136.8
1973-09-06;134.8;9;134.8
1973-09-07;146.0;9;146.0
1973-09-08;117.9;9;117.9
1973-09-09;115.6;9;115.6
1973-09-10;117.9;9;117.9
1973-09-11;128.9;9;128.9
1973-09-12;185.5;9;185.5
1973-09-13;186.8;9;186.8
1973-09-14;155.7;9;155.7
1973-09-15;164.8;9;164.8
1973-09-16;156.1;9;156.1
1973-09-17;156.7;9;156.7
1973-09-18;137.3;9;137.3
1973-09-19;124.5;9;124.5
1973-09-20;123.3;9;123.3
1973-09-21;112.6;9;112.6
1973-09-22;102.7;9;102.7
1973-09-23;102.0;9;102.0
1973-09-24;126.5;9;126.5
1973-09-25;125.7;9;125.7
1973-09-26;119.4;9;119.4
1973-09-27;110.5;9;110.5
