# River:                 RIO FUNDACION
# Station:               FUNDACION
# Latitude (DD):       10.5
# Longitude (DD):      -74.13

YYYY-MM-DD;Value;month;Value_imputed
1978-01-01;8.0;1;8.0
1978-01-02;8.0;1;8.0
1978-01-03;7.0;1;7.0
1978-01-04;8.0;1;8.0
1978-01-05;8.0;1;8.0
1978-01-06;7.0;1;7.0
1978-01-07;7.0;1;7.0
1978-01-08;7.0;1;7.0
1978-01-09;7.0;1;7.0
1978-01-10;7.0;1;7.0
1978-01-11;7.0;1;7.0
1978-01-12;7.0;1;7.0
1978-01-13;7.0;1;7.0
1978-01-14;7.0;1;7.0
1978-01-15;7.0;1;7.0
1978-01-16;7.0;1;7.0
1978-01-17;7.0;1;7.0
1978-01-18;6.0;1;6.0
1978-01-19;6.0;1;6.0
1978-01-20;6.0;1;6.0
1978-01-21;7.0;1;7.0
1978-01-22;6.0;1;6.0
1978-01-23;6.0;1;6.0
1978-01-24;8.0;1;8.0
1978-01-25;8.0;1;8.0
1978-01-26;6.0;1;6.0
1978-01-27;8.0;1;8.0
1978-01-28;6.0;1;6.0
1978-01-29;7.0;1;7.0
1978-01-30;6.0;1;6.0
1978-01-31;6.0;1;6.0
1978-02-01;7.0;2;7.0
1978-02-02;8.0;2;8.0
1978-02-03;8.0;2;8.0
1978-02-04;8.0;2;8.0
1978-02-05;8.0;2;8.0
1978-02-06;8.0;2;8.0
1978-02-07;8.0;2;8.0
1978-02-08;9.0;2;9.0
1978-02-09;13.0;2;13.0
1978-02-10;11.0;2;11.0
1978-02-11;10.0;2;10.0
1978-02-12;12.0;2;12.0
1978-02-13;8.0;2;8.0
1978-02-14;8.0;2;8.0
1978-02-15;8.0;2;8.0
1978-02-16;7.0;2;7.0
1978-02-17;7.0;2;7.0
1978-02-18;6.0;2;6.0
1978-02-19;6.0;2;6.0
1978-02-20;6.0;2;6.0
1978-02-21;6.0;2;6.0
1978-02-22;6.0;2;6.0
1978-02-23;6.0;2;6.0
1978-02-24;6.0;2;6.0
1978-02-25;7.0;2;7.0
1978-02-26;6.0;2;6.0
1978-02-27;6.0;2;6.0
1978-02-28;6.0;2;6.0
1978-03-01;6.0;3;6.0
1978-03-02;7.0;3;7.0
1978-03-03;13.0;3;13.0
1978-03-04;14.0;3;14.0
1978-03-05;8.0;3;8.0
1978-03-06;10.0;3;10.0
1978-03-07;9.0;3;9.0
1978-03-08;6.0;3;6.0
1978-03-09;7.0;3;7.0
1978-03-10;6.0;3;6.0
1978-03-11;6.0;3;6.0
1978-03-12;6.0;3;6.0
1978-03-13;6.0;3;6.0
1978-03-14;6.0;3;6.0
1978-03-15;6.0;3;6.0
1978-03-16;6.0;3;6.0
1978-03-17;6.0;3;6.0
1978-03-18;5.0;3;5.0
1978-03-19;6.0;3;6.0
1978-03-20;5.0;3;5.0
1978-03-21;5.0;3;5.0
1978-03-22;6.0;3;6.0
1978-03-23;6.0;3;6.0
1978-03-24;7.0;3;7.0
1978-03-25;7.0;3;7.0
1978-03-26;8.0;3;8.0
1978-03-27;8.0;3;8.0
1978-03-28;22.0;3;22.0
1978-03-29;14.0;3;14.0
1978-03-30;11.0;3;11.0
1978-03-31;8.0;3;8.0
1978-04-01;8.0;4;8.0
1978-04-02;7.0;4;7.0
1978-04-03;6.0;4;6.0
1978-04-04;14.0;4;14.0
1978-04-05;27.0;4;27.0
1978-04-06;14.0;4;14.0
1978-04-07;9.0;4;9.0
1978-04-08;23.0;4;23.0
1978-04-09;19.0;4;19.0
