# River:                 RIO SUAZA
# Station:               PTE.GARCES
# Latitude (DD):       2.03
# Longitude (DD):      -75.77

YYYY-MM-DD;Value;month;Value_imputed
1978-01-01;23.0;1;23.0
1978-01-02;23.0;1;23.0
1978-01-03;20.0;1;20.0
1978-01-04;19.0;1;19.0
1978-01-05;20.0;1;20.0
1978-01-06;19.0;1;19.0
1978-01-07;19.0;1;19.0
1978-01-08;19.0;1;19.0
1978-01-09;22.0;1;22.0
1978-01-10;23.0;1;23.0
1978-01-11;22.0;1;22.0
1978-01-12;20.0;1;20.0
1978-01-13;18.0;1;18.0
1978-01-14;18.0;1;18.0
1978-01-15;16.0;1;16.0
1978-01-16;16.0;1;16.0
1978-01-17;16.0;1;16.0
1978-01-18;16.0;1;16.0
1978-01-19;16.0;1;16.0
1978-01-20;16.0;1;16.0
1978-01-21;16.0;1;16.0
1978-01-22;16.0;1;16.0
1978-01-23;18.0;1;18.0
1978-01-24;18.0;1;18.0
1978-01-25;31.0;1;31.0
1978-01-26;25.0;1;25.0
1978-01-27;37.0;1;37.0
1978-01-28;33.0;1;33.0
1978-01-29;68.0;1;68.0
1978-01-30;35.0;1;35.0
1978-01-31;34.0;1;34.0
1978-02-01;35.0;2;35.0
1978-02-02;42.0;2;42.0
1978-02-03;26.0;2;26.0
1978-02-04;23.0;2;23.0
1978-02-05;25.0;2;25.0
1978-02-06;19.0;2;19.0
1978-02-07;21.0;2;21.0
1978-02-08;19.0;2;19.0
1978-02-09;26.0;2;26.0
1978-02-10;19.0;2;19.0
1978-02-11;19.0;2;19.0
1978-02-12;18.0;2;18.0
1978-02-13;17.0;2;17.0
1978-02-14;17.0;2;17.0
1978-02-15;16.0;2;16.0
1978-02-16;16.0;2;16.0
1978-02-17;15.0;2;15.0
1978-02-18;30.0;2;30.0
1978-02-19;20.0;2;20.0
1978-02-20;17.0;2;17.0
1978-02-21;16.0;2;16.0
1978-02-22;15.0;2;15.0
1978-02-23;15.0;2;15.0
1978-02-24;15.0;2;15.0
1978-02-25;15.0;2;15.0
1978-02-26;15.0;2;15.0
1978-02-27;15.0;2;15.0
1978-02-28;14.0;2;14.0
1978-03-01;14.0;3;14.0
1978-03-02;15.0;3;15.0
1978-03-03;15.0;3;15.0
1978-03-04;14.0;3;14.0
1978-03-05;16.0;3;16.0
1978-03-06;14.0;3;14.0
1978-03-07;15.0;3;15.0
1978-03-08;15.0;3;15.0
1978-03-09;18.0;3;18.0
1978-03-10;14.0;3;14.0
1978-03-11;23.0;3;23.0
1978-03-12;18.0;3;18.0
1978-03-13;15.0;3;15.0
1978-03-14;14.0;3;14.0
1978-03-15;13.0;3;13.0
1978-03-16;15.0;3;15.0
1978-03-17;15.0;3;15.0
1978-03-18;27.0;3;27.0
1978-03-19;28.0;3;28.0
1978-03-20;27.0;3;27.0
1978-03-21;25.0;3;25.0
1978-03-22;104.0;3;104.0
1978-03-23;57.0;3;57.0
1978-03-24;34.0;3;34.0
1978-03-25;37.0;3;37.0
1978-03-26;37.0;3;37.0
1978-03-27;46.0;3;46.0
1978-03-28;64.0;3;64.0
1978-03-29;29.0;3;29.0
1978-03-30;24.0;3;24.0
1978-03-31;22.0;3;22.0
1978-04-01;26.0;4;26.0
1978-04-02;24.0;4;24.0
1978-04-03;26.0;4;26.0
1978-04-04;22.0;4;22.0
1978-04-05;25.0;4;25.0
1978-04-06;24.0;4;24.0
1978-04-07;134.0;4;134.0
1978-04-08;50.0;4;50.0
1978-04-09;32.0;4;32.0
1978-04-10;28.0;4;28.0
1978-04-11;62.0;4;62.0
1978-04-12;48.0;4;48.0
1978-04-13;38.0;4;38.0
1978-04-14;49.0;4;49.0
1978-04-15;35.0;4;35.0
1978-04-16;35.0;4;35.0
1978-04-17;37.0;4;37.0
1978-04-18;35.0;4;35.0
1978-04-19;31.0;4;31.0
1978-04-20;42.0;4;42.0
1978-04-21;40.0;4;40.0
1978-04-22;30.0;4;30.0
1978-04-23;43.0;4;43.0
1978-04-24;29.0;4;29.0
1978-04-25;30.0;4;30.0
1978-04-26;40.0;4;40.0
1978-04-27;35.0;4;35.0
1978-04-28;119.0;4;119.0
1978-04-29;36.0;4;36.0
1978-04-30;30.0;4;30.0
1978-05-01;28.0;5;28.0
1978-05-02;48.0;5;48.0
1978-05-03;37.0;5;37.0
1978-05-04;34.0;5;34.0
1978-05-05;28.0;5;28.0
1978-05-06;28.0;5;28.0
1978-05-07;54.0;5;54.0
1978-05-08;50.0;5;50.0
1978-05-09;33.0;5;33.0
1978-05-10;33.0;5;33.0
1978-05-11;28.0;5;28.0
1978-05-12;29.0;5;29.0
1978-05-13;31.0;5;31.0
1978-05-14;35.0;5;35.0
1978-05-15;30.0;5;30.0
1978-05-16;39.0;5;39.0
1978-05-17;55.0;5;55.0
1978-05-18;118.0;5;118.0
1978-05-19;51.0;5;51.0
1978-05-20;38.0;5;38.0
1978-05-21;34.0;5;34.0
1978-05-22;34.0;5;34.0
1978-05-23;30.0;5;30.0
1978-05-24;31.0;5;31.0
1978-05-25;29.0;5;29.0
1978-05-26;31.0;5;31.0
1978-05-27;31.0;5;31.0
1978-05-28;43.0;5;43.0
1978-05-29;28.0;5;28.0
1978-05-30;26.0;5;26.0
1978-05-31;25.0;5;25.0
1978-06-01;24.0;6;24.0
1978-06-02;35.0;6;35.0
1978-06-03;27.0;6;27.0
1978-06-04;46.0;6;46.0
1978-06-05;61.0;6;61.0
1978-06-06;57.0;6;57.0
1978-06-07;58.0;6;58.0
1978-06-08;37.0;6;37.0
1978-06-09;32.0;6;32.0
1978-06-10;34.0;6;34.0
