# River:                 RIO MAGDALENA
# Station:               PUERTO BERRIO
# Latitude (DD):       6.5
# Longitude (DD):      -74.38

YYYY-MM-DD;Value;month;Value_imputed
1936-01-01;1966.0;1;1966.0
1936-01-02;1966.0;1;1966.0
1936-01-03;1810.0;1;1810.0
1936-01-04;1702.0;1;1702.0
1936-01-05;1714.0;1;1714.0
1936-01-06;1573.0;1;1573.0
1936-01-07;1469.0;1;1469.0
1936-01-08;1410.0;1;1410.0
1936-01-09;1380.0;1;1380.0
1936-01-10;1350.0;1;1350.0
1936-01-11;1300.0;1;1300.0
1936-01-12;1625.0;1;1625.0
1936-01-13;1798.0;1;1798.0
1936-01-14;1942.0;1;1942.0
1936-01-15;1954.0;1;1954.0
1936-01-16;1906.0;1;1906.0
1936-01-17;1599.0;1;1599.0
1936-01-18;1638.0;1;1638.0
1936-01-19;1380.0;1;1380.0
1936-01-20;1320.0;1;1320.0
1936-01-21;1469.0;1;1469.0
1936-01-22;1280.0;1;1280.0
1936-01-23;1190.0;1;1190.0
1936-01-24;1270.0;1;1270.0
1936-01-25;1677.0;1;1677.0
1936-01-26;1280.0;1;1280.0
1936-01-27;1370.0;1;1370.0
1936-01-28;1270.0;1;1270.0
1936-01-29;1180.0;1;1180.0
1936-01-30;1180.0;1;1180.0
1936-01-31;1150.0;1;1150.0
1936-02-01;1084.0;2;1084.0
1936-02-02;1057.0;2;1057.0
1936-02-03;1039.0;2;1039.0
1936-02-04;1039.0;2;1039.0
1936-02-05;1048.0;2;1048.0
1936-02-06;1004.0;2;1004.0
1936-02-07;996.0;2;996.0
1936-02-08;979.0;2;979.0
1936-02-09;1048.0;2;1048.0
1936-02-10;1057.0;2;1057.0
1936-02-11;1111.0;2;1111.0
1936-02-12;1057.0;2;1057.0
1936-02-13;1057.0;2;1057.0
1936-02-14;1250.0;2;1250.0
1936-02-15;1220.0;2;1220.0
1936-02-16;1093.0;2;1093.0
1936-02-17;1013.0;2;1013.0
1936-02-18;1039.0;2;1039.0
1936-02-19;970.0;2;970.0
1936-02-20;970.0;2;970.0
1936-02-21;945.0;2;945.0
1936-02-22;970.0;2;970.0
1936-02-23;1039.0;2;1039.0
1936-02-24;979.0;2;979.0
1936-02-25;937.0;2;937.0
1936-02-26;913.0;2;913.0
1936-02-27;889.0;2;889.0
1936-02-28;889.0;2;889.0
1936-02-29;873.0;2;873.0
1936-03-01;842.0;3;842.0
1936-03-02;835.0;3;835.0
1936-03-03;1013.0;3;1013.0
1936-03-04;1130.0;3;1130.0
1936-03-05;970.0;3;970.0
1936-03-06;913.0;3;913.0
1936-03-07;979.0;3;979.0
1936-03-08;996.0;3;996.0
1936-03-09;1066.0;3;1066.0
1936-03-10;1075.0;3;1075.0
1936-03-11;1410.0;3;1410.0
1936-03-12;1250.0;3;1250.0
1936-03-13;1651.0;3;1651.0
1936-03-14;1310.0;3;1310.0
1936-03-15;1210.0;3;1210.0
1936-03-16;1702.0;3;1702.0
1936-03-17;1762.0;3;1762.0
1936-03-18;1443.0;3;1443.0
1936-03-19;1599.0;3;1599.0
1936-03-20;1230.0;3;1230.0
1936-03-21;1573.0;3;1573.0
1936-03-22;1942.0;3;1942.0
1936-03-23;1762.0;3;1762.0
1936-03-24;1894.0;3;1894.0
1936-03-25;1930.0;3;1930.0
1936-03-26;1573.0;3;1573.0
1936-03-27;1508.0;3;1508.0
1936-03-28;1443.0;3;1443.0
1936-03-29;1380.0;3;1380.0
1936-03-30;1638.0;3;1638.0
1936-03-31;1858.0;3;1858.0
1936-04-01;1990.0;4;1990.0
1936-04-02;2442.0;4;2442.0
1936-04-03;2682.0;4;2682.0
1936-04-04;3445.0;4;3445.0
1936-04-05;3708.0;4;3708.0
1936-04-06;3196.0;4;3196.0
1936-04-07;2907.0;4;2907.0
1936-04-08;2646.0;4;2646.0
1936-04-09;2430.0;4;2430.0
1936-04-10;2313.0;4;2313.0
1936-04-11;2038.0;4;2038.0
1936-04-12;1774.0;4;1774.0
1936-04-13;1870.0;4;1870.0
1936-04-14;1573.0;4;1573.0
1936-04-15;1690.0;4;1690.0
1936-04-16;1677.0;4;1677.0
1936-04-17;1702.0;4;1702.0
1936-04-18;1599.0;4;1599.0
1936-04-19;1798.0;4;1798.0
1936-04-20;2002.0;4;2002.0
1936-04-21;2192.0;4;2192.0
1936-04-22;2038.0;4;2038.0
1936-04-23;2002.0;4;2002.0
1936-04-24;1966.0;4;1966.0
1936-04-25;1726.0;4;1726.0
1936-04-26;1726.0;4;1726.0
1936-04-27;1702.0;4;1702.0
1936-04-28;1774.0;4;1774.0
1936-04-29;1942.0;4;1942.0
1936-04-30;1677.0;4;1677.0
1936-05-01;1443.0;5;1443.0
1936-05-02;1638.0;5;1638.0
1936-05-03;1482.0;5;1482.0
1936-05-04;2252.0;5;2252.0
1936-05-05;2829.0;5;2829.0
1936-05-06;3248.0;5;3248.0
1936-05-07;3756.0;5;3756.0
1936-05-08;3596.0;5;3596.0
1936-05-09;3024.0;5;3024.0
1936-05-10;3122.0;5;3122.0
1936-05-11;3086.0;5;3086.0
1936-05-12;3196.0;5;3196.0
1936-05-13;3378.0;5;3378.0
1936-05-14;3248.0;5;3248.0
1936-05-15;3596.0;5;3596.0
1936-05-16;3836.0;5;3836.0
1936-05-17;3445.0;5;3445.0
1936-05-18;3287.0;5;3287.0
1936-05-19;3352.0;5;3352.0
1936-05-20;3248.0;5;3248.0
1936-05-21;3062.0;5;3062.0
1936-05-22;3037.0;5;3037.0
1936-05-23;2442.0;5;2442.0
1936-05-24;3475.0;5;3475.0
1936-05-25;3378.0;5;3378.0
1936-05-26;4288.0;5;4288.0
1936-05-27;3676.0;5;3676.0
1936-05-28;3445.0;5;3445.0
1936-05-29;2868.0;5;2868.0
1936-05-30;2622.0;5;2622.0
1936-05-31;2803.0;5;2803.0
1936-06-01;2365.0;6;2365.0
1936-06-02;2972.0;6;2972.0
1936-06-03;3170.0;6;3170.0
1936-06-04;2816.0;6;2816.0
1936-06-05;2670.0;6;2670.0
1936-06-06;2352.0;6;2352.0
1936-06-07;2766.0;6;2766.0
1936-06-08;2300.0;6;2300.0
1936-06-09;2502.0;6;2502.0
1936-06-10;2550.0;6;2550.0
1936-06-11;2586.0;6;2586.0
1936-06-12;2972.0;6;2972.0
1936-06-13;3580.0;6;3580.0
1936-06-14;3170.0;6;3170.0
1936-06-15;3074.0;6;3074.0
1936-06-16;3170.0;6;3170.0
1936-06-17;3146.0;6;3146.0
1936-06-18;3011.0;6;3011.0
1936-06-19;2610.0;6;2610.0
1936-06-20;2240.0;6;2240.0
1936-06-21;2300.0;6;2300.0
1936-06-22;2574.0;6;2574.0
1936-06-23;2300.0;6;2300.0
1936-06-24;2167.0;6;2167.0
1936-06-25;2102.0;6;2102.0
1936-06-26;2240.0;6;2240.0
1936-06-27;2002.0;6;2002.0
1936-06-28;1810.0;6;1810.0
1936-06-29;1750.0;6;1750.0
1936-06-30;1930.0;6;1930.0
1936-07-01;1834.0;7;1834.0
1936-07-02;2276.0;7;2276.0
1936-07-03;1966.0;7;1966.0
1936-07-04;1625.0;7;1625.0
1936-07-05;1560.0;7;1560.0
1936-07-06;1726.0;7;1726.0
1936-07-07;1810.0;7;1810.0
1936-07-08;2490.0;7;2490.0
1936-07-09;1774.0;7;1774.0
1936-07-10;1858.0;7;1858.0
1936-07-11;1786.0;7;1786.0
1936-07-12;1870.0;7;1870.0
1936-07-13;1906.0;7;1906.0
1936-07-14;1625.0;7;1625.0
1936-07-15;2240.0;7;2240.0
1936-07-16;2276.0;7;2276.0
1936-07-17;1990.0;7;1990.0
1936-07-18;1798.0;7;1798.0
1936-07-19;1690.0;7;1690.0
1936-07-20;1690.0;7;1690.0
1936-07-21;1690.0;7;1690.0
1936-07-22;1651.0;7;1651.0
1936-07-23;1625.0;7;1625.0
1936-07-24;1573.0;7;1573.0
1936-07-25;1370.0;7;1370.0
1936-07-26;1350.0;7;1350.0
1936-07-27;1330.0;7;1330.0
1936-07-28;1130.0;7;1130.0
1936-07-29;1677.0;7;1677.0
1936-07-30;1750.0;7;1750.0
1936-07-31;1130.0;7;1130.0
1936-08-01;1066.0;8;1066.0
1936-08-02;1093.0;8;1093.0
1936-08-03;1120.0;8;1120.0
1936-08-04;1240.0;8;1240.0
1936-08-05;1547.0;8;1547.0
1936-08-06;1495.0;8;1495.0
1936-08-07;1560.0;8;1560.0
