# River:                 SAN JUAN, RIO
# Station:               BORBUR
# Latitude (DD):       5.65
# Longitude (DD):      -74.07

YYYY-MM-DD;Value;month;Value_imputed
1975-08-01;64.0;8;64.0
1975-08-02;58.1;8;58.1
1975-08-03;53.6;8;53.6
1975-08-04;53.2;8;53.2
1975-08-05;52.8;8;52.8
1975-08-06;52.4;8;52.4
1975-08-07;52.8;8;52.8
1975-08-08;51.8;8;51.8
1975-08-09;49.5;8;49.5
1975-08-10;48.0;8;48.0
1975-08-11;47.2;8;47.2
1975-08-12;46.2;8;46.2
1975-08-13;45.0;8;45.0
1975-08-14;43.6;8;43.6
1975-08-15;51.0;8;51.0
1975-08-16;49.5;8;49.5
1975-08-17;51.4;8;51.4
1975-08-18;52.2;8;52.2
1975-08-19;53.2;8;53.2
1975-08-20;157.0;8;157.0
1975-08-21;117.4;8;117.4
1975-08-22;59.5;8;59.5
1975-08-23;56.7;8;56.7
1975-08-24;59.5;8;59.5
1975-08-25;61.7;8;61.7
1975-08-26;63.1;8;63.1
1975-08-27;64.0;8;64.0
1975-08-28;66.7;8;66.7
1975-08-29;69.5;8;69.5
1975-08-30;70.6;8;70.6
1975-08-31;72.2;8;72.2
1975-09-01;74.4;9;74.4
1975-09-02;72.2;9;72.2
1975-09-03;74.4;9;74.4
1975-09-04;86.92;9;86.92
1975-09-05;75.12;9;75.12
1975-09-06;72.2;9;72.2
1975-09-07;70.0;9;70.0
1975-09-08;69.5;9;69.5
1975-09-09;68.4;9;68.4
1975-09-10;69.5;9;69.5
1975-09-11;67.6;9;67.6
1975-09-12;64.0;9;64.0
1975-09-13;62.4;9;62.4
1975-09-14;62.9;9;62.9
1975-09-15;68.1;9;68.1
1975-09-16;79.5;9;79.5
1975-09-17;95.7;9;95.7
1975-09-18;90.9;9;90.9
1975-09-19;91.5;9;91.5
1975-09-20;95.2;9;95.2
1975-09-21;101.7;9;101.7
1975-09-22;118.0;9;118.0
1975-09-23;115.5;9;115.5
1975-09-24;109.5;9;109.5
1975-09-25;91.8;9;91.8
1975-09-26;90.3;9;90.3
1975-09-27;73.6;9;73.6
1975-09-28;82.5;9;82.5
1975-09-29;86.1;9;86.1
1975-09-30;85.5;9;85.5
1975-10-01;81.0;10;81.0
1975-10-02;72.2;10;72.2
1975-10-03;101.7;10;101.7
1975-10-04;65.0;10;65.0
1975-10-05;91.5;10;91.5
1975-10-06;132.1;10;132.1
1975-10-07;135.7;10;135.7
1975-10-08;127.8;10;127.8
1975-10-09;116.2;10;116.2
1975-10-10;101.7;10;101.7
1975-10-11;88.5;10;88.5
1975-10-12;82.5;10;82.5
1975-10-13;73.6;10;73.6
1975-10-14;108.0;10;108.0
1975-10-15;100.1;10;100.1
1975-10-16;141.4;10;141.4
1975-10-17;146.2;10;146.2
1975-10-18;135.7;10;135.7
1975-10-19;122.5;10;122.5
1975-10-20;93.0;10;93.0
1975-10-21;87.0;10;87.0
1975-10-22;190.0;10;190.0
1975-10-23;183.0;10;183.0
1975-10-24;199.2;10;199.2
1975-10-25;175.5;10;175.5
1975-10-26;183.0;10;183.0
1975-10-27;233.0;10;233.0
1975-10-28;136.0;10;136.0
1975-10-29;164.2;10;164.2
1975-10-30;198.0;10;198.0
1975-10-31;179.0;10;179.0
1975-11-01;224.2;11;224.2
1975-11-02;190.5;11;190.5
1975-11-03;153.7;11;153.7
1975-11-04;121.5;11;121.5
1975-11-05;112.7;11;112.7
1975-11-06;123.2;11;123.2
1975-11-07;135.7;11;135.7
1975-11-08;157.2;11;157.2
1975-11-09;201.0;11;201.0
1975-11-10;205.6;11;205.6
1975-11-11;179.0;11;179.0
1975-11-12;166.1;11;166.1
1975-11-13;141.4;11;141.4
1975-11-14;127.8;11;127.8
1975-11-15;132.0;11;132.0
1975-11-16;137.6;11;137.6
1975-11-17;141.4;11;141.4
1975-11-18;139.2;11;139.2
1975-11-19;118.7;11;118.7
1975-11-20;126.0;11;126.0
1975-11-21;130.6;11;130.6
1975-11-22;138.7;11;138.7
1975-11-23;159.2;11;159.2
1975-11-24;199.7;11;199.7
1975-11-25;183.6;11;183.6
1975-11-26;166.9;11;166.9
1975-11-27;153.3;11;153.3
1975-11-28;198.0;11;198.0
1975-11-29;190.8;11;190.8
1975-11-30;193.6;11;193.6
1975-12-01;187.2;12;187.2
1975-12-02;184.0;12;184.0
1975-12-03;196.0;12;196.0
1975-12-04;169.2;12;169.2
1975-12-05;192.7;12;192.7
1975-12-06;190.5;12;190.5
1975-12-07;214.0;12;214.0
1975-12-08;175.5;12;175.5
1975-12-09;157.2;12;157.2
1975-12-10;147.0;12;147.0
1975-12-11;142.5;12;142.5
1975-12-12;134.6;12;134.6
1975-12-13;129.5;12;129.5
1975-12-14;102.0;12;102.0
1975-12-15;73.9;12;73.9
1975-12-16;87.3;12;87.3
1975-12-17;114.3;12;114.3
1975-12-18;141.6;12;141.6
1975-12-19;170.9;12;170.9
1975-12-20;182.2;12;182.2
1975-12-21;184.4;12;184.4
1975-12-22;187.5;12;187.5
1975-12-23;184.7;12;184.7
1975-12-24;181.8;12;181.8
1975-12-25;172.5;12;172.5
1975-12-26;166.1;12;166.1
1975-12-27;158.9;12;158.9
1975-12-28;156.6;12;156.6
1975-12-29;153.3;12;153.3
1975-12-30;148.0;12;148.0
1975-12-31;90.6;12;90.6
1976-01-01;86.4;1;86.4
1976-01-02;88.8;1;88.8
1976-01-03;87.6;1;87.6
1976-01-04;89.4;1;89.4
1976-01-05;92.7;1;92.7
1976-01-06;97.8;1;97.8
1976-01-07;83.4;1;83.4
1976-01-08;76.5;1;76.5
1976-01-09;75.6;1;75.6
1976-01-10;73.3;1;73.3
1976-01-11;68.1;1;68.1
1976-01-12;60.2;1;60.2
1976-01-13;58.4;1;58.4
1976-01-14;58.1;1;58.1
1976-01-15;52.8;1;52.8
1976-01-16;51.4;1;51.4
1976-01-17;50.2;1;50.2
1976-01-18;51.8;1;51.8
1976-01-19;51.8;1;51.8
1976-01-20;46.1;1;46.1
1976-01-21;41.4;1;41.4
1976-01-22;39.7;1;39.7
1976-01-23;41.4;1;41.4
1976-01-24;43.6;1;43.6
1976-01-25;45.8;1;45.8
1976-01-26;48.3;1;48.3
1976-01-27;50.8;1;50.8
1976-01-28;52.6;1;52.6
1976-01-29;54.8;1;54.8
1976-01-30;52.6;1;52.6
1976-01-31;53.2;1;53.2
1976-02-01;55.4;2;55.4
1976-02-02;57.3;2;57.3
1976-02-03;56.2;2;56.2
1976-02-04;50.2;2;50.2
1976-02-05;75.6;2;75.6
1976-02-06;69.5;2;69.5
1976-02-07;63.9;2;63.9
1976-02-08;60.4;2;60.4
1976-02-09;56.2;2;56.2
1976-02-10;52.8;2;52.8
1976-02-11;54.4;2;54.4
1976-02-12;57.8;2;57.8
1976-02-13;61.3;2;61.3
1976-02-14;58.9;2;58.9
1976-02-15;55.1;2;55.1
1976-02-16;53.6;2;53.6
1976-02-17;55.9;2;55.9
1976-02-18;50.4;2;50.4
1976-02-19;78.0;2;78.0
1976-02-20;72.8;2;72.8
1976-02-21;65.6;2;65.6
1976-02-22;61.5;2;61.5
1976-02-23;38.7;2;38.7
1976-02-24;43.2;2;43.2
1976-02-25;48.9;2;48.9
1976-02-26;52.4;2;52.4
1976-02-27;58.0;2;58.0
1976-02-28;110.1;2;110.1
1976-02-29;115.5;2;115.5
1976-03-01;119.0;3;119.0
1976-03-02;83.4;3;83.4
1976-03-03;95.7;3;95.7
1976-03-04;84.3;3;84.3
1976-03-05;122.3;3;122.3
1976-03-06;156.7;3;156.7
1976-03-07;135.5;3;135.5
1976-03-08;106.8;3;106.8
1976-03-09;96.9;3;96.9
1976-03-10;125.0;3;125.0
1976-03-11;113.3;3;113.3
1976-03-12;105.8;3;105.8
1976-03-13;148.4;3;148.4
1976-03-14;128.4;3;128.4
1976-03-15;111.7;3;111.7
1976-03-16;132.7;3;132.7
1976-03-17;133.1;3;133.1
1976-03-18;129.4;3;129.4
1976-03-19;167.4;3;167.4
1976-03-20;144.4;3;144.4
1976-03-21;136.1;3;136.1
1976-03-22;137.1;3;137.1
1976-03-23;208.6;3;208.6
1976-03-24;161.4;3;161.4
1976-03-25;134.6;3;134.6
1976-03-26;108.0;3;108.0
1976-03-27;127.6;3;127.6
1976-03-28;138.3;3;138.3
1976-03-29;113.5;3;113.5
1976-03-30;115.4;3;115.4
1976-03-31;101.3;3;101.3
1976-04-01;112.8;4;112.8
1976-04-02;101.8;4;101.8
1976-04-03;109.5;4;109.5
1976-04-04;112.8;4;112.8
1976-04-05;103.4;4;103.4
1976-04-06;84.6;4;84.6
1976-04-07;83.8;4;83.8
1976-04-08;100.3;4;100.3
1976-04-09;112.9;4;112.9
1976-04-10;115.9;4;115.9
1976-04-11;123.7;4;123.7
1976-04-12;170.0;4;170.0
1976-04-13;165.0;4;165.0
1976-04-14;167.4;4;167.4
1976-04-15;182.0;4;182.0
1976-04-16;220.8;4;220.8
1976-04-17;193.7;4;193.7
1976-04-18;178.9;4;178.9
1976-04-19;170.2;4;170.2
1976-04-20;168.0;4;168.0
1976-04-21;168.8;4;168.8
1976-04-22;145.6;4;145.6
1976-04-23;118.5;4;118.5
1976-04-24;129.2;4;129.2
1976-04-25;106.3;4;106.3
1976-04-26;128.5;4;128.5
1976-04-27;128.6;4;128.6
1976-04-28;114.8;4;114.8
1976-04-29;115.5;4;115.5
1976-04-30;125.0;4;125.0
1976-05-01;107.7;5;107.7
1976-05-02;206.6;5;206.6
1976-05-03;123.8;5;123.8
1976-05-04;132.1;5;132.1
1976-05-05;140.1;5;140.1
1976-05-06;117.5;5;117.5
1976-05-07;116.1;5;116.1
1976-05-08;216.6;5;216.6
1976-05-09;221.9;5;221.9
1976-05-10;149.4;5;149.4
1976-05-11;116.3;5;116.3
1976-05-12;103.1;5;103.1
1976-05-13;100.9;5;100.9
1976-05-14;110.8;5;110.8
1976-05-15;126.8;5;126.8
1976-05-16;126.8;5;126.8
1976-05-17;106.7;5;106.7
1976-05-18;107.8;5;107.8
1976-05-19;127.8;5;127.8
1976-05-20;104.8;5;104.8
1976-05-21;102.0;5;102.0
1976-05-22;68.9;5;68.9
1976-05-23;68.9;5;68.9
1976-05-24;76.8;5;76.8
1976-05-25;61.2;5;61.2
