# River:                 RIO SOGAMOSO
# Station:               EL TABLAZO
# Latitude (DD):       7.03958333333333
# Longitude (DD):      -73.3395833333333

YYYY-MM-DD;Value;month;Value_imputed
1958-09-12;127.0;9;127.0
1958-09-13;223.0;9;223.0
1958-09-14;212.0;9;212.0
1958-09-15;336.0;9;336.0
1958-09-16;205.0;9;205.0
1958-09-17;156.0;9;156.0
1958-09-18;122.0;9;122.0
1958-09-19;113.0;9;113.0
1958-09-20;154.0;9;154.0
1958-09-21;164.0;9;164.0
1958-09-22;119.0;9;119.0
1958-09-23;368.0;9;368.0
1958-09-24;232.0;9;232.0
1958-09-25;180.0;9;180.0
1958-09-26;213.0;9;213.0
1958-09-27;191.0;9;191.0
1958-09-28;137.0;9;137.0
1958-09-29;148.0;9;148.0
1958-09-30;157.0;9;157.0
1958-10-01;187.0;10;187.0
1958-10-02;225.0;10;225.0
1958-10-03;213.0;10;213.0
1958-10-04;322.0;10;322.0
1958-10-05;171.0;10;171.0
1958-10-06;154.0;10;154.0
1958-10-07;177.0;10;177.0
1958-10-08;174.0;10;174.0
1958-10-09;167.0;10;167.0
1958-10-10;209.0;10;209.0
1958-10-11;207.0;10;207.0
1958-10-12;227.0;10;227.0
1958-10-13;205.0;10;205.0
1958-10-14;561.0;10;561.0
1958-10-15;554.0;10;554.0
1958-10-16;542.0;10;542.0
1958-10-17;336.0;10;336.0
1958-10-18;492.0;10;492.0
1958-10-19;552.0;10;552.0
1958-10-20;388.0;10;388.0
1958-10-21;314.0;10;314.0
1958-10-22;278.0;10;278.0
1958-10-23;219.0;10;219.0
1958-10-24;272.0;10;272.0
1958-10-25;441.0;10;441.0
1958-10-26;394.0;10;394.0
1958-10-27;423.0;10;423.0
1958-10-28;646.0;10;646.0
1958-10-29;544.0;10;544.0
1958-10-30;322.0;10;322.0
1958-10-31;496.0;10;496.0
1958-11-01;293.0;11;293.0
1958-11-02;208.0;11;208.0
1958-11-03;254.0;11;254.0
1958-11-04;292.0;11;292.0
1958-11-05;247.0;11;247.0
1958-11-06;599.0;11;599.0
1958-11-07;498.0;11;498.0
1958-11-08;491.0;11;491.0
1958-11-09;361.0;11;361.0
1958-11-10;278.0;11;278.0
1958-11-11;351.0;11;351.0
1958-11-12;309.0;11;309.0
1958-11-13;384.0;11;384.0
1958-11-14;371.0;11;371.0
1958-11-15;772.0;11;772.0
1958-11-16;404.0;11;404.0
1958-11-17;826.0;11;826.0
1958-11-18;756.0;11;756.0
1958-11-19;493.0;11;493.0
1958-11-20;523.0;11;523.0
1958-11-21;460.0;11;460.0
1958-11-22;262.0;11;262.0
1958-11-23;198.0;11;198.0
1958-11-24;237.0;11;237.0
1958-11-25;166.0;11;166.0
1958-11-26;203.0;11;203.0
1958-11-27;193.0;11;193.0
1958-11-28;173.0;11;173.0
1958-11-29;262.0;11;262.0
1958-11-30;271.0;11;271.0
1958-12-01;192.0;12;192.0
1958-12-02;206.0;12;206.0
1958-12-03;218.0;12;218.0
1958-12-04;300.0;12;300.0
1958-12-05;326.0;12;326.0
1958-12-06;307.0;12;307.0
1958-12-07;357.0;12;357.0
1958-12-08;277.0;12;277.0
1958-12-09;242.0;12;242.0
1958-12-10;185.0;12;185.0
1958-12-11;143.0;12;143.0
1958-12-12;136.0;12;136.0
1958-12-13;117.0;12;117.0
1958-12-14;127.0;12;127.0
1958-12-15;132.0;12;132.0
1958-12-16;115.0;12;115.0
1958-12-17;112.0;12;112.0
1958-12-18;104.0;12;104.0
1958-12-19;169.0;12;169.0
1958-12-20;145.0;12;145.0
1958-12-21;172.0;12;172.0
1958-12-22;149.0;12;149.0
1958-12-23;262.0;12;262.0
1958-12-24;442.0;12;442.0
1958-12-25;351.0;12;351.0
1958-12-26;307.0;12;307.0
1958-12-27;317.0;12;317.0
1958-12-28;273.0;12;273.0
1958-12-29;321.0;12;321.0
1958-12-30;320.0;12;320.0
1958-12-31;239.0;12;239.0
1959-01-01;175.0;1;175.0
1959-01-02;136.0;1;136.0
1959-01-03;123.0;1;123.0
1959-01-04;110.0;1;110.0
1959-01-05;78.0;1;78.0
1959-01-06;98.0;1;98.0
1959-01-07;80.0;1;80.0
1959-01-08;100.0;1;100.0
1959-01-09;86.0;1;86.0
1959-01-10;85.0;1;85.0
1959-01-11;88.0;1;88.0
1959-01-12;96.0;1;96.0
1959-01-13;74.0;1;74.0
1959-01-14;76.0;1;76.0
1959-01-15;72.0;1;72.0
1959-01-16;75.0;1;75.0
1959-01-17;58.0;1;58.0
