# River:                 RIO PIENTA
# Station:               NEMIZAQUE
# Latitude (DD):       6.2
# Longitude (DD):      -73.17

YYYY-MM-DD;Value;month;Value_imputed
1978-01-01;7.0;1;7.0
1978-01-02;7.0;1;7.0
1978-01-03;7.0;1;7.0
1978-01-04;7.0;1;7.0
1978-01-05;8.0;1;8.0
1978-01-06;7.0;1;7.0
1978-01-07;8.0;1;8.0
1978-01-08;7.0;1;7.0
1978-01-09;11.0;1;11.0
1978-01-10;30.0;1;30.0
1978-01-11;28.0;1;28.0
1978-01-12;20.0;1;20.0
1978-01-13;14.0;1;14.0
1978-01-14;8.0;1;8.0
1978-01-15;8.0;1;8.0
1978-01-16;7.0;1;7.0
1978-01-17;7.0;1;7.0
1978-01-18;6.0;1;6.0
1978-01-19;6.0;1;6.0
1978-01-20;5.0;1;5.0
1978-01-21;5.0;1;5.0
1978-01-22;5.0;1;5.0
1978-01-23;5.0;1;5.0
1978-01-24;5.0;1;5.0
1978-01-25;4.0;1;4.0
1978-01-26;7.0;1;7.0
1978-01-27;5.0;1;5.0
1978-01-28;8.0;1;8.0
1978-01-29;14.0;1;14.0
1978-01-30;14.0;1;14.0
1978-01-31;7.0;1;7.0
1978-02-01;7.0;2;7.0
1978-02-02;5.0;2;5.0
1978-02-03;5.0;2;5.0
1978-02-04;5.0;2;5.0
1978-02-05;8.0;2;8.0
1978-02-06;6.0;2;6.0
1978-02-07;8.0;2;8.0
1978-02-08;13.0;2;13.0
1978-02-09;10.0;2;10.0
1978-02-10;9.0;2;9.0
1978-02-11;5.0;2;5.0
1978-02-12;5.0;2;5.0
1978-02-13;5.0;2;5.0
1978-02-14;4.0;2;4.0
1978-02-15;4.0;2;4.0
1978-02-16;4.0;2;4.0
1978-02-17;4.0;2;4.0
1978-02-18;4.0;2;4.0
1978-02-19;4.0;2;4.0
1978-02-20;4.0;2;4.0
1978-02-21;4.0;2;4.0
1978-02-22;4.0;2;4.0
1978-02-23;4.0;2;4.0
1978-02-24;4.0;2;4.0
1978-02-25;4.0;2;4.0
1978-02-26;4.0;2;4.0
1978-02-27;4.0;2;4.0
1978-02-28;4.0;2;4.0
1978-03-01;4.0;3;4.0
1978-03-02;7.0;3;7.0
1978-03-03;11.0;3;11.0
1978-03-04;11.0;3;11.0
1978-03-05;56.0;3;56.0
1978-03-06;18.0;3;18.0
1978-03-07;18.0;3;18.0
1978-03-08;17.0;3;17.0
1978-03-09;16.0;3;16.0
1978-03-10;17.0;3;17.0
1978-03-11;15.0;3;15.0
1978-03-12;11.0;3;11.0
1978-03-13;5.0;3;5.0
1978-03-14;5.0;3;5.0
1978-03-15;5.0;3;5.0
1978-03-16;4.0;3;4.0
1978-03-17;4.0;3;4.0
1978-03-18;3.0;3;3.0
1978-03-19;13.0;3;13.0
1978-03-20;7.0;3;7.0
1978-03-21;9.0;3;9.0
1978-03-22;6.0;3;6.0
1978-03-23;57.0;3;57.0
1978-03-24;26.0;3;26.0
1978-03-25;19.0;3;19.0
1978-03-26;25.0;3;25.0
1978-03-27;57.0;3;57.0
1978-03-28;32.0;3;32.0
1978-03-29;80.0;3;80.0
