# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-18
#
# GRDC-No.:              3104500
# River:                 RIO ZULIA
# Station:               SAN JAVIER
# Country:               CO
# Latitude (DD):       7.88
# Longitude (DD):      -72.62
# Catchment area (km²):      1579.0
# Altitude (m ASL):        200.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1958-07 - 2013-12
# No. of years:          56
# Last update:           2024-10-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 20272
# DATA
YYYY-MM-DD;hh:mm; Value
1958-07-01;--:--;     22.800
1958-07-02;--:--;     22.800
1958-07-03;--:--;     22.800
1958-07-04;--:--;     22.800
1958-07-05;--:--;     22.800
1958-07-06;--:--;     22.800
1958-07-07;--:--;     22.800
1958-07-08;--:--;     22.800
1958-07-09;--:--;     22.800
1958-07-10;--:--;     22.800
1958-07-11;--:--;     22.800
1958-07-12;--:--;     22.800
1958-07-13;--:--;     22.800
1958-07-14;--:--;     22.800
1958-07-15;--:--;     22.800
1958-07-16;--:--;     23.400
1958-07-17;--:--;     23.400
1958-07-18;--:--;     21.600
1958-07-19;--:--;     23.100
1958-07-20;--:--;     23.700
1958-07-21;--:--;     21.600
1958-07-22;--:--;     21.600
1958-07-23;--:--;     21.600
1958-07-24;--:--;     21.300
1958-07-25;--:--;     24.300
1958-07-26;--:--;     26.100
1958-07-27;--:--;     22.200
1958-07-28;--:--;     22.500
1958-07-29;--:--;     22.800
1958-07-30;--:--;     21.600
1958-07-31;--:--;     24.900
1958-08-01;--:--;     21.900
1958-08-02;--:--;     22.200
1958-08-03;--:--;     20.400
1958-08-04;--:--;     20.100
1958-08-05;--:--;     19.800
1958-08-06;--:--;     19.300
1958-08-07;--:--;     33.000
1958-08-08;--:--;     22.200
1958-08-09;--:--;     31.300
1958-08-10;--:--;     21.600
1958-08-11;--:--;     38.100
1958-08-12;--:--;     36.400
1958-08-13;--:--;     27.700
1958-08-14;--:--;     33.100
1958-08-15;--:--;     31.900
1958-08-16;--:--;     28.700
1958-08-17;--:--;     26.100
1958-08-18;--:--;     31.600
1958-08-19;--:--;     27.900
1958-08-20;--:--;     25.200
1958-08-21;--:--;     24.300
1958-08-22;--:--;     23.400
1958-08-23;--:--;     22.200
1958-08-24;--:--;     20.400
1958-08-25;--:--;     23.100
1958-08-26;--:--;     24.000
1958-08-27;--:--;     24.300
1958-08-28;--:--;     26.300
1958-08-29;--:--;     23.100
1958-08-30;--:--;     23.100
1958-08-31;--:--;     21.600
1958-09-01;--:--;     21.600
1958-09-02;--:--;     24.000
1958-09-03;--:--;     23.400
1958-09-04;--:--;     20.100
1958-09-05;--:--;     19.800
1958-09-06;--:--;     19.600
1958-09-07;--:--;     19.300
1958-09-08;--:--;     19.300
1958-09-09;--:--;     18.800
1958-09-10;--:--;     18.600
1958-09-11;--:--;     17.400
1958-09-12;--:--;     31.600
1958-09-13;--:--;     20.400
1958-09-14;--:--;     25.200
1958-09-15;--:--;     22.800
1958-09-16;--:--;     24.000
1958-09-17;--:--;     22.500
1958-09-18;--:--;     20.100
1958-09-19;--:--;     19.800
1958-09-20;--:--;     19.300
1958-09-21;--:--;     23.400
1958-09-22;--:--;     20.400
1958-09-23;--:--;     28.900
1958-09-24;--:--;     22.800
1958-09-25;--:--;     20.400
1958-09-26;--:--;     19.800
1958-09-27;--:--;     19.800
1958-09-28;--:--;     21.300
1958-09-29;--:--;     19.800
1958-09-30;--:--;     43.300
1958-10-01;--:--;     50.300
1958-10-02;--:--;     36.700
1958-10-03;--:--;     29.000
1958-10-04;--:--;     23.700
1958-10-05;--:--;     23.400
1958-10-06;--:--;     22.200
1958-10-07;--:--;     20.700
1958-10-08;--:--;     20.400
1958-10-09;--:--;     25.500
1958-10-10;--:--;     28.400
1958-10-11;--:--;     37.100
1958-10-12;--:--;     41.600
1958-10-13;--:--;     53.700
1958-10-14;--:--;     56.200
1958-10-15;--:--;     37.600
1958-10-16;--:--;     33.600
1958-10-17;--:--;     53.000
1958-10-18;--:--;     43.400
1958-10-19;--:--;     41.900
1958-10-20;--:--;     34.600
1958-10-21;--:--;     39.800
1958-10-22;--:--;     72.800
1958-10-23;--:--;     59.000
1958-10-24;--:--;     61.600
1958-10-25;--:--;     49.000
1958-10-26;--:--;     72.500
1958-10-27;--:--;     67.400
1958-10-28;--:--;     48.300
1958-10-29;--:--;     42.300
1958-10-30;--:--;     34.700
1958-10-31;--:--;     28.900
1958-11-01;--:--;     36.400
1958-11-02;--:--;     33.000
1958-11-03;--:--;     38.100
1958-11-04;--:--;     30.600
