# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-18
#
# GRDC-No.:              3104600
# River:                 RIO TARRA
# Station:               PTE.TARRA
# Country:               CO
# Latitude (DD):       8.58
# Longitude (DD):      -72.6
# Catchment area (km²):      1656.0
# Altitude (m ASL):        350.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4016
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     26.000
1978-01-02;--:--;     25.000
1978-01-03;--:--;     25.000
1978-01-04;--:--;     25.000
1978-01-05;--:--;     24.000
1978-01-06;--:--;     24.000
1978-01-07;--:--;     24.000
1978-01-08;--:--;     23.000
1978-01-09;--:--;     23.000
1978-01-10;--:--;     23.000
1978-01-11;--:--;     22.000
1978-01-12;--:--;     22.000
1978-01-13;--:--;     22.000
1978-01-14;--:--;     22.000
1978-01-15;--:--;     22.000
1978-01-16;--:--;     20.000
1978-01-17;--:--;     22.000
1978-01-18;--:--;     21.000
1978-01-19;--:--;     22.000
1978-01-20;--:--;     22.000
1978-01-21;--:--;     21.000
1978-01-22;--:--;     21.000
1978-01-23;--:--;     21.000
1978-01-24;--:--;     21.000
1978-01-25;--:--;     20.000
1978-01-26;--:--;     20.000
1978-01-27;--:--;     20.000
1978-01-28;--:--;     20.000
1978-01-29;--:--;     22.000
1978-01-30;--:--;     23.000
1978-01-31;--:--;     21.000
1978-02-01;--:--;     21.000
1978-02-02;--:--;     21.000
1978-02-03;--:--;     21.000
1978-02-04;--:--;     21.000
1978-02-05;--:--;     21.000
1978-02-06;--:--;     23.000
1978-02-07;--:--;     25.000
1978-02-08;--:--;     29.000
1978-02-09;--:--;     38.000
1978-02-10;--:--;     24.000
1978-02-11;--:--;     26.000
1978-02-12;--:--;     24.000
1978-02-13;--:--;     30.000
1978-02-14;--:--;     24.000
1978-02-15;--:--;     22.000
1978-02-16;--:--;     21.000
1978-02-17;--:--;     21.000
1978-02-18;--:--;     20.000
1978-02-19;--:--;     19.000
1978-02-20;--:--;     19.000
1978-02-21;--:--;     18.000
1978-02-22;--:--;     19.000
1978-02-23;--:--;     80.000
1978-02-24;--:--;     41.000
1978-02-25;--:--;     25.000
1978-02-26;--:--;     23.000
1978-02-27;--:--;     23.000
1978-02-28;--:--;     32.000
1978-03-01;--:--;     23.000
1978-03-02;--:--;     21.000
1978-03-03;--:--;     28.000
1978-03-04;--:--;     38.000
1978-03-05;--:--;     57.000
1978-03-06;--:--;     38.000
1978-03-07;--:--;     30.000
1978-03-08;--:--;     27.000
1978-03-09;--:--;     24.000
1978-03-10;--:--;     26.000
1978-03-11;--:--;     24.000
1978-03-12;--:--;     23.000
1978-03-13;--:--;     24.000
1978-03-14;--:--;     24.000
1978-03-15;--:--;     23.000
1978-03-16;--:--;     23.000
1978-03-17;--:--;     23.000
1978-03-18;--:--;     24.000
1978-03-19;--:--;     29.000
1978-03-20;--:--;     24.000
1978-03-21;--:--;     21.000
1978-03-22;--:--;     21.000
1978-03-23;--:--;     28.000
1978-03-24;--:--;     39.000
1978-03-25;--:--;     34.000
1978-03-26;--:--;     32.000
1978-03-27;--:--;     29.000
1978-03-28;--:--;     30.000
1978-03-29;--:--;    157.000
1978-03-30;--:--;     51.000
1978-03-31;--:--;    130.000
1978-04-01;--:--;     55.000
1978-04-02;--:--;     70.000
1978-04-03;--:--;    210.000
