# River:                 RIO PRADO
# Station:               BOQUERON
# Latitude (DD):       3.75
# Longitude (DD):      -74.9

YYYY-MM-DD;Value;month;Value_imputed
1959-03-01;8.0;3;8.0
1959-03-02;50.0;3;50.0
1959-03-03;38.0;3;38.0
1959-03-04;18.0;3;18.0
1959-03-05;14.0;3;14.0
1959-03-06;12.0;3;12.0
1959-03-07;11.0;3;11.0
1959-03-08;9.0;3;9.0
1959-03-09;12.0;3;12.0
1959-03-10;12.0;3;12.0
1959-03-11;8.0;3;8.0
1959-03-12;31.0;3;31.0
1959-03-13;14.0;3;14.0
1959-03-14;14.0;3;14.0
1959-03-15;17.0;3;17.0
1959-03-16;15.0;3;15.0
1959-03-17;13.0;3;13.0
1959-03-18;9.0;3;9.0
1959-03-19;15.0;3;15.0
1959-03-20;38.0;3;38.0
1959-03-21;22.0;3;22.0
1959-03-22;14.0;3;14.0
1959-03-23;11.0;3;11.0
1959-03-24;9.0;3;9.0
1959-03-25;8.0;3;8.0
1959-03-26;12.0;3;12.0
1959-03-27;11.0;3;11.0
1959-03-28;12.0;3;12.0
1959-03-29;36.0;3;36.0
1959-03-30;34.0;3;34.0
1959-03-31;35.0;3;35.0
1959-04-01;19.0;4;19.0
1959-04-02;25.0;4;25.0
1959-04-03;21.0;4;21.0
1959-04-04;30.0;4;30.0
1959-04-05;37.0;4;37.0
1959-04-06;27.0;4;27.0
1959-04-07;20.0;4;20.0
1959-04-08;14.0;4;14.0
1959-04-09;12.0;4;12.0
1959-04-10;12.0;4;12.0
1959-04-11;11.0;4;11.0
1959-04-12;17.0;4;17.0
1959-04-13;18.0;4;18.0
1959-04-14;26.0;4;26.0
1959-04-15;18.0;4;18.0
1959-04-16;16.0;4;16.0
1959-04-17;18.0;4;18.0
1959-04-18;14.0;4;14.0
1959-04-19;12.0;4;12.0
1959-04-20;16.0;4;16.0
1959-04-21;27.0;4;27.0
1959-04-22;30.0;4;30.0
1959-04-23;95.0;4;95.0
1959-04-24;37.0;4;37.0
1959-04-25;53.0;4;53.0
1959-04-26;151.0;4;151.0
1959-04-27;89.0;4;89.0
1959-04-28;54.0;4;54.0
1959-04-29;30.0;4;30.0
1959-04-30;22.0;4;22.0
1959-05-01;18.0;5;18.0
1959-05-02;79.0;5;79.0
1959-05-03;65.0;5;65.0
1959-05-04;216.0;5;216.0
1959-05-05;257.0;5;257.0
1959-05-06;115.0;5;115.0
1959-05-07;124.0;5;124.0
1959-05-08;90.0;5;90.0
1959-05-09;129.0;5;129.0
1959-05-10;162.0;5;162.0
1959-05-11;82.0;5;82.0
1959-05-12;53.0;5;53.0
1959-05-13;42.0;5;42.0
1959-05-14;41.0;5;41.0
1959-05-15;33.0;5;33.0
1959-05-16;29.0;5;29.0
1959-05-17;26.0;5;26.0
1959-05-18;23.0;5;23.0
1959-05-19;27.0;5;27.0
1959-05-20;26.0;5;26.0
1959-05-21;33.0;5;33.0
1959-05-22;56.0;5;56.0
1959-05-23;62.0;5;62.0
1959-05-24;38.0;5;38.0
1959-05-25;28.0;5;28.0
1959-05-26;22.0;5;22.0
1959-05-27;18.0;5;18.0
1959-05-28;16.0;5;16.0
1959-05-29;18.0;5;18.0
1959-05-30;20.0;5;20.0
