# River:                 RIO META
# Station:               CABUYARO [35107030]
# Latitude (DD):       4.28
# Longitude (DD):      -72.79

YYYY-MM-DD;Value;month;Value_imputed
1976-05-04;1484.0;5;1484.0
1976-05-05;1342.0;5;1342.0
1976-05-06;1112.0;5;1112.0
1976-05-07;1258.0;5;1258.0
1976-05-08;1201.0;5;1201.0
1976-05-09;1271.0;5;1271.0
1976-05-10;1225.0;5;1225.0
1976-05-11;1159.0;5;1159.0
1976-05-12;1257.0;5;1257.0
1976-05-13;1432.0;5;1432.0
1976-05-14;1694.0;5;1694.0
1976-05-15;1575.0;5;1575.0
1976-05-16;1516.0;5;1516.0
1976-05-17;1543.0;5;1543.0
1976-05-18;1669.0;5;1669.0
1976-05-19;1867.0;5;1867.0
1976-05-20;1847.0;5;1847.0
1976-05-21;1935.0;5;1935.0
1976-05-22;2058.0;5;2058.0
1976-05-23;2152.0;5;2152.0
1976-05-24;2282.0;5;2282.0
1976-05-25;2292.0;5;2292.0
1976-05-26;2310.0;5;2310.0
1976-05-27;2236.0;5;2236.0
1976-05-28;2176.0;5;2176.0
1976-05-29;1905.0;5;1905.0
1976-05-30;1545.0;5;1545.0
1976-05-31;1443.0;5;1443.0
1976-06-01;1286.0;6;1286.0
1976-06-02;1368.0;6;1368.0
1976-06-03;1282.0;6;1282.0
1976-06-04;1368.0;6;1368.0
1976-06-05;1356.0;6;1356.0
1976-06-06;1177.0;6;1177.0
1976-06-07;1324.0;6;1324.0
1976-06-08;1905.0;6;1905.0
1976-06-09;1868.0;6;1868.0
1976-06-10;1891.0;6;1891.0
1976-06-11;1967.0;6;1967.0
1976-06-12;1983.0;6;1983.0
1976-06-13;2138.0;6;2138.0
1976-06-14;2155.0;6;2155.0
1976-06-15;2121.0;6;2121.0
1976-06-16;2072.0;6;2072.0
1976-06-17;1919.0;6;1919.0
1976-06-18;1807.0;6;1807.0
1976-06-19;1930.0;6;1930.0
1976-06-20;1926.0;6;1926.0
1976-06-21;2108.0;6;2108.0
1976-06-22;2207.0;6;2207.0
1976-06-23;2254.0;6;2254.0
1976-06-24;2240.0;6;2240.0
1976-06-25;2102.0;6;2102.0
1976-06-26;1843.0;6;1843.0
1976-06-27;1594.0;6;1594.0
1976-06-28;1673.0;6;1673.0
1976-06-29;1981.0;6;1981.0
1976-06-30;2050.0;6;2050.0
1976-07-01;2007.0;7;2007.0
1976-07-02;2118.0;7;2118.0
1976-07-03;2282.0;7;2282.0
1976-07-04;2331.0;7;2331.0
1976-07-05;2163.0;7;2163.0
1976-07-06;1864.0;7;1864.0
1976-07-07;1773.0;7;1773.0
1976-07-08;1537.0;7;1537.0
1976-07-09;1858.0;7;1858.0
1976-07-10;2026.0;7;2026.0
1976-07-11;2131.0;7;2131.0
1976-07-12;2253.0;7;2253.0
1976-07-13;2390.0;7;2390.0
1976-07-14;2469.0;7;2469.0
1976-07-15;2417.0;7;2417.0
1976-07-16;2337.0;7;2337.0
1976-07-17;2179.0;7;2179.0
1976-07-18;1893.0;7;1893.0
1976-07-19;1791.0;7;1791.0
1976-07-20;1942.0;7;1942.0
1976-07-21;1954.0;7;1954.0
1976-07-22;1787.0;7;1787.0
1976-07-23;1781.0;7;1781.0
1976-07-24;1681.0;7;1681.0
1976-07-25;1600.0;7;1600.0
1976-07-26;1762.0;7;1762.0
1976-07-27;1708.0;7;1708.0
1976-07-28;1801.0;7;1801.0
1976-07-29;1822.0;7;1822.0
1976-07-30;1659.0;7;1659.0
1976-07-31;1452.0;7;1452.0
1976-08-01;1465.0;8;1465.0
1976-08-02;1926.0;8;1926.0
1976-08-03;1940.0;8;1940.0
1976-08-04;1659.0;8;1659.0
1976-08-05;669.0;8;669.0
1976-08-06;1240.0;8;1240.0
1976-08-07;1060.0;8;1060.0
1976-08-08;920.0;8;920.0
1976-08-09;880.0;8;880.0
1976-08-10;819.0;8;819.0
1976-08-11;829.0;8;829.0
1976-08-12;809.0;8;809.0
1976-08-13;697.0;8;697.0
1976-08-14;629.0;8;629.0
1976-08-15;635.0;8;635.0
1976-08-16;1481.0;8;1481.0
1976-08-17;1241.0;8;1241.0
1976-08-18;948.0;8;948.0
1976-08-19;839.0;8;839.0
1976-08-20;1196.0;8;1196.0
1976-08-21;880.0;8;880.0
1976-08-22;1230.0;8;1230.0
1976-08-23;1010.0;8;1010.0
1976-08-24;854.0;8;854.0
1976-08-25;885.0;8;885.0
1976-08-26;924.0;8;924.0
1976-08-27;913.0;8;913.0
1976-08-28;1043.0;8;1043.0
1976-08-29;1481.0;8;1481.0
1976-08-30;1423.0;8;1423.0
1976-08-31;1345.0;8;1345.0
1976-09-01;1227.0;9;1227.0
1976-09-02;1336.0;9;1336.0
1976-09-03;1147.0;9;1147.0
1976-09-04;933.0;9;933.0
1976-09-05;792.0;9;792.0
1976-09-06;701.0;9;701.0
1976-09-07;662.0;9;662.0
1976-09-08;887.0;9;887.0
1976-09-09;838.0;9;838.0
1976-09-10;754.0;9;754.0
1976-09-11;674.0;9;674.0
1976-09-12;592.0;9;592.0
1976-09-13;620.0;9;620.0
1976-09-14;801.0;9;801.0
1976-09-15;735.0;9;735.0
1976-09-16;647.0;9;647.0
1976-09-17;627.0;9;627.0
1976-09-18;588.0;9;588.0
1976-09-19;583.0;9;583.0
1976-09-20;541.0;9;541.0
1976-09-21;566.0;9;566.0
1976-09-22;592.0;9;592.0
1976-09-23;768.0;9;768.0
1976-09-24;727.0;9;727.0
1976-09-25;740.0;9;740.0
1976-09-26;674.0;9;674.0
1976-09-27;676.0;9;676.0
1976-09-28;672.0;9;672.0
1976-09-29;790.0;9;790.0
1976-09-30;809.0;9;809.0
1976-10-01;742.0;10;742.0
1976-10-02;629.0;10;629.0
1976-10-03;674.0;10;674.0
1976-10-04;723.0;10;723.0
1976-10-05;721.0;10;721.0
1976-10-06;637.0;10;637.0
1976-10-07;579.0;10;579.0
1976-10-08;758.0;10;758.0
1976-10-09;770.0;10;770.0
1976-10-10;688.0;10;688.0
1976-10-11;766.0;10;766.0
1976-10-12;974.0;10;974.0
1976-10-13;1054.0;10;1054.0
1976-10-14;882.0;10;882.0
1976-10-15;740.0;10;740.0
1976-10-16;707.0;10;707.0
1976-10-17;635.0;10;635.0
1976-10-18;533.0;10;533.0
1976-10-19;475.0;10;475.0
1976-10-20;493.0;10;493.0
1976-10-21;512.0;10;512.0
1976-10-22;639.0;10;639.0
1976-10-23;832.0;10;832.0
1976-10-24;678.0;10;678.0
1976-10-25;1152.0;10;1152.0
1976-10-26;1150.0;10;1150.0
1976-10-27;926.0;10;926.0
1976-10-28;805.0;10;805.0
1976-10-29;765.0;10;765.0
1976-10-30;878.0;10;878.0
1976-10-31;699.0;10;699.0
1976-11-01;602.0;11;602.0
1976-11-02;729.0;11;729.0
1976-11-03;729.0;11;729.0
1976-11-04;725.0;11;725.0
1976-11-05;785.0;11;785.0
1976-11-06;763.0;11;763.0
1976-11-07;656.0;11;656.0
1976-11-08;611.0;11;611.0
1976-11-09;744.0;11;744.0
1976-11-10;1522.0;11;1522.0
1976-11-11;1163.0;11;1163.0
1976-11-12;865.0;11;865.0
1976-11-13;709.0;11;709.0
1976-11-14;603.0;11;603.0
1976-11-15;541.0;11;541.0
1976-11-16;502.0;11;502.0
1976-11-17;454.0;11;454.0
1976-11-18;545.0;11;545.0
1976-11-19;579.0;11;579.0
1976-11-20;486.0;11;486.0
1976-11-21;426.0;11;426.0
1976-11-22;435.0;11;435.0
1976-11-23;432.0;11;432.0
1976-11-24;415.0;11;415.0
1976-11-25;384.0;11;384.0
1976-11-26;358.0;11;358.0
1976-11-27;333.0;11;333.0
1976-11-28;311.0;11;311.0
1976-11-29;344.0;11;344.0
1976-11-30;315.0;11;315.0
1976-12-01;311.0;12;311.0
1976-12-02;1071.0;12;1071.0
1976-12-03;362.0;12;362.0
1976-12-04;423.0;12;423.0
1976-12-05;430.0;12;430.0
1976-12-06;432.0;12;432.0
1976-12-07;520.0;12;520.0
1976-12-08;587.0;12;587.0
1976-12-09;624.0;12;624.0
1976-12-10;869.0;12;869.0
1976-12-11;880.0;12;880.0
1976-12-12;684.0;12;684.0
1976-12-13;551.0;12;551.0
1976-12-14;496.0;12;496.0
1976-12-15;476.0;12;476.0
1976-12-16;407.0;12;407.0
1976-12-17;384.0;12;384.0
1976-12-18;441.0;12;441.0
1976-12-19;403.0;12;403.0
1976-12-20;367.0;12;367.0
1976-12-21;333.0;12;333.0
1976-12-22;337.0;12;337.0
