# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-18
#
# GRDC-No.:              3107250
# River:                 RIO LENGUPA
# Station:               SAN AGUSTIN
# Country:               CO
# Latitude (DD):       4.85
# Longitude (DD):      -73.23
# Catchment area (km²):      1641.0
# Altitude (m ASL):        440.0
# Next downstream station:      3206700
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1961-03 - 2021-07
# No. of years:          61
# Last update:           2024-10-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 22053
# DATA
YYYY-MM-DD;hh:mm; Value
1961-03-07;--:--;      8.800
1961-03-08;--:--;      8.400
1961-03-09;--:--;      8.400
1961-03-10;--:--;      8.400
1961-03-11;--:--;      8.100
1961-03-12;--:--;      8.400
1961-03-13;--:--;      8.600
1961-03-14;--:--;      8.400
1961-03-15;--:--;      8.200
1961-03-16;--:--;      7.900
1961-03-17;--:--;      8.200
1961-03-18;--:--;      8.200
1961-03-19;--:--;      9.000
1961-03-20;--:--;      9.000
1961-03-21;--:--;     11.900
1961-03-22;--:--;     16.500
1961-03-23;--:--;     18.200
1961-03-24;--:--;     19.700
1961-03-25;--:--;     14.200
1961-03-26;--:--;     43.400
1961-03-27;--:--;     48.600
1961-03-28;--:--;     71.000
1961-03-29;--:--;     28.200
1961-03-30;--:--;     30.400
1961-03-31;--:--;     26.100
1961-04-01;--:--;     45.400
1961-04-02;--:--;     47.100
1961-04-03;--:--;     28.600
1961-04-04;--:--;     21.800
1961-04-05;--:--;     17.000
1961-04-06;--:--;     17.700
1961-04-07;--:--;     17.500
1961-04-08;--:--;     21.400
1961-04-09;--:--;     29.900
1961-04-10;--:--;     29.600
1961-04-11;--:--;     29.600
1961-04-12;--:--;     28.200
1961-04-13;--:--;     29.200
1961-04-14;--:--;     25.600
1961-04-15;--:--;     20.900
1961-04-16;--:--;     52.800
1961-04-17;--:--;     67.600
1961-04-18;--:--;     64.900
1961-04-19;--:--;     49.700
1961-04-20;--:--;     46.900
1961-04-21;--:--;     49.400
1961-04-22;--:--;     94.000
1961-04-23;--:--;     76.800
1961-04-24;--:--;     52.300
1961-04-25;--:--;     55.600
1961-04-26;--:--;     55.600
1961-04-27;--:--;     96.700
1961-04-28;--:--;     78.400
1961-04-29;--:--;     60.700
1961-04-30;--:--;     47.400
1961-05-01;--:--;     49.000
1961-05-02;--:--;     40.000
1961-05-03;--:--;     36.000
1961-05-04;--:--;     33.000
1961-05-05;--:--;     33.000
1961-05-06;--:--;     32.000
1961-05-07;--:--;     41.000
1961-05-08;--:--;     44.000
1961-05-09;--:--;     32.000
1961-05-10;--:--;     28.000
1961-05-11;--:--;     43.000
1961-05-12;--:--;     47.000
1961-05-13;--:--;     45.000
1961-05-14;--:--;     57.000
1961-05-15;--:--;     53.000
1961-05-16;--:--;     76.000
1961-05-17;--:--;    111.000
1961-05-18;--:--;    133.000
1961-05-19;--:--;     98.000
1961-05-20;--:--;     82.000
1961-05-21;--:--;    201.000
1961-05-22;--:--;    152.000
1961-05-23;--:--;    119.000
1961-05-24;--:--;    132.000
1961-05-25;--:--;     89.000
1961-05-26;--:--;    107.000
1961-05-27;--:--;    114.000
1961-05-28;--:--;    120.000
1961-05-29;--:--;    141.000
1961-05-30;--:--;    158.000
1961-05-31;--:--;    187.000
1961-06-01;--:--;    180.000
1961-06-02;--:--;    164.000
1961-06-03;--:--;    147.000
1961-06-04;--:--;    135.000
1961-06-05;--:--;    114.000
1961-06-06;--:--;     76.000
1961-06-07;--:--;     72.000
1961-06-08;--:--;     70.000
1961-06-09;--:--;     69.000
1961-06-10;--:--;     84.000
1961-06-11;--:--;     94.000
1961-06-12;--:--;    168.000
1961-06-13;--:--;    196.000
1961-06-14;--:--;    187.000
1961-06-15;--:--;    100.000
1961-06-16;--:--;    171.000
1961-06-17;--:--;    187.000
1961-06-18;--:--;    231.000
1961-06-19;--:--;    207.000
1961-06-20;--:--;    187.000
1961-06-21;--:--;    156.000
1961-06-22;--:--;    122.000
1961-06-23;--:--;    139.000
1961-06-24;--:--;    154.000
1961-06-25;--:--;    182.000
1961-06-26;--:--;    187.000
1961-06-27;--:--;    208.000
1961-06-28;--:--;    259.000
1961-06-29;--:--;    448.000
1961-06-30;--:--;    426.000
1961-07-01;--:--;    383.000
1961-07-02;--:--;    347.000
1961-07-03;--:--;    288.000
1961-07-04;--:--;    227.000
1961-07-05;--:--;    191.000
1961-07-06;--:--;    160.000
1961-07-07;--:--;    232.000
1961-07-08;--:--;    197.000
1961-07-09;--:--;    204.000
1961-07-10;--:--;    200.000
1961-07-11;--:--;    190.000
1961-07-12;--:--;    178.000
1961-07-13;--:--;    192.000
1961-07-14;--:--;    281.000
1961-07-15;--:--;    206.000
1961-07-16;--:--;    241.000
1961-07-17;--:--;    179.000
1961-07-18;--:--;    151.000
1961-07-19;--:--;    127.000
1961-07-20;--:--;    118.000
1961-07-21;--:--;    134.000
1961-07-22;--:--;    121.000
1961-07-23;--:--;    120.000
1961-07-24;--:--;    126.000
1961-07-25;--:--;    127.000
1961-07-26;--:--;    124.000
1961-07-27;--:--;    133.000
1961-07-28;--:--;    206.000
1961-07-29;--:--;    234.000
1961-07-30;--:--;    317.000
1961-07-31;--:--;    285.000
1961-08-01;--:--;    317.000
1961-08-02;--:--;    293.000
1961-08-03;--:--;    273.000
1961-08-04;--:--;    255.000
1961-08-05;--:--;    209.000
1961-08-06;--:--;    208.000
1961-08-07;--:--;    178.000
1961-08-08;--:--;    156.000
1961-08-09;--:--;    124.000
1961-08-10;--:--;    148.000
1961-08-11;--:--;    195.000
1961-08-12;--:--;    221.000
1961-08-13;--:--;    182.000
1961-08-14;--:--;    146.000
1961-08-15;--:--;    156.000
1961-08-16;--:--;    170.000
1961-08-17;--:--;    190.000
1961-08-18;--:--;    229.000
1961-08-19;--:--;    267.000
1961-08-20;--:--;    498.000
1961-08-21;--:--;    501.000
1961-08-22;--:--;    305.000
1961-08-23;--:--;    219.000
1961-08-24;--:--;    126.600
1961-08-25;--:--;    124.900
1961-08-26;--:--;    117.500
1961-08-27;--:--;     99.800
1961-08-28;--:--;     94.170
1961-08-29;--:--;    167.500
1961-08-30;--:--;    145.200
1961-08-31;--:--;    115.700
1961-09-01;--:--;    101.000
1961-09-02;--:--;     94.170
1961-09-03;--:--;     89.050
1961-09-04;--:--;    101.000
1961-09-05;--:--;    160.500
1961-09-06;--:--;    147.600
1961-09-07;--:--;    118.200
1961-09-08;--:--;    103.200
1961-09-09;--:--;     80.690
1961-09-10;--:--;     77.110
1961-09-11;--:--;     74.550
1961-09-12;--:--;     66.190
1961-09-13;--:--;     76.260
1961-09-14;--:--;     71.990
1961-09-15;--:--;     68.750
1961-09-16;--:--;     66.530
1961-09-17;--:--;     71.650
1961-09-18;--:--;     70.800
1961-09-19;--:--;     79.840
1961-09-20;--:--;     89.050
1961-09-21;--:--;     66.190
1961-09-22;--:--;     61.250
1961-09-23;--:--;     57.830
1961-09-24;--:--;     56.980
1961-09-25;--:--;     59.030
1961-09-26;--:--;     54.590
1961-09-27;--:--;     52.540
1961-09-28;--:--;     64.000
1961-09-29;--:--;     71.000
1961-09-30;--:--;     61.000
1961-10-01;--:--;     59.000
1961-10-02;--:--;     49.000
1961-10-03;--:--;     59.000
1961-10-04;--:--;    122.000
1961-10-05;--:--;    222.000
1961-10-06;--:--;    104.000
1961-10-07;--:--;     91.000
1961-10-08;--:--;     87.000
1961-10-09;--:--;     74.000
1961-10-10;--:--;     85.000
1961-10-11;--:--;     66.000
1961-10-12;--:--;    211.000
1961-10-13;--:--;    158.000
1961-10-14;--:--;     95.000
1961-10-15;--:--;     87.000
1961-10-16;--:--;    165.000
1961-10-17;--:--;    119.000
1961-10-18;--:--;    164.000
1961-10-19;--:--;    112.000
1961-10-20;--:--;     88.000
1961-10-21;--:--;     98.000
1961-10-22;--:--;     89.000
1961-10-23;--:--;    111.000
1961-10-24;--:--;    181.000
1961-10-25;--:--;    133.000
1961-10-26;--:--;    105.000
1961-10-27;--:--;    105.000
1961-10-28;--:--;     87.000
1961-10-29;--:--;     94.000
1961-10-30;--:--;    126.000
1961-10-31;--:--;    216.000
1961-11-01;--:--;    167.000
1961-11-02;--:--;    195.000
1961-11-03;--:--;    153.000
1961-11-04;--:--;    120.000
1961-11-05;--:--;    105.000
1961-11-06;--:--;     73.000
1961-11-07;--:--;     96.000
1961-11-08;--:--;    181.000
1961-11-09;--:--;    170.000
1961-11-10;--:--;    127.000
1961-11-11;--:--;    112.000
1961-11-12;--:--;     96.000
1961-11-13;--:--;     89.000
1961-11-14;--:--;     93.000
1961-11-15;--:--;    101.000
1961-11-16;--:--;     98.000
1961-11-17;--:--;     91.000
1961-11-18;--:--;     73.000
1961-11-19;--:--;     92.000
1961-11-20;--:--;    105.000
1961-11-21;--:--;     87.000
1961-11-22;--:--;     98.000
1961-11-23;--:--;     92.000
1961-11-24;--:--;     76.000
1961-11-25;--:--;     65.000
1961-11-26;--:--;     81.000
1961-11-27;--:--;     72.000
1961-11-28;--:--;     59.000
1961-11-29;--:--;     53.000
1961-11-30;--:--;     59.000
1961-12-01;--:--;     85.000
1961-12-02;--:--;     98.000
1961-12-03;--:--;    112.000
1961-12-04;--:--;    109.000
1961-12-05;--:--;     80.000
1961-12-06;--:--;     41.000
1961-12-07;--:--;     47.000
1961-12-08;--:--;     53.000
1961-12-09;--:--;     49.000
1961-12-10;--:--;     41.000
1961-12-11;--:--;     47.000
1961-12-12;--:--;     33.000
1961-12-13;--:--;     32.000
1961-12-14;--:--;     30.000
1961-12-15;--:--;     28.000
1961-12-16;--:--;     32.000
1961-12-17;--:--;     36.000
1961-12-18;--:--;     30.000
1961-12-19;--:--;     29.000
1961-12-20;--:--;     28.000
1961-12-21;--:--;     27.000
1961-12-22;--:--;     26.000
1961-12-23;--:--;     24.000
1961-12-24;--:--;     22.000
1961-12-25;--:--;     25.000
1961-12-26;--:--;     24.000
1961-12-27;--:--;     21.000
1961-12-28;--:--;     21.000
1961-12-29;--:--;     20.000
1961-12-30;--:--;     21.000
