# River:                 RIO LENGUPA
# Station:               SAN AGUSTIN
# Latitude (DD):       4.85
# Longitude (DD):      -73.23

YYYY-MM-DD;Value;month;Value_imputed
1961-03-07;8.8;3;8.8
1961-03-08;8.4;3;8.4
1961-03-09;8.4;3;8.4
1961-03-10;8.4;3;8.4
1961-03-11;8.1;3;8.1
1961-03-12;8.4;3;8.4
1961-03-13;8.6;3;8.6
1961-03-14;8.4;3;8.4
1961-03-15;8.2;3;8.2
1961-03-16;7.9;3;7.9
1961-03-17;8.2;3;8.2
1961-03-18;8.2;3;8.2
1961-03-19;9.0;3;9.0
1961-03-20;9.0;3;9.0
1961-03-21;11.9;3;11.9
1961-03-22;16.5;3;16.5
1961-03-23;18.2;3;18.2
1961-03-24;19.7;3;19.7
1961-03-25;14.2;3;14.2
1961-03-26;43.4;3;43.4
1961-03-27;48.6;3;48.6
1961-03-28;71.0;3;71.0
1961-03-29;28.2;3;28.2
1961-03-30;30.4;3;30.4
1961-03-31;26.1;3;26.1
1961-04-01;45.4;4;45.4
1961-04-02;47.1;4;47.1
1961-04-03;28.6;4;28.6
1961-04-04;21.8;4;21.8
1961-04-05;17.0;4;17.0
1961-04-06;17.7;4;17.7
1961-04-07;17.5;4;17.5
1961-04-08;21.4;4;21.4
1961-04-09;29.9;4;29.9
1961-04-10;29.6;4;29.6
1961-04-11;29.6;4;29.6
1961-04-12;28.2;4;28.2
1961-04-13;29.2;4;29.2
1961-04-14;25.6;4;25.6
1961-04-15;20.9;4;20.9
1961-04-16;52.8;4;52.8
1961-04-17;67.6;4;67.6
1961-04-18;64.9;4;64.9
1961-04-19;49.7;4;49.7
1961-04-20;46.9;4;46.9
1961-04-21;49.4;4;49.4
1961-04-22;94.0;4;94.0
1961-04-23;76.8;4;76.8
1961-04-24;52.3;4;52.3
1961-04-25;55.6;4;55.6
1961-04-26;55.6;4;55.6
1961-04-27;96.7;4;96.7
1961-04-28;78.4;4;78.4
1961-04-29;60.7;4;60.7
1961-04-30;47.4;4;47.4
1961-05-01;49.0;5;49.0
1961-05-02;40.0;5;40.0
1961-05-03;36.0;5;36.0
1961-05-04;33.0;5;33.0
1961-05-05;33.0;5;33.0
1961-05-06;32.0;5;32.0
1961-05-07;41.0;5;41.0
1961-05-08;44.0;5;44.0
1961-05-09;32.0;5;32.0
1961-05-10;28.0;5;28.0
