# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-18
#
# GRDC-No.:              3121100
# River:                 RIO MOCOA
# Station:               PIEDRA LISA
# Country:               CO
# Latitude (DD):       1.2
# Longitude (DD):      -76.63
# Catchment area (km²):      226.0
# Altitude (m ASL):        1200.0
# Next downstream station:      3621400
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     36.000
1978-01-02;--:--;     31.000
1978-01-03;--:--;     24.000
1978-01-04;--:--;     16.000
1978-01-05;--:--;     14.000
1978-01-06;--:--;     14.000
1978-01-07;--:--;     12.000
1978-01-08;--:--;     12.000
1978-01-09;--:--;      9.000
1978-01-10;--:--;     16.000
1978-01-11;--:--;     16.000
1978-01-12;--:--;     16.000
1978-01-13;--:--;     15.000
1978-01-14;--:--;     12.000
1978-01-15;--:--;     12.000
1978-01-16;--:--;      9.000
1978-01-17;--:--;     25.000
1978-01-18;--:--;     13.000
1978-01-19;--:--;     11.000
1978-01-20;--:--;     10.000
1978-01-21;--:--;     10.000
1978-01-22;--:--;     15.000
1978-01-23;--:--;     33.000
1978-01-24;--:--;     73.000
1978-01-25;--:--;     68.000
1978-01-26;--:--;     36.000
1978-01-27;--:--;     98.000
1978-01-28;--:--;     42.000
1978-01-29;--:--;    137.000
1978-01-30;--:--;    106.000
1978-01-31;--:--;     65.000
1978-02-01;--:--;     65.000
1978-02-02;--:--;    118.000
1978-02-03;--:--;     50.000
1978-02-04;--:--;     36.000
1978-02-05;--:--;     30.000
1978-02-06;--:--;     28.000
1978-02-07;--:--;     23.000
1978-02-08;--:--;     20.000
1978-02-09;--:--;     18.000
1978-02-10;--:--;     21.000
1978-02-11;--:--;     19.000
1978-02-12;--:--;     14.000
1978-02-13;--:--;     12.000
1978-02-14;--:--;     11.000
1978-02-15;--:--;      9.000
1978-02-16;--:--;      9.000
1978-02-17;--:--;     10.000
1978-02-18;--:--;     42.000
1978-02-19;--:--;     22.000
1978-02-20;--:--;     13.000
1978-02-21;--:--;      9.000
1978-02-22;--:--;      8.000
1978-02-23;--:--;     20.000
1978-02-24;--:--;     12.000
1978-02-25;--:--;      9.000
1978-02-26;--:--;      8.000
1978-02-27;--:--;      7.000
1978-02-28;--:--;      8.000
1978-03-01;--:--;     12.000
1978-03-02;--:--;     14.000
1978-03-03;--:--;     12.000
1978-03-04;--:--;      9.000
1978-03-05;--:--;      9.000
1978-03-06;--:--;      9.000
1978-03-07;--:--;     12.000
1978-03-08;--:--;     12.000
1978-03-09;--:--;      9.000
1978-03-10;--:--;      9.000
1978-03-11;--:--;     14.000
1978-03-12;--:--;     10.000
1978-03-13;--:--;      8.000
1978-03-14;--:--;      8.000
1978-03-15;--:--;      8.000
1978-03-16;--:--;     30.000
1978-03-17;--:--;    198.000
1978-03-18;--:--;    239.000
1978-03-19;--:--;     98.000
1978-03-20;--:--;     92.000
1978-03-21;--:--;    113.000
1978-03-22;--:--;    267.000
1978-03-23;--:--;     93.000
1978-03-24;--:--;     94.000
1978-03-25;--:--;     77.000
1978-03-26;--:--;     84.000
1978-03-27;--:--;     61.000
1978-03-28;--:--;     99.000
1978-03-29;--:--;     77.000
1978-03-30;--:--;     69.000
1978-03-31;--:--;     61.000
1978-04-01;--:--;     61.000
1978-04-02;--:--;     67.000
1978-04-03;--:--;     71.000
1978-04-04;--:--;     62.000
1978-04-05;--:--;     55.000
1978-04-06;--:--;     59.000
1978-04-07;--:--;    330.000
1978-04-08;--:--;    226.000
1978-04-09;--:--;    226.000
1978-04-10;--:--;    226.000
1978-04-11;--:--;    321.000
1978-04-12;--:--;    226.000
1978-04-13;--:--;    208.000
1978-04-14;--:--;    187.000
1978-04-15;--:--;    158.000
1978-04-16;--:--;    133.000
1978-04-17;--:--;    110.000
1978-04-18;--:--;     44.000
1978-04-19;--:--;     26.000
1978-04-20;--:--;     20.000
1978-04-21;--:--;     21.000
1978-04-22;--:--;     25.000
1978-04-23;--:--;     32.000
1978-04-24;--:--;     20.000
1978-04-25;--:--;     18.000
1978-04-26;--:--;     51.000
1978-04-27;--:--;     38.000
1978-04-28;--:--;    105.000
1978-04-29;--:--;     41.000
1978-04-30;--:--;     37.000
1978-05-01;--:--;     39.000
1978-05-02;--:--;     55.000
1978-05-03;--:--;     29.000
1978-05-04;--:--;     22.000
1978-05-05;--:--;     17.000
1978-05-06;--:--;     17.000
1978-05-07;--:--;     46.000
1978-05-08;--:--;     40.000
1978-05-09;--:--;     28.000
1978-05-10;--:--;     19.000
1978-05-11;--:--;     16.000
1978-05-12;--:--;     54.000
1978-05-13;--:--;     31.000
1978-05-14;--:--;     53.000
1978-05-15;--:--;     40.000
1978-05-16;--:--;     54.000
1978-05-17;--:--;    108.000
1978-05-18;--:--;    176.000
1978-05-19;--:--;     54.000
1978-05-20;--:--;     33.000
1978-05-21;--:--;     38.000
1978-05-22;--:--;     48.000
1978-05-23;--:--;     29.000
1978-05-24;--:--;     24.000
1978-05-25;--:--;     27.000
1978-05-26;--:--;     21.000
1978-05-27;--:--;     30.000
1978-05-28;--:--;     49.000
1978-05-29;--:--;     20.000
1978-05-30;--:--;     14.000
1978-05-31;--:--;     11.000
1978-06-01;--:--;      9.000
1978-06-02;--:--;     23.000
1978-06-03;--:--;     10.000
1978-06-04;--:--;     62.000
1978-06-05;--:--;     66.000
1978-06-06;--:--;    171.000
1978-06-07;--:--;     76.000
1978-06-08;--:--;     47.000
1978-06-09;--:--;     37.000
1978-06-10;--:--;     39.000
1978-06-11;--:--;     37.000
1978-06-12;--:--;     33.000
1978-06-13;--:--;     76.000
1978-06-14;--:--;     81.000
1978-06-15;--:--;    239.000
1978-06-16;--:--;     58.000
1978-06-17;--:--;     47.000
1978-06-18;--:--;     97.000
1978-06-19;--:--;    134.000
1978-06-20;--:--;     87.000
1978-06-21;--:--;     65.000
1978-06-22;--:--;    132.000
1978-06-23;--:--;    137.000
1978-06-24;--:--;    106.000
1978-06-25;--:--;     67.000
1978-06-26;--:--;     64.000
1978-06-27;--:--;     51.000
1978-06-28;--:--;     53.000
1978-06-29;--:--;     48.000
1978-06-30;--:--;     52.000
1978-07-01;--:--;     72.000
1978-07-02;--:--;    100.000
1978-07-03;--:--;     62.000
1978-07-04;--:--;     62.000
1978-07-05;--:--;     75.000
1978-07-06;--:--;    127.000
1978-07-07;--:--;    126.000
1978-07-08;--:--;     91.000
