# River:                 RIO MOCOA
# Station:               PIEDRA LISA
# Latitude (DD):       1.2
# Longitude (DD):      -76.63

YYYY-MM-DD;Value;month;Value_imputed
1978-01-01;36.0;1;36.0
1978-01-02;31.0;1;31.0
1978-01-03;24.0;1;24.0
1978-01-04;16.0;1;16.0
1978-01-05;14.0;1;14.0
1978-01-06;14.0;1;14.0
1978-01-07;12.0;1;12.0
1978-01-08;12.0;1;12.0
1978-01-09;9.0;1;9.0
1978-01-10;16.0;1;16.0
1978-01-11;16.0;1;16.0
1978-01-12;16.0;1;16.0
1978-01-13;15.0;1;15.0
1978-01-14;12.0;1;12.0
1978-01-15;12.0;1;12.0
1978-01-16;9.0;1;9.0
1978-01-17;25.0;1;25.0
1978-01-18;13.0;1;13.0
1978-01-19;11.0;1;11.0
1978-01-20;10.0;1;10.0
1978-01-21;10.0;1;10.0
1978-01-22;15.0;1;15.0
1978-01-23;33.0;1;33.0
1978-01-24;73.0;1;73.0
1978-01-25;68.0;1;68.0
1978-01-26;36.0;1;36.0
1978-01-27;98.0;1;98.0
1978-01-28;42.0;1;42.0
1978-01-29;137.0;1;137.0
1978-01-30;106.0;1;106.0
1978-01-31;65.0;1;65.0
1978-02-01;65.0;2;65.0
1978-02-02;118.0;2;118.0
1978-02-03;50.0;2;50.0
1978-02-04;36.0;2;36.0
1978-02-05;30.0;2;30.0
1978-02-06;28.0;2;28.0
1978-02-07;23.0;2;23.0
1978-02-08;20.0;2;20.0
1978-02-09;18.0;2;18.0
1978-02-10;21.0;2;21.0
1978-02-11;19.0;2;19.0
1978-02-12;14.0;2;14.0
1978-02-13;12.0;2;12.0
1978-02-14;11.0;2;11.0
1978-02-15;9.0;2;9.0
1978-02-16;9.0;2;9.0
1978-02-17;10.0;2;10.0
1978-02-18;42.0;2;42.0
1978-02-19;22.0;2;22.0
1978-02-20;13.0;2;13.0
1978-02-21;9.0;2;9.0
1978-02-22;8.0;2;8.0
1978-02-23;20.0;2;20.0
1978-02-24;12.0;2;12.0
1978-02-25;9.0;2;9.0
1978-02-26;8.0;2;8.0
1978-02-27;7.0;2;7.0
1978-02-28;8.0;2;8.0
1978-03-01;12.0;3;12.0
1978-03-02;14.0;3;14.0
1978-03-03;12.0;3;12.0
1978-03-04;9.0;3;9.0
1978-03-05;9.0;3;9.0
1978-03-06;9.0;3;9.0
1978-03-07;12.0;3;12.0
1978-03-08;12.0;3;12.0
1978-03-09;9.0;3;9.0
1978-03-10;9.0;3;9.0
1978-03-11;14.0;3;14.0
1978-03-12;10.0;3;10.0
1978-03-13;8.0;3;8.0
1978-03-14;8.0;3;8.0
1978-03-15;8.0;3;8.0
1978-03-16;30.0;3;30.0
1978-03-17;198.0;3;198.0
1978-03-18;239.0;3;239.0
1978-03-19;98.0;3;98.0
1978-03-20;92.0;3;92.0
1978-03-21;113.0;3;113.0
1978-03-22;267.0;3;267.0
1978-03-23;93.0;3;93.0
1978-03-24;94.0;3;94.0
1978-03-25;77.0;3;77.0
1978-03-26;84.0;3;84.0
1978-03-27;61.0;3;61.0
1978-03-28;99.0;3;99.0
1978-03-29;77.0;3;77.0
1978-03-30;69.0;3;69.0
1978-03-31;61.0;3;61.0
1978-04-01;61.0;4;61.0
1978-04-02;67.0;4;67.0
1978-04-03;71.0;4;71.0
1978-04-04;62.0;4;62.0
1978-04-05;55.0;4;55.0
1978-04-06;59.0;4;59.0
1978-04-07;330.0;4;330.0
1978-04-08;226.0;4;226.0
1978-04-09;226.0;4;226.0
1978-04-10;226.0;4;226.0
1978-04-11;321.0;4;321.0
1978-04-12;226.0;4;226.0
1978-04-13;208.0;4;208.0
1978-04-14;187.0;4;187.0
1978-04-15;158.0;4;158.0
1978-04-16;133.0;4;133.0
1978-04-17;110.0;4;110.0
1978-04-18;44.0;4;44.0
1978-04-19;26.0;4;26.0
1978-04-20;20.0;4;20.0
1978-04-21;21.0;4;21.0
1978-04-22;25.0;4;25.0
1978-04-23;32.0;4;32.0
1978-04-24;20.0;4;20.0
1978-04-25;18.0;4;18.0
1978-04-26;51.0;4;51.0
1978-04-27;38.0;4;38.0
1978-04-28;105.0;4;105.0
1978-04-29;41.0;4;41.0
1978-04-30;37.0;4;37.0
1978-05-01;39.0;5;39.0
1978-05-02;55.0;5;55.0
1978-05-03;29.0;5;29.0
1978-05-04;22.0;5;22.0
1978-05-05;17.0;5;17.0
1978-05-06;17.0;5;17.0
1978-05-07;46.0;5;46.0
1978-05-08;40.0;5;40.0
1978-05-09;28.0;5;28.0
1978-05-10;19.0;5;19.0
1978-05-11;16.0;5;16.0
1978-05-12;54.0;5;54.0
1978-05-13;31.0;5;31.0
1978-05-14;53.0;5;53.0
1978-05-15;40.0;5;40.0
1978-05-16;54.0;5;54.0
1978-05-17;108.0;5;108.0
1978-05-18;176.0;5;176.0
1978-05-19;54.0;5;54.0
1978-05-20;33.0;5;33.0
1978-05-21;38.0;5;38.0
1978-05-22;48.0;5;48.0
1978-05-23;29.0;5;29.0
1978-05-24;24.0;5;24.0
1978-05-25;27.0;5;27.0
1978-05-26;21.0;5;21.0
1978-05-27;30.0;5;30.0
1978-05-28;49.0;5;49.0
1978-05-29;20.0;5;20.0
1978-05-30;14.0;5;14.0
1978-05-31;11.0;5;11.0
1978-06-01;9.0;6;9.0
1978-06-02;23.0;6;23.0
1978-06-03;10.0;6;10.0
1978-06-04;62.0;6;62.0
1978-06-05;66.0;6;66.0
1978-06-06;171.0;6;171.0
1978-06-07;76.0;6;76.0
1978-06-08;47.0;6;47.0
1978-06-09;37.0;6;37.0
1978-06-10;39.0;6;39.0
1978-06-11;37.0;6;37.0
1978-06-12;33.0;6;33.0
1978-06-13;76.0;6;76.0
