# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-18
#
# GRDC-No.:              3121190
# River:                 RIO HACHA
# Station:               FLORENCIA
# Country:               CO
# Latitude (DD):       1.6
# Longitude (DD):      -75.6
# Catchment area (km²):      400.0
# Altitude (m ASL):        270.0
# Next downstream station:      3121200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     20.000
1978-01-02;--:--;     19.000
1978-01-03;--:--;     19.000
1978-01-04;--:--;     18.000
1978-01-05;--:--;     16.000
1978-01-06;--:--;     15.000
1978-01-07;--:--;     15.000
1978-01-08;--:--;     15.000
1978-01-09;--:--;     15.000
1978-01-10;--:--;     15.000
1978-01-11;--:--;     14.000
1978-01-12;--:--;     14.000
1978-01-13;--:--;     13.000
1978-01-14;--:--;     13.000
1978-01-15;--:--;     14.000
1978-01-16;--:--;     14.000
1978-01-17;--:--;     14.000
1978-01-18;--:--;     13.000
1978-01-19;--:--;     13.000
1978-01-20;--:--;     13.000
1978-01-21;--:--;     13.000
1978-01-22;--:--;     13.000
1978-01-23;--:--;     14.000
1978-01-24;--:--;     14.000
1978-01-25;--:--;     15.000
1978-01-26;--:--;     14.000
1978-01-27;--:--;     15.000
1978-01-28;--:--;     15.000
1978-01-29;--:--;     40.000
1978-01-30;--:--;     26.000
1978-01-31;--:--;     27.000
1978-02-01;--:--;     21.000
1978-02-02;--:--;     23.000
1978-02-03;--:--;     19.000
1978-02-04;--:--;     19.000
1978-02-05;--:--;     19.000
1978-02-06;--:--;     19.000
1978-02-07;--:--;     19.000
1978-02-08;--:--;     32.000
1978-02-09;--:--;     20.000
1978-02-10;--:--;     19.000
1978-02-11;--:--;     22.000
1978-02-12;--:--;     18.000
1978-02-13;--:--;     18.000
1978-02-14;--:--;     18.000
1978-02-15;--:--;     17.000
1978-02-16;--:--;     17.000
1978-02-17;--:--;     17.000
1978-02-18;--:--;     16.000
1978-02-19;--:--;     14.000
1978-02-20;--:--;     14.000
1978-02-21;--:--;     13.000
1978-02-22;--:--;     12.000
1978-02-23;--:--;     14.000
1978-02-24;--:--;     14.000
1978-02-25;--:--;     13.000
1978-02-26;--:--;     13.000
1978-02-27;--:--;     13.000
