# River:                 RIO ORTEGUAZA
# Station:               LARANDIA
# Latitude (DD):       1.47
# Longitude (DD):      -75.48

YYYY-MM-DD;Value;month;Value_imputed
1971-04-01;139.3;4;139.3
1971-04-02;192.2;4;192.2
1971-04-03;164.7;4;164.7
1971-04-04;150.7;4;150.7
1971-04-05;116.5;4;116.5
1971-04-06;114.1;4;114.1
1971-04-07;100.3;4;100.3
1971-04-08;105.5;4;105.5
1971-04-09;103.7;4;103.7
1971-04-10;104.6;4;104.6
1971-04-11;94.4;4;94.4
1971-04-12;101.5;4;101.5
1971-04-13;95.2;4;95.2
1971-04-14;96.2;4;96.2
1971-04-15;110.0;4;110.0
1971-04-16;91.9;4;91.9
1971-04-17;91.9;4;91.9
1971-04-18;118.1;4;118.1
1971-04-19;215.3;4;215.3
1971-04-20;126.7;4;126.7
1971-04-21;102.5;4;102.5
1971-04-22;93.9;4;93.9
1971-04-23;131.4;4;131.4
1971-04-24;237.5;4;237.5
1971-04-25;172.5;4;172.5
1971-04-26;281.3;4;281.3
1971-04-27;277.4;4;277.4
1971-04-28;176.9;4;176.9
1971-04-29;145.7;4;145.7
1971-04-30;130.9;4;130.9
1971-05-01;138.7;5;138.7
1971-05-02;140.8;5;140.8
1971-05-03;129.3;5;129.3
1971-05-04;123.7;5;123.7
1971-05-05;112.5;5;112.5
1971-05-06;260.8;5;260.8
1971-05-07;155.8;5;155.8
1971-05-08;150.7;5;150.7
1971-05-09;170.7;5;170.7
1971-05-10;167.3;5;167.3
1971-05-11;285.4;5;285.4
1971-05-12;358.2;5;358.2
1971-05-13;233.2;5;233.2
1971-05-14;179.3;5;179.3
1971-05-15;165.9;5;165.9
1971-05-16;270.7;5;270.7
1971-05-17;185.3;5;185.3
1971-05-18;172.3;5;172.3
1971-05-19;284.7;5;284.7
1971-05-20;463.6;5;463.6
1971-05-21;356.1;5;356.1
1971-05-22;218.2;5;218.2
1971-05-23;195.6;5;195.6
1971-05-24;174.9;5;174.9
1971-05-25;167.8;5;167.8
1971-05-26;186.9;5;186.9
1971-05-27;180.0;5;180.0
1971-05-28;163.2;5;163.2
1971-05-29;285.4;5;285.4
1971-05-30;329.2;5;329.2
1971-05-31;344.6;5;344.6
1971-06-01;219.6;6;219.6
1971-06-02;188.9;6;188.9
1971-06-03;181.2;6;181.2
1971-06-04;174.2;6;174.2
1971-06-05;222.5;6;222.5
1971-06-06;193.3;6;193.3
1971-06-07;221.5;6;221.5
1971-06-08;181.3;6;181.3
1971-06-09;157.4;6;157.4
1971-06-10;140.0;6;140.0
1971-06-11;134.9;6;134.9
1971-06-12;215.5;6;215.5
1971-06-13;155.2;6;155.2
1971-06-14;138.0;6;138.0
1971-06-15;167.8;6;167.8
1971-06-16;178.5;6;178.5
1971-06-17;148.4;6;148.4
1971-06-18;144.0;6;144.0
1971-06-19;149.6;6;149.6
1971-06-20;125.7;6;125.7
1971-06-21;118.0;6;118.0
1971-06-22;115.6;6;115.6
1971-06-23;116.2;6;116.2
1971-06-24;513.6;6;513.6
1971-06-25;351.6;6;351.6
1971-06-26;209.9;6;209.9
1971-06-27;189.4;6;189.4
1971-06-28;209.6;6;209.6
1971-06-29;305.5;6;305.5
1971-06-30;215.4;6;215.4
1971-07-01;189.5;7;189.5
1971-07-02;169.1;7;169.1
1971-07-03;160.4;7;160.4
1971-07-04;185.2;7;185.2
1971-07-05;156.2;7;156.2
1971-07-06;141.2;7;141.2
1971-07-07;375.1;7;375.1
1971-07-08;624.8;7;624.8
1971-07-09;428.4;7;428.4
1971-07-10;423.9;7;423.9
1971-07-11;377.4;7;377.4
1971-07-12;313.5;7;313.5
1971-07-13;314.6;7;314.6
1971-07-14;428.3;7;428.3
1971-07-15;452.2;7;452.2
1971-07-16;304.0;7;304.0
1971-07-17;275.4;7;275.4
1971-07-18;232.9;7;232.9
1971-07-19;212.4;7;212.4
1971-07-20;203.0;7;203.0
1971-07-21;227.9;7;227.9
1971-07-22;161.0;7;161.0
1971-07-23;212.9;7;212.9
1971-07-24;230.1;7;230.1
1971-07-25;187.0;7;187.0
1971-07-26;237.3;7;237.3
1971-07-27;182.3;7;182.3
1971-07-28;247.2;7;247.2
1971-07-29;192.4;7;192.4
1971-07-30;167.2;7;167.2
1971-07-31;178.6;7;178.6
1971-08-01;238.6;8;238.6
1971-08-02;320.3;8;320.3
1971-08-03;173.6;8;173.6
1971-08-04;175.5;8;175.5
1971-08-05;220.9;8;220.9
1971-08-06;169.9;8;169.9
1971-08-07;150.2;8;150.2
1971-08-08;199.6;8;199.6
1971-08-09;171.9;8;171.9
1971-08-10;162.6;8;162.6
1971-08-11;173.0;8;173.0
1971-08-12;139.0;8;139.0
1971-08-13;129.8;8;129.8
1971-08-14;164.9;8;164.9
1971-08-15;197.6;8;197.6
1971-08-16;156.8;8;156.8
1971-08-17;182.0;8;182.0
1971-08-18;153.2;8;153.2
1971-08-19;131.3;8;131.3
1971-08-20;60.0;8;60.0
1971-08-21;95.1;8;95.1
1971-08-22;60.3;8;60.3
1971-08-23;96.2;8;96.2
1971-08-24;140.8;8;140.8
1971-08-25;201.9;8;201.9
1971-08-26;231.1;8;231.1
1971-08-27;141.6;8;141.6
1971-08-28;132.3;8;132.3
1971-08-29;129.8;8;129.8
1971-08-30;176.1;8;176.1
1971-08-31;171.2;8;171.2
1971-09-01;135.9;9;135.9
1971-09-02;284.7;9;284.7
1971-09-03;300.8;9;300.8
1971-09-04;172.3;9;172.3
1971-09-05;155.0;9;155.0
1971-09-06;130.3;9;130.3
1971-09-07;133.9;9;133.9
1971-09-08;145.2;9;145.2
1971-09-09;212.0;9;212.0
1971-09-10;135.1;9;135.1
1971-09-11;126.7;9;126.7
1971-09-12;183.3;9;183.3
1971-09-13;220.4;9;220.4
1971-09-14;146.0;9;146.0
1971-09-15;122.1;9;122.1
1971-09-16;135.3;9;135.3
1971-09-17;187.5;9;187.5
1971-09-18;119.1;9;119.1
1971-09-19;128.2;9;128.2
1971-09-20;128.2;9;128.2
1971-09-21;293.7;9;293.7
1971-09-22;190.8;9;190.8
1971-09-23;152.6;9;152.6
1971-09-24;144.5;9;144.5
1971-09-25;121.2;9;121.2
1971-09-26;121.0;9;121.0
1971-09-27;130.3;9;130.3
1971-09-28;123.6;9;123.6
1971-09-29;116.6;9;116.6
1971-09-30;205.7;9;205.7
1971-10-01;134.6;10;134.6
1971-10-02;118.6;10;118.6
1971-10-03;136.7;10;136.7
1971-10-04;119.5;10;119.5
1971-10-05;143.0;10;143.0
1971-10-06;146.0;10;146.0
1971-10-07;123.2;10;123.2
1971-10-08;112.2;10;112.2
1971-10-09;117.1;10;117.1
1971-10-10;124.6;10;124.6
1971-10-11;155.2;10;155.2
1971-10-12;113.2;10;113.2
1971-10-13;125.7;10;125.7
1971-10-14;176.6;10;176.6
1971-10-15;156.4;10;156.4
1971-10-16;129.8;10;129.8
1971-10-17;173.0;10;173.0
1971-10-18;170.0;10;170.0
1971-10-19;277.4;10;277.4
1971-10-20;215.6;10;215.6
1971-10-21;149.6;10;149.6
1971-10-22;133.9;10;133.9
1971-10-23;136.1;10;136.1
1971-10-24;151.1;10;151.1
1971-10-25;122.6;10;122.6
1971-10-26;125.2;10;125.2
1971-10-27;115.7;10;115.7
1971-10-28;115.1;10;115.1
1971-10-29;154.6;10;154.6
1971-10-30;124.8;10;124.8
1971-10-31;114.2;10;114.2
1971-11-01;193.6;11;193.6
1971-11-02;162.1;11;162.1
1971-11-03;141.8;11;141.8
1971-11-04;122.1;11;122.1
1971-11-05;127.2;11;127.2
1971-11-06;119.8;11;119.8
1971-11-07;209.9;11;209.9
1971-11-08;150.7;11;150.7
1971-11-09;168.6;11;168.6
1971-11-10;150.2;11;150.2
1971-11-11;130.3;11;130.3
1971-11-12;116.6;11;116.6
1971-11-13;119.5;11;119.5
1971-11-14;134.2;11;134.2
1971-11-15;260.6;11;260.6
1971-11-16;144.9;11;144.9
1971-11-17;117.1;11;117.1
1971-11-18;141.4;11;141.4
1971-11-19;112.7;11;112.7
1971-11-20;116.7;11;116.7
1971-11-21;109.8;11;109.8
1971-11-22;115.4;11;115.4
1971-11-23;115.4;11;115.4
