# River:                 RIO TAMANA
# Station:               MAMPI
# Latitude (DD):       4.95
# Longitude (DD):      -76.62

YYYY-MM-DD;Value;month;Value_imputed
1973-09-01;531.4;9;531.4
1973-09-02;705.0;9;705.0
1973-09-03;691.0;9;691.0
1973-09-04;691.0;9;691.0
1973-09-05;701.0;9;701.0
1973-09-06;712.0;9;712.0
1973-09-07;395.0;9;395.0
1973-09-08;284.0;9;284.0
1973-09-09;324.0;9;324.0
1973-09-10;1480.0;9;1480.0
1973-09-11;870.5;9;870.5
1973-09-12;261.0;9;261.0
1973-09-13;852.0;9;852.0
1973-09-14;284.0;9;284.0
1973-09-15;246.0;9;246.0
1973-09-16;515.0;9;515.0
1973-09-17;784.0;9;784.0
1973-09-18;254.0;9;254.0
1973-09-19;281.0;9;281.0
1973-09-20;308.0;9;308.0
1973-09-21;1190.0;9;1190.0
1973-09-22;428.0;9;428.0
1973-09-23;523.0;9;523.0
1973-09-24;618.0;9;618.0
1973-09-25;165.0;9;165.0
1973-09-26;215.0;9;215.0
1973-09-27;308.0;9;308.0
1973-09-28;834.0;9;834.0
1973-09-29;301.0;9;301.0
1973-09-30;230.0;9;230.0
1973-10-01;249.0;10;249.0
1973-10-02;737.0;10;737.0
1973-10-03;188.0;10;188.0
1973-10-04;1728.0;10;1728.0
1973-10-05;635.0;10;635.0
1973-10-06;449.0;10;449.0
1973-10-07;263.0;10;263.0
1973-10-08;231.0;10;231.0
1973-10-09;199.0;10;199.0
1973-10-10;308.0;10;308.0
1973-10-11;125.0;10;125.0
1973-10-12;132.0;10;132.0
1973-10-13;745.0;10;745.0
1973-10-14;112.0;10;112.0
1973-10-15;122.0;10;122.0
1973-10-16;132.0;10;132.0
1973-10-17;1373.0;10;1373.0
1973-10-18;784.0;10;784.0
1973-10-19;951.0;10;951.0
1973-10-20;184.0;10;184.0
1973-10-21;1941.0;10;1941.0
1973-10-22;1328.0;10;1328.0
1973-10-23;715.0;10;715.0
1973-10-24;512.0;10;512.0
1973-10-25;1668.0;10;1668.0
1973-10-26;1623.0;10;1623.0
1973-10-27;230.0;10;230.0
1973-10-28;1728.0;10;1728.0
1973-10-29;1318.0;10;1318.0
1973-10-30;1787.0;10;1787.0
1973-10-31;269.0;10;269.0
1973-11-01;987.0;11;987.0
1973-11-02;1621.0;11;1621.0
1973-11-03;834.0;11;834.0
1973-11-04;1247.0;11;1247.0
1973-11-05;1728.0;11;1728.0
1973-11-06;585.0;11;585.0
1973-11-07;570.0;11;570.0
1973-11-08;555.0;11;555.0
1973-11-09;1728.0;11;1728.0
1973-11-10;1213.0;11;1213.0
1973-11-11;532.0;11;532.0
1973-11-12;641.0;11;641.0
1973-11-13;750.0;11;750.0
1973-11-14;1514.0;11;1514.0
1973-11-15;2382.0;11;2382.0
1973-11-16;1260.0;11;1260.0
1973-11-17;2375.0;11;2375.0
1973-11-18;1430.0;11;1430.0
1973-11-19;653.0;11;653.0
1973-11-20;653.0;11;653.0
1973-11-21;619.0;11;619.0
1973-11-22;585.0;11;585.0
1973-11-23;630.0;11;630.0
1973-11-24;216.0;11;216.0
1973-11-25;577.0;11;577.0
1973-11-26;208.0;11;208.0
1973-11-27;574.0;11;574.0
1973-11-28;269.0;11;269.0
1973-11-29;698.0;11;698.0
1973-11-30;1654.0;11;1654.0
1973-12-01;532.0;12;532.0
1973-12-02;529.0;12;529.0
1973-12-03;184.0;12;184.0
1973-12-04;1409.0;12;1409.0
1973-12-05;535.0;12;535.0
1973-12-06;552.0;12;552.0
1973-12-07;398.0;12;398.0
1973-12-08;585.0;12;585.0
1973-12-09;890.0;12;890.0
1973-12-10;848.0;12;848.0
1973-12-11;560.0;12;560.0
1973-12-12;191.0;12;191.0
1973-12-13;1450.0;12;1450.0
1973-12-14;698.0;12;698.0
1973-12-15;194.0;12;194.0
1973-12-16;217.0;12;217.0
1973-12-17;550.0;12;550.0
1973-12-18;263.0;12;263.0
1973-12-19;222.0;12;222.0
1973-12-20;835.0;12;835.0
1973-12-21;186.0;12;186.0
1973-12-22;241.0;12;241.0
1973-12-23;208.0;12;208.0
1973-12-24;708.0;12;708.0
1973-12-25;459.5;12;459.5
1973-12-26;211.0;12;211.0
1973-12-27;199.0;12;199.0
1973-12-28;182.1;12;182.1
1973-12-29;154.7;12;154.7
1973-12-30;489.4;12;489.4
1973-12-31;489.4;12;489.4
1974-01-01;-999.000;1;103.0
1974-01-02;-999.000;1;318.0
1974-01-03;-999.000;1;227.8
1974-01-04;-999.000;1;250.9
1974-01-05;-999.000;1;333.0
1974-01-06;-999.000;1;391.0
1974-01-07;-999.000;1;187.0
1974-01-08;-999.000;1;467.0
1974-01-09;-999.000;1;645.1
1974-01-10;-999.000;1;96.4
1974-01-11;-999.000;1;273.0
1974-01-12;-999.000;1;382.5
1974-01-13;-999.000;1;174.0
1974-01-14;-999.000;1;415.0
1974-01-15;-999.000;1;188.1
1974-01-16;-999.000;1;271.0
1974-01-17;-999.000;1;369.0
1974-01-18;-999.000;1;695.0
1974-01-19;-999.000;1;157.0
1974-01-20;-999.000;1;247.8
1974-01-21;-999.000;1;293.8
1974-01-22;-999.000;1;233.0
1974-01-23;-999.000;1;172.0
1974-01-24;-999.000;1;457.8
1974-01-25;-999.000;1;206.0
1974-01-26;-999.000;1;394.0
1974-01-27;-999.000;1;613.0
1974-01-28;-999.000;1;85.6
1974-01-29;-999.000;1;322.0
1974-01-30;-999.000;1;318.0
1974-01-31;-999.000;1;85.6
1974-02-01;-999.000;2;242.4
1974-02-02;-999.000;2;290.3
1974-02-03;-999.000;2;225.0
1974-02-04;-999.000;2;439.0
1974-02-05;-999.000;2;104.7
1974-02-06;-999.000;2;174.0
1974-02-07;-999.000;2;184.0
1974-02-08;-999.000;2;191.0
1974-02-09;-999.000;2;283.0
1974-02-10;-999.000;2;259.0
1974-02-11;-999.000;2;317.0
1974-02-12;-999.000;2;270.0
1974-02-13;-999.000;2;165.0
1974-02-14;-999.000;2;490.0
1974-02-15;-999.000;2;188.0
1974-02-16;-999.000;2;239.0
1974-02-17;-999.000;2;128.6
1974-02-18;-999.000;2;433.0
1974-02-19;-999.000;2;219.0
1974-02-20;-999.000;2;329.8
1974-02-21;-999.000;2;277.0
1974-02-22;-999.000;2;326.4
1974-02-23;-999.000;2;469.0
1974-02-24;-999.000;2;306.0
1974-02-25;-999.000;2;219.0
1974-02-26;-999.000;2;270.3
1974-02-27;-999.000;2;115.3
1974-02-28;-999.000;2;207.4
1974-03-01;509.0;3;509.0
1974-03-02;532.0;3;532.0
1974-03-03;99.3;3;99.3
1974-03-04;194.0;3;194.0
1974-03-05;184.0;3;184.0
1974-03-06;112.8;3;112.8
1974-03-07;425.4;3;425.4
1974-03-08;738.0;3;738.0
1974-03-09;102.3;3;102.3
1974-03-10;527.0;3;527.0
1974-03-11;522.0;3;522.0
1974-03-12;745.0;3;745.0
1974-03-13;425.0;3;425.0
1974-03-14;104.9;3;104.9
1974-03-15;110.6;3;110.6
1974-03-16;116.3;3;116.3
1974-03-17;98.7;3;98.7
1974-03-18;535.0;3;535.0
1974-03-19;319.2;3;319.2
1974-03-20;103.5;3;103.5
1974-03-21;547.0;3;547.0
1974-03-22;237.0;3;237.0
1974-03-23;576.0;3;576.0
1974-03-24;104.1;3;104.1
1974-03-25;111.8;3;111.8
1974-03-26;96.0;3;96.0
1974-03-27;578.0;3;578.0
1974-03-28;107.7;3;107.7
1974-03-29;535.0;3;535.0
1974-03-30;118.4;3;118.4
1974-03-31;98.7;3;98.7
1974-04-01;522.0;4;522.0
1974-04-02;98.4;4;98.4
1974-04-03;268.0;4;268.0
1974-04-04;117.2;4;117.2
1974-04-05;105.2;4;105.2
1974-04-06;98.7;4;98.7
1974-04-07;545.0;4;545.0
1974-04-08;334.0;4;334.0
1974-04-09;123.0;4;123.0
1974-04-10;749.0;4;749.0
1974-04-11;118.8;4;118.8
1974-04-12;329.4;4;329.4
1974-04-13;540.0;4;540.0
1974-04-14;105.5;4;105.5
1974-04-15;120.8;4;120.8
1974-04-16;136.0;4;136.0
1974-04-17;547.0;4;547.0
1974-04-18;118.4;4;118.4
1974-04-19;155.0;4;155.0
1974-04-20;559.0;4;559.0
1974-04-21;457.3;4;457.3
1974-04-22;355.7;4;355.7
1974-04-23;254.0;4;254.0
1974-04-24;307.4;4;307.4
1974-04-25;207.0;4;207.0
1974-04-26;110.5;4;110.5
1974-04-27;111.2;4;111.2
1974-04-28;112.0;4;112.0
1974-04-29;107.3;4;107.3
