# River:                 RIO SAN JUAN
# Station:               PENITAS
# Latitude (DD):       4.21458
# Longitude (DD):      -77.26042

YYYY-MM-DD;Value;month;Value_imputed
1969-03-01;1590.0;3;1590.0
1969-03-02;2030.0;3;2030.0
1969-03-03;2660.0;3;2660.0
1969-03-04;2330.0;3;2330.0
1969-03-05;2300.0;3;2300.0
1969-03-06;1940.0;3;1940.0
1969-03-07;1960.0;3;1960.0
1969-03-08;1610.0;3;1610.0
1969-03-09;1360.0;3;1360.0
1969-03-10;1090.0;3;1090.0
1969-03-11;1020.0;3;1020.0
1969-03-12;1360.0;3;1360.0
1969-03-13;1920.0;3;1920.0
1969-03-14;2260.0;3;2260.0
1969-03-15;1870.0;3;1870.0
1969-03-16;1460.0;3;1460.0
1969-03-17;1610.0;3;1610.0
1969-03-18;1910.0;3;1910.0
1969-03-19;1720.0;3;1720.0
1969-03-20;1570.0;3;1570.0
1969-03-21;1590.0;3;1590.0
1969-03-22;1370.0;3;1370.0
1969-03-23;1240.0;3;1240.0
1969-03-24;1510.0;3;1510.0
1969-03-25;940.0;3;940.0
1969-03-26;1670.0;3;1670.0
1969-03-27;1940.0;3;1940.0
1969-03-28;2080.0;3;2080.0
1969-03-29;2010.0;3;2010.0
1969-03-30;1890.0;3;1890.0
1969-03-31;2040.0;3;2040.0
1969-04-01;2500.0;4;2500.0
1969-04-02;2150.0;4;2150.0
1969-04-03;1330.0;4;1330.0
1969-04-04;1730.0;4;1730.0
1969-04-05;1200.0;4;1200.0
1969-04-06;1340.0;4;1340.0
1969-04-07;1560.0;4;1560.0
1969-04-08;1450.0;4;1450.0
1969-04-09;1400.0;4;1400.0
1969-04-10;1240.0;4;1240.0
1969-04-11;1340.0;4;1340.0
1969-04-12;1780.0;4;1780.0
1969-04-13;1540.0;4;1540.0
1969-04-14;1720.0;4;1720.0
1969-04-15;1870.0;4;1870.0
1969-04-16;2140.0;4;2140.0
1969-04-17;2540.0;4;2540.0
1969-04-18;2420.0;4;2420.0
1969-04-19;1900.0;4;1900.0
1969-04-20;1750.0;4;1750.0
1969-04-21;2360.0;4;2360.0
1969-04-22;2720.0;4;2720.0
1969-04-23;2590.0;4;2590.0
1969-04-24;2760.0;4;2760.0
1969-04-25;3070.0;4;3070.0
1969-04-26;2930.0;4;2930.0
1969-04-27;1320.0;4;1320.0
1969-04-28;1360.0;4;1360.0
1969-04-29;1540.0;4;1540.0
1969-04-30;1660.0;4;1660.0
1969-05-01;2010.0;5;2010.0
1969-05-02;1850.0;5;1850.0
1969-05-03;1880.0;5;1880.0
1969-05-04;1850.0;5;1850.0
1969-05-05;2240.0;5;2240.0
1969-05-06;2660.0;5;2660.0
1969-05-07;2470.0;5;2470.0
1969-05-08;2220.0;5;2220.0
1969-05-09;2170.0;5;2170.0
1969-05-10;2160.0;5;2160.0
1969-05-11;2280.0;5;2280.0
1969-05-12;1660.0;5;1660.0
1969-05-13;1490.0;5;1490.0
1969-05-14;2230.0;5;2230.0
1969-05-15;2600.0;5;2600.0
1969-05-16;2410.0;5;2410.0
1969-05-17;2240.0;5;2240.0
1969-05-18;2410.0;5;2410.0
1969-05-19;2150.0;5;2150.0
1969-05-20;1630.0;5;1630.0
1969-05-21;1290.0;5;1290.0
1969-05-22;1300.0;5;1300.0
1969-05-23;1160.0;5;1160.0
1969-05-24;1130.0;5;1130.0
1969-05-25;1150.0;5;1150.0
1969-05-26;2180.0;5;2180.0
1969-05-27;2340.0;5;2340.0
1969-05-28;1780.0;5;1780.0
1969-05-29;1860.0;5;1860.0
1969-05-30;1640.0;5;1640.0
1969-05-31;2200.0;5;2200.0
1969-06-01;2400.0;6;2400.0
1969-06-02;1430.0;6;1430.0
1969-06-03;1940.0;6;1940.0
1969-06-04;2400.0;6;2400.0
1969-06-05;2170.0;6;2170.0
1969-06-06;1380.0;6;1380.0
1969-06-07;1490.0;6;1490.0
1969-06-08;1390.0;6;1390.0
1969-06-09;1690.0;6;1690.0
1969-06-10;2030.0;6;2030.0
1969-06-11;1890.0;6;1890.0
1969-06-12;1840.0;6;1840.0
1969-06-13;1630.0;6;1630.0
1969-06-14;1930.0;6;1930.0
1969-06-15;1820.0;6;1820.0
1969-06-16;1700.0;6;1700.0
1969-06-17;1880.0;6;1880.0
1969-06-18;2100.0;6;2100.0
1969-06-19;2430.0;6;2430.0
1969-06-20;2350.0;6;2350.0
1969-06-21;1680.0;6;1680.0
1969-06-22;1620.0;6;1620.0
1969-06-23;2060.0;6;2060.0
1969-06-24;2070.0;6;2070.0
1969-06-25;2160.0;6;2160.0
1969-06-26;1960.0;6;1960.0
1969-06-27;2280.0;6;2280.0
1969-06-28;2650.0;6;2650.0
1969-06-29;2420.0;6;2420.0
1969-06-30;1800.0;6;1800.0
1969-07-01;1600.0;7;1600.0
1969-07-02;1660.0;7;1660.0
1969-07-03;1420.0;7;1420.0
1969-07-04;1090.0;7;1090.0
1969-07-05;1140.0;7;1140.0
1969-07-06;1520.0;7;1520.0
1969-07-07;2330.0;7;2330.0
1969-07-08;2150.0;7;2150.0
1969-07-09;1310.0;7;1310.0
1969-07-10;1300.0;7;1300.0
1969-07-11;1700.0;7;1700.0
1969-07-12;1700.0;7;1700.0
1969-07-13;1300.0;7;1300.0
1969-07-14;1270.0;7;1270.0
1969-07-15;1520.0;7;1520.0
1969-07-16;1100.0;7;1100.0
1969-07-17;1180.0;7;1180.0
1969-07-18;940.0;7;940.0
1969-07-19;720.0;7;720.0
1969-07-20;700.0;7;700.0
1969-07-21;770.0;7;770.0
1969-07-22;1000.0;7;1000.0
1969-07-23;740.0;7;740.0
1969-07-24;1080.0;7;1080.0
1969-07-25;1320.0;7;1320.0
1969-07-26;1340.0;7;1340.0
1969-07-27;940.0;7;940.0
1969-07-28;1240.0;7;1240.0
1969-07-29;1770.0;7;1770.0
1969-07-30;2060.0;7;2060.0
1969-07-31;1990.0;7;1990.0
