# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-18
#
# GRDC-No.:              3141800
# River:                 RIO SAN JUAN DE MICAY
# Station:               ANGOSTURA
# Country:               CO
# Latitude (DD):       2.87292
# Longitude (DD):      -77.23125
# Catchment area (km²):      2511.0
# Altitude (m ASL):        120.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;    427.000
1978-01-02;--:--;    416.000
1978-01-03;--:--;    407.000
1978-01-04;--:--;    343.000
1978-01-05;--:--;    311.000
1978-01-06;--:--;    317.000
1978-01-07;--:--;    334.000
1978-01-08;--:--;    268.000
1978-01-09;--:--;    332.000
1978-01-10;--:--;    340.000
1978-01-11;--:--;    387.000
1978-01-12;--:--;    439.000
1978-01-13;--:--;    387.000
1978-01-14;--:--;    384.000
1978-01-15;--:--;    359.000
1978-01-16;--:--;    308.000
1978-01-17;--:--;    306.000
1978-01-18;--:--;    280.000
1978-01-19;--:--;    311.000
1978-01-20;--:--;    372.000
1978-01-21;--:--;    379.000
1978-01-22;--:--;    373.000
1978-01-23;--:--;    367.000
1978-01-24;--:--;    353.000
1978-01-25;--:--;    322.000
1978-01-26;--:--;    298.000
1978-01-27;--:--;    277.000
1978-01-28;--:--;    295.000
1978-01-29;--:--;    256.000
1978-01-30;--:--;    244.000
1978-01-31;--:--;    229.000
1978-02-01;--:--;    205.000
1978-02-02;--:--;    193.000
1978-02-03;--:--;    197.000
1978-02-04;--:--;    188.000
1978-02-05;--:--;    164.000
1978-02-06;--:--;    159.000
1978-02-07;--:--;    156.000
1978-02-08;--:--;    181.000
1978-02-09;--:--;    155.000
1978-02-10;--:--;    171.000
1978-02-11;--:--;    150.000
1978-02-12;--:--;    199.000
1978-02-13;--:--;    192.000
1978-02-14;--:--;    165.000
1978-02-15;--:--;    162.000
1978-02-16;--:--;    152.000
1978-02-17;--:--;    137.000
1978-02-18;--:--;    133.000
1978-02-19;--:--;    143.000
1978-02-20;--:--;    137.000
1978-02-21;--:--;    132.000
1978-02-22;--:--;    125.000
1978-02-23;--:--;    117.000
1978-02-24;--:--;    122.000
1978-02-25;--:--;    154.000
1978-02-26;--:--;    133.000
1978-02-27;--:--;    136.000
1978-02-28;--:--;    122.000
1978-03-01;--:--;    159.000
1978-03-02;--:--;    159.000
1978-03-03;--:--;    156.000
1978-03-04;--:--;    144.000
1978-03-05;--:--;    139.000
1978-03-06;--:--;    178.000
1978-03-07;--:--;    153.000
1978-03-08;--:--;    159.000
1978-03-09;--:--;    179.000
1978-03-10;--:--;    178.000
1978-03-11;--:--;    193.000
1978-03-12;--:--;    168.000
1978-03-13;--:--;    154.000
1978-03-14;--:--;    151.000
1978-03-15;--:--;    143.000
1978-03-16;--:--;    134.000
1978-03-17;--:--;    137.000
1978-03-18;--:--;    139.000
1978-03-19;--:--;    141.000
1978-03-20;--:--;    135.000
1978-03-21;--:--;    164.000
1978-03-22;--:--;    182.000
1978-03-23;--:--;    193.000
1978-03-24;--:--;    166.000
1978-03-25;--:--;    181.000
1978-03-26;--:--;    190.000
1978-03-27;--:--;    198.000
1978-03-28;--:--;    230.000
1978-03-29;--:--;    283.000
1978-03-30;--:--;    256.000
1978-03-31;--:--;    329.000
1978-04-01;--:--;    162.000
1978-04-02;--:--;    131.000
1978-04-03;--:--;    103.000
1978-04-04;--:--;    111.000
1978-04-05;--:--;    136.000
1978-04-06;--:--;    114.000
1978-04-07;--:--;    138.000
1978-04-08;--:--;    165.000
1978-04-09;--:--;    152.000
1978-04-10;--:--;    123.000
1978-04-11;--:--;    128.000
1978-04-12;--:--;    114.000
1978-04-13;--:--;    133.000
1978-04-14;--:--;    132.000
1978-04-15;--:--;    111.000
1978-04-16;--:--;    107.000
1978-04-17;--:--;    139.000
1978-04-18;--:--;     99.000
1978-04-19;--:--;     97.000
1978-04-20;--:--;    139.000
1978-04-21;--:--;    162.000
1978-04-22;--:--;    166.000
1978-04-23;--:--;    178.000
1978-04-24;--:--;    176.000
1978-04-25;--:--;    173.000
1978-04-26;--:--;    152.000
1978-04-27;--:--;    149.000
1978-04-28;--:--;    131.000
1978-04-29;--:--;    118.000
1978-04-30;--:--;    141.000
1978-05-01;--:--;    126.000
1978-05-02;--:--;     91.000
1978-05-03;--:--;    105.000
1978-05-04;--:--;    132.000
1978-05-05;--:--;    119.000
1978-05-06;--:--;    139.000
1978-05-07;--:--;    157.000
1978-05-08;--:--;    143.000
1978-05-09;--:--;    157.000
1978-05-10;--:--;    137.000
1978-05-11;--:--;    154.000
1978-05-12;--:--;    133.000
