# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-12-18
#
# GRDC-No.:              3142500
# River:                 RIO PATIA
# Station:               PTE PUSMEO
# Country:               CO
# Latitude (DD):       1.70625
# Longitude (DD):      -77.51041
# Catchment area (km²):      13147.0
# Altitude (m ASL):        1975.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966-03 - 2021-08
# No. of years:          56
# Last update:           2024-10-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 20273
# DATA
YYYY-MM-DD;hh:mm; Value
1966-03-01;--:--;    364.000
1966-03-02;--:--;    326.000
1966-03-03;--:--;    318.000
1966-03-04;--:--;    345.000
1966-03-05;--:--;    301.000
1966-03-06;--:--;    326.000
1966-03-07;--:--;    374.000
1966-03-08;--:--;    466.000
1966-03-09;--:--;    533.000
1966-03-10;--:--;    533.000
1966-03-11;--:--;    456.000
1966-03-12;--:--;    476.000
1966-03-13;--:--;    537.000
1966-03-14;--:--;    496.000
1966-03-15;--:--;    486.000
1966-03-16;--:--;    476.000
1966-03-17;--:--;    486.000
1966-03-18;--:--;    292.000
1966-03-19;--:--;    274.000
1966-03-20;--:--;    282.000
1966-03-21;--:--;    266.000
1966-03-22;--:--;    291.000
1966-03-23;--:--;    345.000
1966-03-24;--:--;    267.000
1966-03-25;--:--;    250.000
1966-03-26;--:--;    205.000
1966-03-27;--:--;    291.000
1966-03-28;--:--;    320.000
1966-03-29;--:--;    274.000
1966-03-30;--:--;    383.000
1966-03-31;--:--;    336.000
1966-04-01;--:--;    326.000
1966-04-02;--:--;    345.000
1966-04-03;--:--;    383.000
1966-04-04;--:--;    234.000
1966-04-05;--:--;    285.000
1966-04-06;--:--;    345.000
1966-04-07;--:--;    345.000
1966-04-08;--:--;    318.000
1966-04-09;--:--;    383.000
1966-04-10;--:--;    311.000
1966-04-11;--:--;    274.000
1966-04-12;--:--;    274.000
1966-04-13;--:--;    250.000
1966-04-14;--:--;    258.000
1966-04-15;--:--;    383.000
1966-04-16;--:--;    300.000
1966-04-17;--:--;    266.000
1966-04-18;--:--;    258.000
1966-04-19;--:--;    234.000
1966-04-20;--:--;    383.000
