# River:                 RIO MAYO
# Station:               LA CANADA
# Latitude (DD):       1.63
# Longitude (DD):      -77.0

YYYY-MM-DD;Value;month;Value_imputed
1961-01-01;7.4;1;7.4
1961-01-02;6.7;1;6.7
1961-01-03;6.3;1;6.3
1961-01-04;6.0;1;6.0
1961-01-05;5.6;1;5.6
1961-01-06;5.6;1;5.6
1961-01-07;5.0;1;5.0
1961-01-08;5.0;1;5.0
1961-01-09;4.7;1;4.7
1961-01-10;4.7;1;4.7
1961-01-11;4.7;1;4.7
1961-01-12;4.5;1;4.5
1961-01-13;4.5;1;4.5
1961-01-14;5.3;1;5.3
1961-01-15;7.8;1;7.8
1961-01-16;7.8;1;7.8
1961-01-17;6.0;1;6.0
1961-01-18;5.0;1;5.0
1961-01-19;4.2;1;4.2
1961-01-20;4.2;1;4.2
1961-01-21;5.7;1;5.7
1961-01-22;5.7;1;5.7
1961-01-23;5.7;1;5.7
1961-01-24;5.4;1;5.4
1961-01-25;5.1;1;5.1
1961-01-26;5.0;1;5.0
1961-01-27;5.0;1;5.0
1961-01-28;5.7;1;5.7
1961-01-29;6.8;1;6.8
1961-01-30;5.3;1;5.3
1961-01-31;5.3;1;5.3
1961-02-01;12.6;2;12.6
1961-02-02;23.2;2;23.2
1961-02-03;15.9;2;15.9
1961-02-04;9.3;2;9.3
1961-02-05;7.8;2;7.8
1961-02-06;6.6;2;6.6
1961-02-07;7.7;2;7.7
1961-02-08;9.0;2;9.0
1961-02-09;7.4;2;7.4
1961-02-10;6.7;2;6.7
1961-02-11;6.0;2;6.0
1961-02-12;5.7;2;5.7
1961-02-13;5.6;2;5.6
1961-02-14;5.1;2;5.1
1961-02-15;5.0;2;5.0
1961-02-16;5.0;2;5.0
1961-02-17;4.7;2;4.7
1961-02-18;4.7;2;4.7
1961-02-19;4.7;2;4.7
1961-02-20;4.7;2;4.7
1961-02-21;4.7;2;4.7
1961-02-22;4.5;2;4.5
1961-02-23;4.5;2;4.5
1961-02-24;5.0;2;5.0
1961-02-25;7.4;2;7.4
1961-02-26;5.6;2;5.6
1961-02-27;5.0;2;5.0
1961-02-28;5.0;2;5.0
1961-03-01;8.9;3;8.9
1961-03-02;8.5;3;8.5
1961-03-03;6.3;3;6.3
1961-03-04;7.2;3;7.2
1961-03-05;7.6;3;7.6
1961-03-06;6.4;3;6.4
1961-03-07;7.8;3;7.8
1961-03-08;6.7;3;6.7
1961-03-09;13.0;3;13.0
1961-03-10;11.5;3;11.5
1961-03-11;8.6;3;8.6
1961-03-12;7.8;3;7.8
1961-03-13;6.7;3;6.7
1961-03-14;13.9;3;13.9
1961-03-15;8.6;3;8.6
1961-03-16;8.5;3;8.5
1961-03-17;8.1;3;8.1
1961-03-18;7.3;3;7.3
1961-03-19;9.0;3;9.0
1961-03-20;7.1;3;7.1
1961-03-21;13.1;3;13.1
1961-03-22;11.5;3;11.5
1961-03-23;13.3;3;13.3
1961-03-24;18.5;3;18.5
1961-03-25;15.2;3;15.2
1961-03-26;10.6;3;10.6
1961-03-27;10.8;3;10.8
1961-03-28;10.9;3;10.9
1961-03-29;10.5;3;10.5
1961-03-30;10.3;3;10.3
1961-03-31;13.7;3;13.7
1961-04-01;10.9;4;10.9
1961-04-02;29.8;4;29.8
1961-04-03;23.2;4;23.2
1961-04-04;25.4;4;25.4
1961-04-05;16.6;4;16.6
1961-04-06;27.3;4;27.3
1961-04-07;13.6;4;13.6
1961-04-08;12.4;4;12.4
1961-04-09;11.7;4;11.7
1961-04-10;10.9;4;10.9
1961-04-11;10.9;4;10.9
1961-04-12;11.4;4;11.4
1961-04-13;10.6;4;10.6
1961-04-14;9.9;4;9.9
1961-04-15;9.3;4;9.3
1961-04-16;9.9;4;9.9
1961-04-17;10.3;4;10.3
1961-04-18;12.6;4;12.6
1961-04-19;10.2;4;10.2
1961-04-20;9.6;4;9.6
1961-04-21;12.0;4;12.0
1961-04-22;18.5;4;18.5
1961-04-23;19.6;4;19.6
1961-04-24;24.7;4;24.7
1961-04-25;17.1;4;17.1
1961-04-26;12.1;4;12.1
1961-04-27;12.0;4;12.0
1961-04-28;10.3;4;10.3
1961-04-29;9.9;4;9.9
1961-04-30;25.9;4;25.9
1961-05-01;16.1;5;16.1
1961-05-02;17.0;5;17.0
1961-05-03;16.2;5;16.2
1961-05-04;15.0;5;15.0
1961-05-05;14.8;5;14.8
1961-05-06;14.6;5;14.6
1961-05-07;14.8;5;14.8
1961-05-08;14.5;5;14.5
1961-05-09;14.5;5;14.5
1961-05-10;14.0;5;14.0
1961-05-11;13.1;5;13.1
1961-05-12;14.4;5;14.4
1961-05-13;14.4;5;14.4
1961-05-14;14.1;5;14.1
1961-05-15;14.8;5;14.8
1961-05-16;14.4;5;14.4
1961-05-17;14.0;5;14.0
1961-05-18;13.8;5;13.8
1961-05-19;18.0;5;18.0
1961-05-20;31.1;5;31.1
1961-05-21;17.4;5;17.4
1961-05-22;15.0;5;15.0
1961-05-23;15.6;5;15.6
1961-05-24;19.2;5;19.2
1961-05-25;25.1;5;25.1
1961-05-26;13.0;5;13.0
1961-05-27;11.8;5;11.8
1961-05-28;10.5;5;10.5
1961-05-29;10.0;5;10.0
1961-05-30;10.0;5;10.0
1961-05-31;10.3;5;10.3
1961-06-01;11.0;6;11.0
1961-06-02;12.8;6;12.8
1961-06-03;13.3;6;13.3
1961-06-04;11.4;6;11.4
1961-06-05;10.6;6;10.6
1961-06-06;11.7;6;11.7
1961-06-07;12.9;6;12.9
1961-06-08;12.0;6;12.0
1961-06-09;10.6;6;10.6
1961-06-10;10.1;6;10.1
1961-06-11;11.7;6;11.7
1961-06-12;13.5;6;13.5
1961-06-13;12.3;6;12.3
1961-06-14;10.8;6;10.8
1961-06-15;10.7;6;10.7
1961-06-16;13.6;6;13.6
1961-06-17;22.4;6;22.4
1961-06-18;13.7;6;13.7
1961-06-19;11.9;6;11.9
1961-06-20;10.8;6;10.8
1961-06-21;11.5;6;11.5
1961-06-22;13.9;6;13.9
1961-06-23;17.1;6;17.1
1961-06-24;15.7;6;15.7
1961-06-25;17.8;6;17.8
1961-06-26;14.0;6;14.0
1961-06-27;12.9;6;12.9
1961-06-28;14.0;6;14.0
1961-06-29;21.2;6;21.2
1961-06-30;23.8;6;23.8
1961-07-01;22.1;7;22.1
1961-07-02;14.0;7;14.0
1961-07-03;14.4;7;14.4
1961-07-04;22.0;7;22.0
1961-07-05;15.0;7;15.0
1961-07-06;11.6;7;11.6
1961-07-07;11.7;7;11.7
1961-07-08;14.1;7;14.1
1961-07-09;11.8;7;11.8
1961-07-10;10.0;7;10.0
1961-07-11;10.0;7;10.0
1961-07-12;10.0;7;10.0
1961-07-13;10.2;7;10.2
1961-07-14;11.5;7;11.5
1961-07-15;13.7;7;13.7
1961-07-16;10.9;7;10.9
1961-07-17;9.9;7;9.9
1961-07-18;11.3;7;11.3
1961-07-19;13.9;7;13.9
1961-07-20;10.2;7;10.2
1961-07-21;10.3;7;10.3
1961-07-22;13.8;7;13.8
1961-07-23;9.9;7;9.9
1961-07-24;9.8;7;9.8
1961-07-25;12.5;7;12.5
1961-07-26;12.5;7;12.5
1961-07-27;14.8;7;14.8
1961-07-28;15.1;7;15.1
1961-07-29;15.0;7;15.0
1961-07-30;11.8;7;11.8
1961-07-31;11.1;7;11.1
1961-08-01;10.9;8;10.9
1961-08-02;12.6;8;12.6
1961-08-03;10.9;8;10.9
1961-08-04;10.2;8;10.2
1961-08-05;9.7;8;9.7
1961-08-06;14.7;8;14.7
1961-08-07;15.4;8;15.4
1961-08-08;14.8;8;14.8
1961-08-09;17.4;8;17.4
1961-08-10;19.3;8;19.3
1961-08-11;13.4;8;13.4
1961-08-12;10.2;8;10.2
1961-08-13;12.0;8;12.0
1961-08-14;9.8;8;9.8
1961-08-15;12.6;8;12.6
1961-08-16;13.2;8;13.2
1961-08-17;12.2;8;12.2
1961-08-18;10.6;8;10.6
1961-08-19;9.4;8;9.4
1961-08-20;10.6;8;10.6
1961-08-21;12.2;8;12.2
1961-08-22;11.4;8;11.4
1961-08-23;9.6;8;9.6
1961-08-24;9.2;8;9.2
1961-08-25;9.3;8;9.3
1961-08-26;8.6;8;8.6
1961-08-27;8.6;8;8.6
1961-08-28;7.8;8;7.8
1961-08-29;7.7;8;7.7
1961-08-30;9.7;8;9.7
1961-08-31;8.8;8;8.8
1961-09-01;7.7;9;7.7
1961-09-02;7.6;9;7.6
1961-09-03;7.6;9;7.6
1961-09-04;7.6;9;7.6
1961-09-05;7.7;9;7.7
1961-09-06;7.7;9;7.7
1961-09-07;8.4;9;8.4
1961-09-08;9.4;9;9.4
1961-09-09;8.5;9;8.5
1961-09-10;7.6;9;7.6
1961-09-11;8.6;9;8.6
1961-09-12;8.4;9;8.4
1961-09-13;7.7;9;7.7
1961-09-14;7.6;9;7.6
1961-09-15;7.6;9;7.6
1961-09-16;10.8;9;10.8
1961-09-17;8.7;9;8.7
1961-09-18;7.8;9;7.8
1961-09-19;7.6;9;7.6
1961-09-20;7.7;9;7.7
1961-09-21;8.4;9;8.4
1961-09-22;9.2;9;9.2
1961-09-23;8.8;9;8.8
1961-09-24;9.3;9;9.3
1961-09-25;8.6;9;8.6
1961-09-26;8.4;9;8.4
1961-09-27;8.4;9;8.4
1961-09-28;8.7;9;8.7
1961-09-29;8.8;9;8.8
1961-09-30;11.9;9;11.9
1961-10-01;12.0;10;12.0
1961-10-02;9.7;10;9.7
1961-10-03;9.0;10;9.0
1961-10-04;9.2;10;9.2
1961-10-05;12.1;10;12.1
1961-10-06;10.0;10;10.0
1961-10-07;8.7;10;8.7
1961-10-08;8.2;10;8.2
1961-10-09;8.1;10;8.1
1961-10-10;7.6;10;7.6
1961-10-11;8.0;10;8.0
1961-10-12;8.5;10;8.5
1961-10-13;10.2;10;10.2
1961-10-14;14.3;10;14.3
1961-10-15;10.6;10;10.6
1961-10-16;10.6;10;10.6
1961-10-17;9.2;10;9.2
1961-10-18;7.9;10;7.9
1961-10-19;8.2;10;8.2
1961-10-20;7.8;10;7.8
1961-10-21;8.4;10;8.4
1961-10-22;9.4;10;9.4
