station_id,river_name,station_name,latitude,longitude
3102010,"RIO SINU","COTOCA ABAJO - AUT [13077060]",9.224444444,-75.83444444
3102400,"RIO QUITO","SAN ISIDRO",5.63,-76.75
3102450,"RIO ATRATO","BELLAVISTA",6.57,-76.87
3102500,"RIO ATRATO","TAGACHI",6.22,-76.72
3102550,"RIO SUCIO","MUTATA",7.23,-76.43
3102600,"RIO ATRATO","PTE.LAS SANCHEZ",5.85,-76.25
3102650,"RIO SINU","ANGOSTURA DE URRA",8.0,-76.25
3103010,"RIO MAGDALENA","NARINO - AUT [21237010]",4.387777778,-74.838375
3103015,"RIO MAGDALENA","EL BANCO - AUT [25027020]",8.992527778,-73.96944444
3103045,"RIO LA TETA","BUENOS AIRES",3.05,-76.58
3103050,"RIO CAUCA","LA SALVAJINA",2.85,-76.72
3103055,"RIO COFRE","TOTORO",2.52,-76.38
3103060,"RIO CAUCA","JULUMITO",2.47,-76.62
3103070,"RIO PIEDRAS","PTE.CARRETERA",4.24,-76.48
3103075,"RIO PALO","PTO.TEJADA",3.23,-76.42
3103090,"RIO LA VIEJA","EL ALAMBRADO",4.42,-75.88
3103100,"RIO CAUCA","LA VIRGINIA",4.88,-75.88
3103110,"RIO SAN EUGENIO","LA REINA",4.87,-75.62
3103140,"SAN JUAN RIO","CAMPAMENTO",5.68,-75.88
3103150,"RIO CAUCA","LA PINTADA",5.73,-75.6
3103190,"RIO TARAZA","LAS CAMELIAS",7.58,-75.42
3103300,"RIO MAGDALENA","CALAMAR",10.27,-74.92
3103350,"RIO FUNDACION","FUNDACION",10.5,-74.13
3103400,"RIO NARANJOS","SAN AGUSTIN",1.87,-76.23
3103410,"BEDON RIO","SAN RAFAEL",2.32,-76.25
3103420,"RIO DE LA PLATA","VEGA EL SALADO",2.38,-75.92
3103430,"RIO SUAZA","PTE.GARCES",2.03,-75.77
3103440,"RIO ATA","EL CONDOR",3.43,-75.62
3103450,"RIO MAGDALENA","PUENTE SANTANDER",2.9,-75.33
3103460,"RIO CABRERA","SAN ALFONSO",3.37,-75.12
3103465,"RIO COELLO","PTE.CARRETERA",4.43,-75.37
3103470,"RIO SUMAPAZ","EL PROFUNDO",4.0,-74.5
3103480,"RIO LA MIEL","SAN MIGUEL",5.78,-74.67
3103490,"RIO DE LA PLATA","VEGA EL SALADO",2.38,-75.92
3103500,"RIO MAGDALENA","PUERTO BERRIO",6.5,-74.38
3103520,"RIO NEGRO","GUADUERO",5.2,-74.57
3103530,"SAN JUAN RIO","BORBUR",5.65,-74.07
3103550,"RIO SOGAMOSO","EL TABLAZO",7.03958333333333,-73.3395833333333
3103560,"RIO SUAREZ","PTE.NACIONAL",5.87,-73.7
3103570,"RIO TOCAIMO","LA MATILDE",10.1,-73.16
3103580,"RIO PIENTA","NEMIZAQUE",6.2,-73.17
3103600,"RIO FONCE","SAN GIL",6.55,-73.13
3103620,"RIO VETAS","PTE.PANEGA",7.33,-72.98
3103700,"RIO NEVADO","GUICAN",6.45,-72.43
3104500,"RIO ZULIA","SAN JAVIER",7.88,-72.62
3104600,"RIO TARRA","PTE.TARRA",8.58,-72.6
3105800,"RIO DON DIEGO","PTE.CARRETERA",11.27,-73.67
3105850,"RIO RANCHERIA","EL CERCADO",10.92,-72.95
3106100,"RIO PRADO","BOQUERON",3.75,-74.9
3106500,"RIO CHITAGA","PTE.LOPEZ",7.2,-72.63
3107010,"RIO META","CABUYARO [35107030]",4.28,-72.79
3107015,"RIO META","AGUAVERDE [35267080]",5.79,-69.99
3107050,"RIO GUAVIO","UBALA",4.72,-73.53
3107200,"RIO META","PTE LLERAS",4.12,-72.97
3107250,"RIO LENGUPA","SAN AGUSTIN",4.85,-73.23
3107300,"RIO METICA","EL BARRO",3.75,-73.2
3107350,"RIO CUSIANA","VADO HONDO",5.52,-72.77
3120010,"RIO PUTUMAYO","PUENTE TEXAS AUT [47017160]",0.582694444,-76.57694444
3121100,"RIO MOCOA","PIEDRA LISA",1.2,-76.63
3121190,"RIO HACHA","FLORENCIA",1.6,-75.6
3121200,"RIO ORTEGUAZA","LARANDIA",1.47,-75.48
3141300,"RIO SAN JUAN","TADO",5.25625,-76.57708
3141310,"RIO TAMANA","MAMPI",4.95,-76.62
3141500,"RIO SAN JUAN","PENITAS",4.21458,-77.26042
3141800,"RIO SAN JUAN DE MICAY","ANGOSTURA",2.87292,-77.23125
3142500,"RIO PATIA","PTE PUSMEO",1.70625,-77.51041
3142600,"RIO BLANCO","CARLOSAMA",0.88,-77.66
3142800,"RIO MAYO","LA CANADA",1.63,-77.0
