Periodo,Codigo EC,Precipitación
2015-1s,21080030,27.333333333333332
2015-2s,21080030,33.333333333333336
2016-1s,21080030,87.83333333333333
2016-2s,21080030,151.16666666666666
2017-1s,21080030,144.16666666666666
2017-2s,21080030,133.33333333333334
2018-1s,21080030,141.16666666666666
2018-2s,21080030,124.16666666666667
2019-1s,21080030,117.83333333333333
2019-2s,21080030,104.66666666666667
2020-1s,21080030,85.66666666666667
2020-2s,21080030,81.0
2021-1s,21080030,206.4
2021-2s,21080030,162.4
2022-1s,21080030,145.0
2022-2s,21080030,142.5
2023-1s,21080030,214.0
2023-2s,21080030,128.5
2024-1s,21080030,158.16666666666666
2024-2s,21080030,141.5
2025-1s,21080030,243.66666666666666
2025-2s,21080030,128.16666666666666
