Periodo,Codigo EC,Precipitación
2015-1s,23085110,163.9
2015-2s,23085110,169.36666666666667
2016-1s,23085110,139.4
2016-2s,23085110,269.2
2017-1s,23085110,300.55
2017-2s,23085110,215.98333333333332
2018-1s,23085110,222.66666666666666
2018-2s,23085110,187.26666666666665
2019-1s,23085110,188.8166666666667
2019-2s,23085110,180.25
2020-1s,23085110,113.34999999999998
2020-2s,23085110,216.12000000000003
2021-1s,23085110,233.10000000000002
2021-2s,23085110,199.36666666666667
2022-1s,23085110,260.8666666666667
2022-2s,23085110,239.31666666666663
2023-1s,23085110,170.66666666666666
2023-2s,23085110,171.5666666666667
2024-1s,23085110,185.79999999999998
2024-2s,23085110,193.9333333333333
2025-1s,23085110,287.84999999999997
2025-2s,23085110,273.9166666666667
