Periodo,Codigo EC,Precipitación
2015-1s,35060100,183.24
2015-2s,35060100,
2016-1s,35060100,182.95000000000002
2016-2s,35060100,205.58333333333334
2017-1s,35060100,211.48333333333335
2017-2s,35060100,136.91666666666666
2018-1s,35060100,194.88333333333333
2018-2s,35060100,172.8166666666667
2019-1s,35060100,188.30000000000004
2019-2s,35060100,179.6833333333333
2020-1s,35060100,36.6
2020-2s,35060100,129.225
2021-1s,35060100,213.48333333333332
2021-2s,35060100,186.83333333333334
2022-1s,35060100,177.26666666666665
2022-2s,35060100,162.63333333333335
2023-1s,35060100,188.94999999999996
2023-2s,35060100,158.16666666666666
2024-1s,35060100,190.33333333333334
2024-2s,35060100,148.65
