Periodo,Codigo EC,Precipitación
2015-1s,23050250,371.6666666666667
2015-2s,23050250,296.0
2016-1s,23050250,262.8333333333333
2016-2s,23050250,420.0
2017-1s,23050250,499.1666666666667
2017-2s,23050250,515.3333333333334
2018-1s,23050250,407.2
2018-2s,23050250,435.5
2019-1s,23050250,409.1666666666667
2019-2s,23050250,385.1666666666667
2020-1s,23050250,229.0
2020-2s,23050250,425.8333333333333
2021-1s,23050250,363.0
2021-2s,23050250,500.8333333333333
2022-1s,23050250,456.0
2022-2s,23050250,479.1666666666667
2023-1s,23050250,437.8333333333333
2023-2s,23050250,365.0
2024-1s,23050250,291.1666666666667
2024-2s,23050250,360.5
2025-1s,23050250,360.6666666666667
2025-2s,23050250,283.4
