Periodo,Codigo EC,Precipitación
2015-1s,26030150,180.91666666666666
2015-2s,26030150,174.75
2016-1s,26030150,175.68333333333337
2016-2s,26030150,203.79999999999998
2017-1s,26030150,230.13333333333333
2017-2s,26030150,167.51666666666668
2018-1s,26030150,208.01666666666665
2018-2s,26030150,200.0333333333333
2019-1s,26030150,219.04999999999998
2019-2s,26030150,180.9333333333333
2020-1s,26030150,172.33333333333334
2020-2s,26030150,251.9333333333333
2021-1s,26030150,252.91666666666666
2021-2s,26030150,317.4666666666667
2022-1s,26030150,293.26666666666665
2022-2s,26030150,221.81666666666663
2023-1s,26030150,213.20000000000002
2023-2s,26030150,192.1
2024-1s,26030150,184.65
2024-2s,26030150,148.56666666666666
2025-1s,26030150,307.21666666666664
2025-2s,26030150,199.15
