CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-01-01 00:00,mm,116.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-02-01 00:00,mm,127.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-03-01 00:00,mm,188.6,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-04-01 00:00,mm,261.3,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-05-01 00:00,mm,217.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-06-01 00:00,mm,71.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-07-01 00:00,mm,196.8,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-08-01 00:00,mm,214.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-09-01 00:00,mm,149.6,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-10-01 00:00,mm,175,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-11-01 00:00,mm,269.5,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2015-12-01 00:00,mm,10.9,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2016-01-01 00:00,mm,40.9,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2016-02-01 00:00,mm,137.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2016-03-01 00:00,mm,108.1,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2016-04-01 00:00,mm,311.1,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2016-05-01 00:00,mm,175.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2016-06-01 00:00,mm,63.5,Preliminar
