idDataset,nombreConjuntoDatos,fechaPublicacion,fechaActualizacion,inicioDato,finDato,fechaDescarga,urlConexionAPI,urlConjuntoDatos,tipoPublicacion
a704ee,"Datos soporte del proceso de liquidación por Código sic agente, Recurso, Tipo combustible, versión y mensual",2023-09-28T21:28:06.433,2025-12-11T12:26:00.153,2017-12-01T00:00:00,2025-11-01T00:00:00,2025-04-30T11:38:47.52,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=a704ee,https://www.simem.co/datadetail/a704eef3-ca1c-4ebf-98a0-01325c61765d,Público
d808d4,Energía de Referencia para el Mercado Secundario,2023-09-29T11:01:54.317,2025-09-03T14:56:00.327,2018-12-01T00:00:00,2050-11-30T00:00:00,2025-04-09T09:42:23.763,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=d808d4,https://www.simem.co/datadetail/d808d43d-e3da-493d-aab5-015a818ade10,Público
2106b8,Precios y estadísticas de los contratos de convocatorias del SICEP entre agentes integrados verticalmente para el mercado regulado por comercializador,2023-09-30T10:35:01.19,2025-12-11T13:30:34.663,2020-10-01T00:00:00,2025-11-01T00:00:00,2025-03-08T11:37:23.957,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=2106b8,https://www.simem.co/datadetail/99686983-57a4-433b-bc5e-028ecd0845ba,Público
B1009C,Compras en bolsa nacional en moneda,2024-11-07T10:33:56.017,2025-12-13T10:22:35.877,2021-01-01T00:00:00,2025-12-08T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=B1009C,https://www.simem.co/datadetail/b1009c18-5450-4ae7-ad5f-02a07b73d371,Público
E4CE10,Costo Servicios ASIC y CND,2025-07-11T11:30:08.153,2025-12-11T12:24:18.763,2021-01-01T00:00:00,2025-11-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=E4CE10,https://www.simem.co/datadetail/e4ce10c3-dffc-402b-9d54-03a68ec322a5,Público
7AEE6F,Nivel embalse reportado menos compromisos EVE embalsados por planta,2023-09-28T20:27:03.407,2025-12-13T10:29:19.793,2021-01-01T00:00:00,2025-12-10T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=7AEE6F,https://www.simem.co/datadetail/7aee6f59-52c2-4279-bf7e-042e6a730d51,Público
A9185B,DemandaComercialLiquidacionCargo,2025-07-08T09:22:06.007,2025-11-19T20:25:59.58,2024-10-01T00:00:00,2025-08-31T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=A9185B,https://www.simem.co/datadetail/a9185b6b-cf8b-4813-b198-048a0d250f92,Público
AA7064,InsumosPrecioEscasezMarginalHeatRate,2025-06-06T11:24:00.72,2025-12-11T12:28:12.493,2024-10-01T00:00:00,2025-10-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=AA7064,https://www.simem.co/datadetail/aa706442-715a-49dc-aa0d-04e6894c7a4b,Público
F3A83B,Estadísticas de contratos de Demanda Desconectable Voluntaria (DDV),2023-09-30T11:09:06.763,2025-12-13T08:26:56.59,2022-12-01T00:00:00,2026-11-01T00:00:00,2025-05-06T11:28:35.46,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=F3A83B,https://www.simem.co/datadetail/f3a83baa-a370-4557-be0d-05396fb30421,Público
bf41fe,Histórico Posición abierta por contrato II Open interest II,2025-03-10T23:00:12.1,2025-11-13T13:42:16.183,2023-08-31T00:00:00,2025-10-31T00:00:00,2025-03-13T08:58:15.363,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=bf41fe,https://www.simem.co/datadetail/bf41fe3a-faa8-4f73-9773-07c7f97c8447,Público
ae3f23,Precios de escasez del Cargo por Confiabilidad,2023-09-25T23:36:51.263,2025-12-04T16:57:04.663,2013-01-01T00:00:00,2025-12-01T00:00:00,2025-05-05T10:27:49.407,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=ae3f23,https://www.simem.co/datadetail/ae3f2310-154d-4391-b17c-081a83bc6e0f,Público
5106B9,Declaración de respaldo horaria para cada planta y/o unidad,2023-09-28T20:27:03.407,2025-12-13T10:28:42.607,2021-01-01T00:00:00,2025-08-14T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=5106B9,https://www.simem.co/datadetail/5106b900-7994-4db1-8742-087d22d770e7,Público
f62164,Proyección de reserva caliente de corto plazo,2024-09-06T08:22:41.853,2025-12-07T19:14:10.697,2024-08-26T00:00:00,2025-12-14T00:00:00,2024-09-11T06:25:30.237,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=f62164,https://www.simem.co/datadetail/f6216477-fa97-476e-10c9-08dcce76fc9a,Público
8d3ccd,Proyección de embalse agregado de corto plazo,2024-09-06T08:42:12.99,2025-12-07T19:13:28.97,2024-08-26T00:00:00,2025-12-14T00:00:00,2025-02-21T15:30:24.49,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=8d3ccd,https://www.simem.co/datadetail/8d3ccdc6-f660-4423-10ca-08dcce76fc9a,Público
06b8bc,Proyección de balance energético de corto plazo,2024-09-06T09:01:28.03,2025-12-07T19:18:47.517,2024-08-26T00:00:00,2025-12-14T00:00:00,2025-05-04T21:39:09.523,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=06b8bc,https://www.simem.co/datadetail/06b8bcf9-2bcb-4676-10cb-08dcce76fc9a,Público
d31647,Cantidades y precios en contratos de energía del Mercado Mayorista por comercializador,2024-10-08T14:18:52.303,2025-12-11T13:27:22.987,2022-01-01T00:00:00,2025-11-30T00:00:00,2025-04-29T08:16:50.703,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=d31647,https://www.simem.co/datadetail/d316478b-b8c0-4050-49ec-08dce7ce0b90,Público
0fa2ac,"Datos soporte del proceso de Demandas por Recurso, versión y horaria",2024-11-06T16:25:40.203,2025-12-13T10:37:19.71,2013-01-01T00:00:00,2025-12-10T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=0fa2ac,https://www.simem.co/datadetail/0fa2acb6-c1fb-4d35-9172-08dcfea99034,Público
aa9f18,"Datos soporte del proceso de Demandas por Código sic agente, Recurso, Unidad, versión y horaria",2024-11-07T07:20:59.477,2025-12-13T10:22:30.78,2024-08-01T00:00:00,2025-12-10T00:00:00,2025-02-10T11:23:23.873,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=aa9f18,https://www.simem.co/datadetail/aa9f18b2-e6d2-41a8-5e98-08dcff26a363,Público
b1c11e,"Datos soporte del proceso de liquidación por Código sic agente, versión y horaria",2024-11-07T10:33:56.017,2025-12-12T17:24:50.927,2024-02-01T00:00:00,2025-12-09T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=b1c11e,https://www.simem.co/datadetail/b1c11ee5-6f8f-4dc4-5e99-08dcff26a363,Público
8d10e6,Proyecciones de las cantidades y precios en contratos de energía del Mercado Mayorista por comercializador,2025-01-20T14:01:10.267,2025-12-12T23:25:34.147,2024-12-01T00:00:00,2030-11-01T00:00:00,2025-04-30T14:36:32.267,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=8d10e6,https://www.simem.co/datadetail/8d10e6f4-dfe4-409b-bc41-08dd3983a071,Público
