Nombre del embalse,Operador,Región  hidrológica, Latitud [°],Longitud [°]
ESMERALDA,AES COLOMBIA & CIA. S.C.A. E.S.P.,Oriente,4.9,-73.3
ALTOANCHICAYA,CELSIA COLOMBIA S.A. E.S.P.,Valle,3.320507,-76.521748
CALIMA,CELSIA COLOMBIA S.A. E.S.P.,Valle,3.524585,-76.333665
PRADO,CELSIA COLOMBIA S.A. E.S.P.,Centro,3.451501,-74.531129
SALVAJINA,CELSIA COLOMBIA S.A. E.S.P.,Valle,2.563915,-76.42273
URRÁ,EMPRESA URRA S.A. E.S.P.,Caribe,7.866667,-76.283333
ITUANGO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,7.1345,-75.6622
EMBALSE LA FE,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,6.0965,-75.4901
MIRAFLORES,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,6.78555,-75.327139
AGREGADO MIRAFLORES - TRONERAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,,
PEÑOL,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,6.319869,-75.177636
PLAYAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,6.295311,-74.943153
PORCE 2,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,6.798867,-75.144936
PORCE 3,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,6.9391,-75.1393
QUEBRADONA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,6.519072,-75.404564
RIOGRANDE2,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,6.509308,-75.452425
TRONERAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,6.7818,-75.2555
AGREGADO BOGOTÁ,ENEL COLOMBIA SA ESP,Centro,,
BETANIA,ENEL COLOMBIA SA ESP,Centro,2.423,-75.259
CHUZA,ENEL COLOMBIA SA ESP,Oriente,4.34215,-73.42297
EL QUIMBO,ENEL COLOMBIA SA ESP,Centro,2.4494,-75.5644
EMBALSES BOGOTÁ,ENEL COLOMBIA SA ESP,Centro,,
GUAVIO,ENEL COLOMBIA SA ESP,Oriente,4.726273, -73.482141
MUÑA,ENEL COLOMBIA SA ESP,Centro,4.32163,-74.15869
NEUSA,ENEL COLOMBIA SA ESP,Centro,5.0814,-73.58
SISGA,ENEL COLOMBIA SA ESP,Centro,5.05037,-73.43664
SAN RAFAEL,ENEL COLOMBIA SA ESP,Centro,4.7033,-73.9854
TOMINÉ,ENEL COLOMBIA SA ESP,Centro,5.01995,-73.48466
AMANÍ,ISAGEN S.A. E.S.P.,Caldas,5.37,-74.57
PUNCHINÁ,ISAGEN S.A. E.S.P.,Antioquia,6.2115,-74.8405
SAN LORENZO,ISAGEN S.A. E.S.P.,Antioquia,6.386694,-74.998222
TOPOCORO,ISAGEN S.A. E.S.P.,Centro,7.100364,-73.407011
