DATE,VALUE
2017-01-01,-0.42
2017-02-01,-0.58
2017-03-01,-0.19
2017-04-01,0.19
2017-05-01,-0.24
2017-06-01,-0.63
2017-07-01,-0.73
2017-08-01,-0.74
2017-09-01,-0.59
2017-10-01,-0.62
2017-11-01,-0.74
2017-12-01,-0.43
2018-01-01,-0.71
2018-02-01,-0.8
2018-03-01,-1.32
2018-04-01,-0.94
2018-05-01,-0.52
2018-06-01,-0.05
2018-07-01,0.46
2018-08-01,0.62
2018-09-01,0.52
2018-10-01,0.33
2018-11-01,0.18
2018-12-01,-0.79
2019-01-01,0.5
2019-02-01,0.76
2019-03-01,0.3
2019-04-01,0.23
2019-05-01,0.35
2019-06-01,0.3
2019-07-01,0.32
2019-08-01,0.16
2019-09-01,0.31
2019-10-01,0.47
2019-11-01,0.36
2019-12-01,0.09
